g,basin,i,p,y,xland,xlandsc,difflandsc,xwater,xwatersc,grev,gross_revenue,revdiff,iterations,statussc,lambdawater,HR_Region,IMPLAN_category,crop_class
ANT01-IDs,ANT,Orchards,2061.666385,2.066393172,230.6169292,232.92310076190844,2.3061715619084566,662.8889632586987,669.5179461484322,982477.3184165967,992302.101271057,-9824.782854460296,2,Good,6.867585854250973e-08,Sacramento River,Trees and Vine,Trees and vines
ANT01-IDs,ANT,Pasture,215.0,3.5,417.254489,369.1336296617083,48.120859338291666,1763.595640312418,1560.2048419046523,313984.0029725,277773.0563204355,36210.94665206451,2,Good,6.867585854250973e-08,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
ANT01-IDs,ANT,Walnuts,1949.323208,2.037882063,1854.420103,1872.9643225815155,18.544219581515563,6536.722008614954,6602.089316383158,7366666.799564798,7440333.541256171,-73666.74169137236,2,Good,6.867585854250973e-08,Sacramento River,Trees and Vine,Trees and vines
ANT02-WAs,ANT,Field and Grain,173.2298426,2.485487486,610.495454,597.9785639652332,12.516890034766789,647.1251812400001,632.2726284100555,262855.29262474756,257466.01286634261,5389.279758404911,2,Good,73.58019204685807,Sacramento River,Other field and grain,Field and grain
ANT02-WAs,ANT,Orchards,2061.666385,2.066393172,752.5419621,738.6430168398173,13.8989452601827,2151.904185154842,2106.8795374395645,3205989.3065299396,3146776.8345079883,59212.47202195134,2,Good,73.58019204685807,Sacramento River,Trees and Vine,Trees and vines
ANT02-WAs,ANT,Pasture,215.0,3.5,1220.895677,1120.7407859195196,100.15489108048041,5160.3190618602985,4725.155180760474,918723.9969425,843357.4414044385,75366.55553806142,2,Good,73.58019204685807,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
ANT02-WAs,ANT,Almonds,5165.974452,0.856578131,183.9848881,177.96741399655212,6.017474103447881,657.3511614181565,634.2619691785734,814144.3052479652,787516.6168334882,26627.688414476812,2,Good,73.58019204685807,Sacramento River,Trees and Vine,Trees and vines
ANT02-WAs,ANT,Walnuts,1949.323208,2.037882063,2919.768044,2887.498975280138,32.269068719861934,10261.959243363643,10123.173336699985,11598751.694596492,11470563.115963789,128188.57863270119,2,Good,73.58019204685807,Sacramento River,Trees and Vine,Trees and vines
BND01-FULL,BND,Field and Grain,173.2298426,2.485487486,131.04541,131.045413729955,3.7299549831004697e-06,126.24041158965153,126.23843013461848,56422.991141028244,56422.992746999924,-0.0016059716726886109,2,Good,0.002212168540686693,Sacramento River,Other field and grain,Field and grain
BND01-FULL,BND,Pasture,215.0,3.5,255.415207,255.41520699787753,2.1224764168437105e-09,931.839813453195,931.8238912765255,192199.9432675,192199.94326590284,1.597189111635089e-06,2,Good,0.002212168540686693,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
BTE01-IDs,BTE,Alfalfa,187.2098036,5.87624882,427.562673,372.26554354960444,55.29712945039557,1514.5220015983195,1315.350649606304,470358.0141824669,409526.11832078383,60831.895861683064,2,Good,78.97586795136192,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
BTE01-IDs,BTE,Beans Dry,1054.225767,1.083582552,236.478384,104.67460826115493,131.80377573884508,507.90301813255076,224.25575092337286,270138.87017771375,119574.05972447431,150564.81045323942,2,Good,78.97586795136192,Sacramento River,Other field and grain,Field and grain
BTE01-IDs,BTE,Corn,166.7194068,5.454093572,935.383313,626.4024412850985,308.9808717149016,2027.7031598334186,1354.5065256425842,850547.0817881571,569589.7725086078,280957.3092795493,2,Good,78.97586795136192,Sacramento River,Corn,Corn
BTE01-IDs,BTE,Field and Grain,173.2298426,2.485487486,912.973112,900.2175740036961,12.755537996303929,876.45418752,862.0483399793858,393090.25634986366,387598.2241805225,5492.032169341226,2,Good,78.97586795136192,Sacramento River,Other field and grain,Field and grain
BTE01-IDs,BTE,Orchards,2061.666385,2.066393172,5141.725886,5025.452814198313,116.27307180168737,15705.676682862206,15312.137928185384,21904849.21481853,21409501.123140868,495348.091677662,2,Good,78.97586795136192,Sacramento River,Trees and Vine,Trees and vines
BTE01-IDs,BTE,Pasture,215.0,3.5,2085.238983,2066.0781003801894,19.160882619810764,8420.89009231992,8322.653198082318,1569142.3347075002,1554723.7705360926,14418.564171407605,2,Good,78.97586795136192,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
