g,basin,i,p,y,xland,xlandsc,difflandsc,xwater,xwatersc,grev,gross_revenue,revdiff,iterations,statussc,lambdawater,HR_Region,IMPLAN_category,crop_class
BTE02-WAs,BTE,Alfalfa,187.2098036,5.87624882,844.261016,774.9968292246608,69.26418677533923,2952.099352894754,2703.1307889501795,928764.2725010093,852567.3371674798,76196.9353335296,2,Good,60.79529452426437,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
BTE02-WAs,BTE,Beans Dry,1054.225767,1.083582552,340.32974,233.05238762193258,107.27735237806743,718.6629677467766,490.89863145090465,388772.49538154434,266225.2152586067,122547.28012293758,2,Good,60.79529452426437,Sacramento River,Other field and grain,Field and grain
BTE02-WAs,BTE,Corn,166.7194068,5.454093572,2042.59385,1679.257651659636,363.33619834036404,4422.21568525,3626.503797688861,1857337.2159312153,1526954.4317705152,330382.78416070016,2,Good,60.79529452426437,Sacramento River,Corn,Corn
BTE02-WAs,BTE,Cotton,1657.32655,0.8275,891.312038,561.5917471423821,329.7202908576179,3188.7087493982385,2004.0968174153486,1222378.9493146874,770188.105341964,452190.84397272335,2,Good,60.79529452426437,Sacramento River,Other field and grain,Field and grain
BTE02-WAs,BTE,Cucurbits,161.7514,13.41,195.081332,188.47264949686618,6.608682503133821,430.15433706000005,414.5432326652294,423148.23955483694,408813.4370480654,14334.802506771579,2,Good,60.79529452426437,Sacramento River,Vegetables and non-tree fruits,Vegetables
BTE02-WAs,BTE,Field and Grain,173.2298426,2.485487486,583.517739,586.3892811612859,2.871542161285902,591.784240497006,593.2097159010675,251239.75130628256,252476.12423935454,-1236.3729330719798,2,Good,60.79529452426437,Sacramento River,Other field and grain,Field and grain
BTE02-WAs,BTE,Orchards,2061.666385,2.066393172,482.199202,474.4623789033376,7.73682309666242,1526.8077066910837,1498.5544863044183,2054271.4733345902,2021310.95636196,32960.51697263005,2,Good,60.79529452426437,Sacramento River,Trees and Vine,Trees and vines
BTE02-WAs,BTE,Pasture,215.0,3.5,627.896518,624.0962678167512,3.8002501832488633,2518.3882840690344,2496.8882238568635,472492.129795,469632.44153210527,2859.688262894866,2,Good,60.79529452426437,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
BTE02-WAs,BTE,Rice,370.9204663,4.450435008,6510.071453,5584.121421932866,925.9500310671338,29295.321538499997,25065.72478219429,10746548.810488412,9218029.91837231,1528518.8921161015,2,Good,60.79529452426437,Sacramento River,Corn,Field and grain
BTE02-WAs,BTE,Subtropical,942.1801854,4.535541375,277.9083108,275.95572567799013,1.9525851220098502,688.1290134870101,681.5859735394383,1187584.810174274,1179240.8336130984,8343.976561176125,2,Good,60.79529452426437,Sacramento River,Trees and Vine,Trees and vines
BTE02-WAs,BTE,Sunflowers,3239.762235,0.609912532,875.054484,799.5003106794021,75.5541733205979,2105.964458451685,1919.3204020555588,1729082.7981844665,1579789.8983612212,149292.89982324536,2,Good,60.79529452426437,Sacramento River,Other field and grain,Field and grain
BTE02-WAs,BTE,Tomatoes Processing,77.35725946,46.64298896,472.497166,430.45875123003833,42.03841476996166,979.6441240158342,890.2532574611807,1704851.8944481337,1553169.987724982,151681.90672315168,2,Good,60.79529452426437,Sacramento River,Vegetables and non-tree fruits,Vegetables
BTE02-WAs,BTE,Almonds,5165.974452,0.856578131,523.4565764,510.3915689452139,13.065007454786098,1879.923959897712,1828.420216117045,2316327.1457872326,2258513.6942196507,57813.451567581855,2,Good,60.79529452426437,Sacramento River,Trees and Vine,Trees and vines
BTE02-WAs,BTE,Walnuts,1949.323208,2.037882063,14679.16025,14556.052120556968,123.10812944303325,51740.51446072856,51178.32088939623,58312829.053259194,57823783.14157102,489045.9116881788,2,Good,60.79529452426437,Sacramento River,Trees and Vine,Trees and vines
CHW01-E-ChID&WA,CHW,Alfalfa,205.8588937,7.063149253,6701.08917,5779.907671984888,921.1814980151121,34123.43518307754,29358.992559206912,9743464.6777952,8404055.64143571,1339409.036359489,2,Good,71.44420987497007,San Joaquin River,Alfalfa and Pasture,Alfalfa and pasture
CHW01-E-ChID&WA,CHW,Corn,44.88630607,26.76544219,8648.049177,7068.240751739734,1579.8084252602666,21312.636745696425,17375.738259226462,10389782.109246679,8491797.375711637,1897984.733535042,2,Good,71.44420987497007,San Joaquin River,Corn,Corn
CHW01-E-ChID&WA,CHW,Cotton,2462.1839,0.78,387.241809,281.1909137718611,106.05089522813887,1399.2337363909194,1013.4964004093149,743699.2270708065,540028.1177579844,203671.1093128221,2,Good,71.44420987497007,San Joaquin River,Other field and grain,Field and grain
CHW01-E-ChID&WA,CHW,Field and Grain,187.333843,2.812754651,2036.102434,2056.463478702397,20.361044702397066,984.1161757546324,991.472433551017,1072871.5202978451,1083600.246230262,-10728.725932416739,2,Good,71.44420987497007,San Joaquin River,Other field and grain,Field and grain
CHW01-E-ChID&WA,CHW,Grapes Table,390.5459,12.435,129.8715768,127.3249752928451,2.546601507154918,426.70028072172073,417.2874427508722,630713.2953022138,618345.88229334,12367.4130088737,2,Good,71.44420987497007,San Joaquin River,Trees and Vine,Trees and vines
CHW01-E-ChID&WA,CHW,Grapes Wine,510.5784914,8.495282366,4199.180984,4165.904020474033,33.276963525966494,13796.642412630745,13653.090691077865,18213983.01986274,18069643.90923046,144339.11063227803,2,Good,71.44420987497007,San Joaquin River,Trees and Vine,Trees and vines
CHW01-E-ChID&WA,CHW,Orchards,3117.281059,2.261810582,2498.737791,2462.4067348260382,36.33105617396177,10016.636557369968,9846.31944127086,17617848.759690434,17361689.407853637,256159.35183679685,2,Good,71.44420987497007,San Joaquin River,Trees and Vine,Trees and vines
CHW01-E-ChID&WA,CHW,Pasture,215.0,3.5,878.07901,763.1156679240753,114.96334207592474,5120.17627154688,4438.687675326003,660754.455025,574244.5401128667,86509.91491213336,2,Good,71.44420987497007,San Joaquin River,Alfalfa and Pasture,Alfalfa and pasture
CHW01-E-ChID&WA,CHW,Potatoes,960.1331262,14.27542043,56.906001,56.662169474125946,0.24383152587405732,104.84499575767626,104.13476436280338,779970.9517067374,776628.9226772841,3342.0290294531733,2,Good,71.44420987497007,San Joaquin River,Vegetables and non-tree fruits,Vegetables
CHW01-E-ChID&WA,CHW,Subtropical,826.2221391,4.405931004,213.8288738,209.87755421652983,3.951319583470166,783.4045034563486,767.0057325186476,778396.4892179103,764012.5884991144,14383.900718796067,2,Good,71.44420987497007,San Joaquin River,Trees and Vine,Trees and vines
CHW01-E-ChID&WA,CHW,Tomatoes Fresh,513.5119746,20.19858006,225.3847609,222.1534736588857,3.231287241114302,383.15409353,376.7167493233086,2337738.686318793,2304223.087659872,33515.59865892073,2,Good,71.44420987497007,San Joaquin River,Vegetables and non-tree fruits,Vegetables
CHW01-E-ChID&WA,CHW,Tomatoes Processing,78.52090496,49.10025147,2028.462848,1748.6643101460131,279.7985378539868,5267.241862649487,4529.346534948958,7820527.913803949,6741793.700019307,1078734.2137846416,2,Good,71.44420987497007,San Joaquin River,Vegetables and non-tree fruits,Vegetables
CHW01-E-ChID&WA,CHW,Truck,548.8387,13.5325,140.93905,141.29723685426174,0.35818685426173147,144.54082578486182,144.54589458406454,1046776.8334085628,1049437.1443803813,-2660.310971818515,2,Good,71.44420987497007,San Joaquin River,Vegetables and non-tree fruits,Vegetables
CHW01-E-ChID&WA,CHW,Almonds,5157.824281,1.067695081,44976.36602,43795.21597865695,1181.150041343055,183408.48486827692,178145.40836683277,247684110.66629136,241179536.74354678,6504573.922744572,2,Good,71.44420987497007,San Joaquin River,Trees and Vine,Trees and vines
CHW01-E-ChID&WA,CHW,Pistachios,4636.170568,1.382293453,3802.000233,3735.3143129664013,66.6859200335989,14605.973486453633,14313.914567422826,24365301.837561235,23937941.90322161,427359.9343396202,2,Good,71.44420987497007,San Joaquin River,Trees and Vine,Trees and vines
CHW01-E-ChID&WA,CHW,Walnuts,2092.008952,1.920558157,1146.234353,1134.8911126592611,11.34324034073893,4264.1912150127355,4211.437364493797,4605368.875752371,4559793.722749242,45575.15300312918,2,Good,71.44420987497007,San Joaquin River,Trees and Vine,Trees and vines
CHW02-W-WA,CHW,Alfalfa,205.8588937,7.063149253,3752.039125,3535.306783730834,216.73234126916577,19723.219001667345,18537.469319177337,5455510.2546326965,5140378.80986012,315131.4447725769,2,Good,42.54433037856747,San Joaquin River,Alfalfa and Pasture,Alfalfa and pasture
