g,HR_Region,shortage_pct,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
BTE02-WAs,Sacramento River,0.7,Corn,Corn,BTE,Corn,166.71940680000003,5.454093572000001,2042.59385,712.0434399908514,4422.21568525,1537.7200973909257,1857337.215931216,647463.4105329819,3,Good,101.88310294503357
BTE02-WAs,Sacramento River,0.7,Other field and grain,Field and grain,BTE,Cotton,1657.32655,0.8275,891.312038,62.61483854406311,3188.708749398239,223.44736982084083,1222378.9493146874,85872.35141886488,3,Good,101.88310294503357
BTE02-WAs,Sacramento River,0.7,Vegetables and non-tree fruits,Vegetables,BTE,Cucurbits,161.7514,13.41,195.081332,1.5183785625270532e-06,430.15433706000005,3.6422824878887607e-06,423148.23955483694,0.0032934940987132816,3,Good,101.88310294503357
BTE02-WAs,Sacramento River,0.7,Other field and grain,Field and grain,BTE,Field and Grain,173.22984259999996,2.485487486,583.517739,543.0561863663245,591.784240497006,549.3726036277225,251239.75130628247,233818.60068527164,3,Good,101.88310294503357
BTE02-WAs,Sacramento River,0.7,Trees and Vine,Trees and vines,BTE,Orchards,2061.666385,2.066393172,482.199202,465.4133555789658,1526.8077066910837,1469.973812626685,2054271.4733345902,1982760.1864733025,3,Good,101.88310294503357
BTE02-WAs,Sacramento River,0.7,Alfalfa and Pasture,Alfalfa and pasture,BTE,Pasture,215.0,3.5,627.896518,3.66940228557314e-07,2518.3882840690344,1.7782938740112018e-06,472492.129795,0.0002761225219893788,3,Good,101.88310294503357
BTE02-WAs,Sacramento River,0.7,Corn,Field and grain,BTE,Rice,370.9204663,4.450435008,6510.071453000001,2291.0819472911357,29295.321538500008,10284.09398836902,10746548.810488414,3782020.543575903,3,Good,101.88310294503357
BTE02-WAs,Sacramento River,0.7,Trees and Vine,Trees and vines,BTE,Subtropical,942.1801854,4.535541375,277.9083108,273.4760938876748,688.1290134870101,675.4615048403034,1187584.810174274,1168644.6299928222,3,Good,101.88310294503357
BTE02-WAs,Sacramento River,0.7,Other field and grain,Field and grain,BTE,Sunflowers,3239.762235,0.6099125320000001,875.054484,693.3703238605846,2105.964458451685,1664.5394518679807,1729082.7981844668,1370080.0597908022,3,Good,101.88310294503357
BTE02-WAs,Sacramento River,0.7,Vegetables and non-tree fruits,Vegetables,BTE,Tomatoes Processing,77.35725946,46.64298896,472.497166,365.11272936941475,979.6441240158344,755.1078838798115,1704851.8944481337,1317390.1837806483,3,Good,101.88310294503357
BTE02-WAs,Sacramento River,0.7,Trees and Vine,Trees and vines,BTE,Almonds,5165.974452,0.8565781309999999,523.4565763999999,496.96635251591323,1879.9239598977115,1780.3258929801734,2316327.1457872316,2199106.2960604285,3,Good,101.88310294503357
BTE02-WAs,Sacramento River,0.7,Trees and Vine,Trees and vines,BTE,Walnuts,1949.323208,2.037882063,14679.16025,14428.201934363156,51740.51446072856,50728.806295857634,58312829.053259194,57315899.45306458,3,Good,101.88310294503357
CHW01-E-ChID&WA,San Joaquin River,0.7,Alfalfa and Pasture,Alfalfa and pasture,CHW,Alfalfa,205.8588937,7.063149253,6701.08917,2.878979132243208e-21,34123.43518307754,2.8789791322429442e-08,9743464.6777952,4.186070468768463e-18,2,Good,199.36344411758117
CHW01-E-ChID&WA,San Joaquin River,0.7,Corn,Corn,CHW,Corn,44.88630607,26.76544219,8648.049176999999,5.570009105186407e-20,21312.63674569642,2.8789791322822753e-08,10389782.109246677,6.691819133420133e-17,2,Good,199.36344411758117
CHW01-E-ChID&WA,San Joaquin River,0.7,Other field and grain,Field and grain,CHW,Cotton,2462.1839,0.78,387.241809,2.878979132763273e-21,1399.2337363909194,2.87897913276286e-08,743699.2270708065,5.5290893339180405e-18,2,Good,199.36344411758117
CHW01-E-ChID&WA,San Joaquin River,0.7,Other field and grain,Field and grain,CHW,Field and Grain,187.333843,2.812754651,2036.102434,2031.0248047813996,984.1161757546324,979.2078130653833,1072871.5202978451,1070195.9948977963,2,Good,199.36344411758117
CHW01-E-ChID&WA,San Joaquin River,0.7,Trees and Vine,Trees and vines,CHW,Grapes Table,390.5459,12.435,129.8715768,116.06665201177051,426.7002807217208,380.39007104194735,630713.2953022138,563670.5302945016,2,Good,199.36344411758117
CHW01-E-ChID&WA,San Joaquin River,0.7,Trees and Vine,Trees and vines,CHW,Grapes Wine,510.5784914,8.495282366,4199.180984000001,4058.0264594684145,13796.642412630754,13299.539068901018,18213983.01986275,17601724.07632322,2,Good,199.36344411758117
CHW01-E-ChID&WA,San Joaquin River,0.7,Trees and Vine,Trees and vines,CHW,Orchards,3117.281059,2.261810582,2498.737791,2339.213194660336,10016.636557369968,9353.710753760175,17617848.759690434,16493088.802128779,2,Good,199.36344411758117
CHW01-E-ChID&WA,San Joaquin River,0.7,Alfalfa and Pasture,Alfalfa and pasture,CHW,Pasture,215.0,3.5,878.0790099999998,2.8789791322417157e-21,5120.176271546879,2.8789791322421187e-08,660754.4550249999,2.166431797011891e-18,2,Good,199.36344411758117
CHW01-E-ChID&WA,San Joaquin River,0.7,Vegetables and non-tree fruits,Vegetables,CHW,Potatoes,960.1331262,14.27542043,56.906001,55.06823311510073,104.84499575767626,101.20539906989453,779970.9517067374,754781.9463116656,2,Good,199.36344411758117
CHW01-E-ChID&WA,San Joaquin River,0.7,Trees and Vine,Trees and vines,CHW,Subtropical,826.2221390999998,4.405931004,213.8288738,194.39403498068634,783.4045034563486,710.4206056641964,778396.4892179101,707648.278105788,2,Good,199.36344411758117
CHW01-E-ChID&WA,San Joaquin River,0.7,Vegetables and non-tree fruits,Vegetables,CHW,Tomatoes Fresh,513.5119746,20.19858006,225.3847609,194.7431413479333,383.15409353,330.23567868411914,2337738.686318793,2019917.2899107598,2,Good,199.36344411758117
CHW01-E-ChID&WA,San Joaquin River,0.7,Vegetables and non-tree fruits,Vegetables,CHW,Tomatoes Processing,78.52090496,49.10025147,2028.462848,272.09706625506897,5267.241862649487,704.7790116743394,7820527.913803949,1049041.989608049,2,Good,199.36344411758117
CHW01-E-ChID&WA,San Joaquin River,0.7,Vegetables and non-tree fruits,Vegetables,CHW,Truck,548.8387,13.5325,140.93905,139.00752139384647,144.54082578486182,142.2035346752028,1046776.8334085628,1032431.0619705728,2,Good,199.36344411758117
CHW01-E-ChID&WA,San Joaquin River,0.7,Trees and Vine,Trees and vines,CHW,Almonds,5157.824281,1.067695081,44976.36602,40236.11745252029,183408.48486827692,163668.0951199525,247684110.66629136,221579639.4813298,2,Good,199.36344411758117
CHW01-E-ChID&WA,San Joaquin River,0.7,Trees and Vine,Trees and vines,CHW,Pistachios,4636.170568,1.3822934530000002,3802.000233,3537.178491664856,14605.973486453633,13554.648015372171,24365301.837561242,22668178.937679674,2,Good,199.36344411758117
CHW01-E-ChID&WA,San Joaquin River,0.7,Trees and Vine,Trees and vines,CHW,Walnuts,2092.008952,1.920558157,1146.2343529999996,1098.004087034338,4264.191215012734,4074.5542782326747,4605368.87575237,4411588.114282278,2,Good,199.36344411758117
CHW02-W-WA,San Joaquin River,0.7,Alfalfa and Pasture,Alfalfa and pasture,CHW,Alfalfa,205.8588937,7.063149253,3752.039125,1044.604407185113,19723.219001667345,5477.409269855296,5455510.2546326965,1518867.4386312251,2,Good,138.8492865365404
CHW02-W-WA,San Joaquin River,0.7,Corn,Corn,CHW,Corn,44.88630607,26.76544219,7203.396852,2.3166606517763996e-07,18536.74123007887,6.948733062055422e-07,8654174.161932316,0.00027832403470873766,2,Good,138.8492865365404
CHW02-W-WA,San Joaquin River,0.7,Other field and grain,Field and grain,CHW,Cotton,2462.1839,0.78,389.120801,42.05315804586688,1403.42902240304,151.29254264153107,747307.8376742969,80763.23477405733,2,Good,138.8492865365404
CHW02-W-WA,San Joaquin River,0.7,Other field and grain,Field and grain,CHW,Field and Grain,187.333843,2.812754651,1787.57203,1805.4477677808031,804.4074135000001,810.4203488049044,941914.8513566413,951334.0090812647,2,Good,138.8492865365404
CHW02-W-WA,San Joaquin River,0.7,Trees and Vine,Trees and vines,CHW,Grapes Table,390.5459,12.435,114.4634197,107.27185048544305,393.754163768,368.0926241715989,555884.53154553,520959.1196157723,2,Good,138.8492865365404
CHW02-W-WA,San Joaquin River,0.7,Trees and Vine,Trees and vines,CHW,Grapes Wine,510.5784914,8.495282366,3700.983903,3619.031424053587,12731.38462632,12418.344304410768,16053048.969043277,15697579.398750136,2,Good,138.8492865365404
CHW02-W-WA,San Joaquin River,0.7,Vegetables and non-tree fruits,Vegetables,CHW,Tomatoes Fresh,513.5119746,20.19858006,181.0029373,171.46406079304916,253.40411222,239.44955859978086,1877400.9705620026,1778461.7142197762,2,Good,138.8492865365404
CHW02-W-WA,San Joaquin River,0.7,Vegetables and non-tree fruits,Vegetables,CHW,Tomatoes Processing,78.52090496,49.10025147,1629.026436,890.8136733187633,4192.028028096992,2286.629594976219,6280542.297150598,3434439.632481561,2,Good,138.8492865365404
CHW02-W-WA,San Joaquin River,0.7,Trees and Vine,Trees and vines,CHW,Almonds,5157.824281,1.067695081,11628.12759,10854.593622106197,47772.74433940544,44483.28697178749,64035908.09365518,59776069.20798915,2,Good,138.8492865365404
CHW02-W-WA,San Joaquin River,0.7,Trees and Vine,Trees and vines,CHW,Pistachios,4636.170568,1.3822934530000002,7985.874881000002,7629.998316957423,30954.00373940704,29500.655857892587,51177864.27883249,48897212.156681076,2,Good,138.8492865365404
