g,HR_Region,shortage_pct,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
BTE02-WAs,Sacramento River,1.0,Corn,Corn,BTE,Corn,166.71940680000003,5.454093572000001,2042.59385,2042.5975492610735,4422.21568525,4422.214301511245,1857337.215931216,1857340.579681314,2,Good,0.0002945808136622665
BTE02-WAs,Sacramento River,1.0,Other field and grain,Field and grain,BTE,Cotton,1657.32655,0.8275,891.312038,891.3127633036723,3188.708749398239,3188.7045376612323,1222378.9493146874,1222379.944023502,2,Good,0.0002945808136622665
BTE02-WAs,Sacramento River,1.0,Vegetables and non-tree fruits,Vegetables,BTE,Cucurbits,161.7514,13.41,195.081332,195.07254867620912,430.15433706000005,430.12974092911907,423148.23955483694,423129.18776776205,2,Good,0.0002945808136622665
BTE02-WAs,Sacramento River,1.0,Other field and grain,Field and grain,BTE,Field and Grain,173.22984259999996,2.485487486,583.517739,583.5186548224859,591.784240497006,591.7839360494089,251239.75130628247,251240.145623367,2,Good,0.0002945808136622665
BTE02-WAs,Sacramento River,1.0,Trees and Vine,Trees and vines,BTE,Orchards,2061.666385,2.066393172,482.199202,482.19923174600893,1526.8077066910837,1526.8047098296593,2054271.4733345902,2054271.6000589342,2,Good,0.0002945808136622665
BTE02-WAs,Sacramento River,1.0,Alfalfa and Pasture,Alfalfa and pasture,BTE,Pasture,215.0,3.5,627.896518,627.8965661298175,2518.3882840690344,2518.3826854795047,472492.129795,472492.16601268767,2,Good,0.0002945808136622665
BTE02-WAs,Sacramento River,1.0,Corn,Field and grain,BTE,Rice,370.9204663,4.450435008,6510.071453000001,6510.071858626802,29295.321538500008,29295.26041580598,10746548.810488414,10746549.480079869,2,Good,0.0002945808136622665
BTE02-WAs,Sacramento River,1.0,Trees and Vine,Trees and vines,BTE,Subtropical,942.1801854,4.535541375,277.9083108,277.90832691388437,688.1290134870101,688.1276798744559,1187584.810174274,1187584.8790336915,2,Good,0.0002945808136622665
BTE02-WAs,Sacramento River,1.0,Other field and grain,Field and grain,BTE,Sunflowers,3239.762235,0.6099125320000001,875.054484,875.0551400832151,2105.964458451685,2105.961711966808,1729082.7981844668,1729084.094586259,2,Good,0.0002945808136622665
BTE02-WAs,Sacramento River,1.0,Vegetables and non-tree fruits,Vegetables,BTE,Tomatoes Processing,77.35725946,46.64298896,472.497166,472.49772671675055,979.6441240158344,979.6433207636359,1704851.8944481337,1704853.9176116216,2,Good,0.0002945808136622665
BTE02-WAs,Sacramento River,1.0,Trees and Vine,Trees and vines,BTE,Almonds,5165.974452,0.8565781309999999,523.4565763999999,523.4566090398687,1879.9239598977115,1879.9202586864462,2316327.1457872316,2316327.2902206336,2,Good,0.0002945808136622665
BTE02-WAs,Sacramento River,1.0,Trees and Vine,Trees and vines,BTE,Walnuts,1949.323208,2.037882063,14679.16025,14679.160582652488,51740.51446072856,51740.40966348866,58312829.053259194,58312830.374718145,2,Good,0.0002945808136622665
CHW01-E-ChID&WA,San Joaquin River,1.0,Alfalfa and Pasture,Alfalfa and pasture,CHW,Alfalfa,205.8588937,7.063149253,6701.08917,6701.215313569484,34123.43518307754,34124.07661955015,9743464.6777952,9743648.092070464,2,Good,4.9480863960211634e-06
CHW01-E-ChID&WA,San Joaquin River,1.0,Corn,Corn,CHW,Corn,44.88630607,26.76544219,8648.049176999999,8648.790535777722,21312.63674569642,21314.463250332257,10389782.109246677,10390672.779039096,2,Good,4.9480863960211634e-06
