internal_id,crop_code,hr,direct_jobs_unfilitered,direct_value_add,total_jobs_unfiltered,total_revenue,total_value_add,total_jobs,direct_jobs
13,Grapes,San Joaquin River,1,1,2.164433,1,1.781283,0.000002,0.000001
13,Onions and Garlic,San Joaquin River,1,1,2.365597,1,1.970829,0.000002,0.000001
13,Orchards,San Joaquin River,1,1,2.164433,1,1.781283,0.000002,0.000001
13,Pasture,San Joaquin River,1,1,2.2786443,1,2.445792,0.0000023,0.000001
13,Pistachios,San Joaquin River,1,1,1.395582,1,1.214135,0.000001,0.000001
13,Potatoes,San Joaquin River,1,1,2.365597,1,1.970829,0.000002,0.000001
13,Rice,San Joaquin River,1,1,2.197284,1,1.680125,0.000002,0.000001
13,Safflower,San Joaquin River,1,1,1.292013,1,1.132276,0.000001,0.000001
13,Subtropical,San Joaquin River,1,1,2.164433,1,1.781283,0.000002,0.000001
13,Tomatoes,San Joaquin River,1,1,2.365597,1,1.970829,0.000002,0.000001
13,Truck,San Joaquin River,1,1,2.365597,1,1.970829,0.000002,0.000001
13,Walnuts,San Joaquin River,1,1,1.395582,1,1.214135,0.000001,0.000001
14A,Alfalfa,Tulare Lake,1,1,1.974478,1,2.989137,0.000002,0.000001
14A,Almonds,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
14A,Beans Dry,Tulare Lake,1,1,1.974478,1,2.989137,0.000002,0.000001
14A,Berries,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
14A,Corn,Tulare Lake,1,1,2.197284,1,1.680125,0.000002,0.000001
14A,Cotton,Tulare Lake,1,1,1.698209,1,1.431111,0.000002,0.000001
14A,Cucurbits,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
14A,Field and Grain,Tulare Lake,1,1,2.197284,1,1.680125,0.000002,0.000001
14A,Grapes,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
14A,Lettuce,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
14A,Onions and Garlic,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
14A,Orchards,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
14A,Pasture,Tulare Lake,1,1,2.2786443,1,2.445792,0.0000023,0.000001
14A,Pistachios,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
14A,Potatoes,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
14A,Subtropical,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
14A,Tomatoes,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
14A,Truck,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
14A,Walnuts,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
15A,Alfalfa,Tulare Lake,1,1,1.974478,1,2.989137,0.000002,0.000001
15A,Almonds,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
15A,Beans Dry,Tulare Lake,1,1,1.974478,1,2.989137,0.000002,0.000001
15A,Berries,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
15A,Corn,Tulare Lake,1,1,2.197284,1,1.680125,0.000002,0.000001
15A,Cotton,Tulare Lake,1,1,1.698209,1,1.431111,0.000002,0.000001
15A,Cucurbits,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
15A,Field and Grain,Tulare Lake,1,1,2.197284,1,1.680125,0.000002,0.000001
15A,Grapes,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
15A,Lettuce,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
15A,Onions and Garlic,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
15A,Orchards,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
15A,Pasture,Tulare Lake,1,1,2.2786443,1,2.445792,0.0000023,0.000001
15A,Pistachios,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
15A,Potatoes,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
15A,Safflower,Tulare Lake,1,1,1.292013,1,1.132276,0.000001,0.000001
15A,Subtropical,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
15A,Tomatoes,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
15A,Truck,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
15A,Walnuts,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
16,Alfalfa,Tulare Lake,1,1,1.974478,1,2.989137,0.000002,0.000001
16,Almonds,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
16,Beans Dry,Tulare Lake,1,1,1.974478,1,2.989137,0.000002,0.000001
16,Berries,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
16,Corn,Tulare Lake,1,1,2.197284,1,1.680125,0.000002,0.000001
16,Cotton,Tulare Lake,1,1,1.698209,1,1.431111,0.000002,0.000001
16,Cucurbits,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
16,Field and Grain,Tulare Lake,1,1,2.197284,1,1.680125,0.000002,0.000001
16,Grapes,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
16,Lettuce,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
16,Onions and Garlic,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
16,Orchards,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
16,Pasture,Tulare Lake,1,1,2.2786443,1,2.445792,0.0000023,0.000001
16,Pistachios,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
16,Safflower,Tulare Lake,1,1,1.292013,1,1.132276,0.000001,0.000001
16,Subtropical,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
16,Tomatoes,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
16,Truck,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
16,Walnuts,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
17,Alfalfa,Tulare Lake,1,1,1.974478,1,2.989137,0.000002,0.000001
17,Almonds,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
17,Beans Dry,Tulare Lake,1,1,1.974478,1,2.989137,0.000002,0.000001
17,Berries,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
17,Corn,Tulare Lake,1,1,2.197284,1,1.680125,0.000002,0.000001
17,Cotton,Tulare Lake,1,1,1.698209,1,1.431111,0.000002,0.000001
17,Cucurbits,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
17,Field and Grain,Tulare Lake,1,1,2.197284,1,1.680125,0.000002,0.000001
17,Grapes,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
17,Lettuce,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
17,Onions and Garlic,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
17,Orchards,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
17,Pasture,Tulare Lake,1,1,2.2786443,1,2.445792,0.0000023,0.000001
17,Pistachios,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
17,Subtropical,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
17,Tomatoes,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
17,Truck,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
17,Walnuts,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
18,Alfalfa,Tulare Lake,1,1,1.974478,1,2.989137,0.000002,0.000001
18,Almonds,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
18,Beans Dry,Tulare Lake,1,1,1.974478,1,2.989137,0.000002,0.000001
18,Berries,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
18,Corn,Tulare Lake,1,1,2.197284,1,1.680125,0.000002,0.000001
18,Cotton,Tulare Lake,1,1,1.698209,1,1.431111,0.000002,0.000001
18,Cucurbits,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
18,Field and Grain,Tulare Lake,1,1,2.197284,1,1.680125,0.000002,0.000001
18,Grapes,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
18,Lettuce,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
18,Orchards,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
18,Pasture,Tulare Lake,1,1,2.2786443,1,2.445792,0.0000023,0.000001
18,Pistachios,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
18,Potatoes,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
18,Subtropical,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
18,Tomatoes,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
18,Truck,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
18,Walnuts,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
19A,Alfalfa,Tulare Lake,1,1,1.974478,1,2.989137,0.000002,0.000001
19A,Almonds,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
19A,Beans Dry,Tulare Lake,1,1,1.974478,1,2.989137,0.000002,0.000001
19A,Corn,Tulare Lake,1,1,2.197284,1,1.680125,0.000002,0.000001
19A,Cotton,Tulare Lake,1,1,1.698209,1,1.431111,0.000002,0.000001
19A,Cucurbits,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
19A,Field and Grain,Tulare Lake,1,1,2.197284,1,1.680125,0.000002,0.000001
19A,Grapes,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
19A,Lettuce,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
19A,Onions and Garlic,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
19A,Orchards,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
19A,Pasture,Tulare Lake,1,1,2.2786443,1,2.445792,0.0000023,0.000001
19A,Pistachios,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
19A,Potatoes,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
19A,Subtropical,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
19A,Tomatoes,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
19A,Truck,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
19A,Walnuts,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
2,Alfalfa,Sacramento River,1,1,1.373747,1,3.221614,0.000001,0.000001
2,Almonds,Sacramento River,1,1,1.199049,1,1.1948,0.000001,0.000001
2,Beans Dry,Sacramento River,1,1,1.373747,1,3.221614,0.000001,0.000001
2,Berries,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
2,Corn,Sacramento River,1,1,2.297911,1,1.667022,0.000002,0.000001
2,Cucurbits,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
2,Field and Grain,Sacramento River,1,1,2.297911,1,1.667022,0.000002,0.000001
2,Grapes,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
2,Orchards,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
2,Pasture,Sacramento River,1,1,1.746634,1,1.760549,0.000002,0.000001
2,Pistachios,Sacramento River,1,1,1.199049,1,1.1948,0.000001,0.000001
2,Rice,Sacramento River,1,1,2.297911,1,1.667022,0.000002,0.000001
2,Safflower,Sacramento River,1,1,1.222109,1,1.118136,0.000001,0.000001
2,Subtropical,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
2,Sunflowers,Sacramento River,1,1,1.222109,1,1.118136,0.000001,0.000001
2,Tomatoes,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
2,Truck,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
2,Walnuts,Sacramento River,1,1,1.199049,1,1.1948,0.000001,0.000001
20,Alfalfa,Tulare Lake,1,1,1.974478,1,2.989137,0.000002,0.000001
20,Almonds,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
20,Beans Dry,Tulare Lake,1,1,1.974478,1,2.989137,0.000002,0.000001
20,Berries,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
20,Corn,Tulare Lake,1,1,2.197284,1,1.680125,0.000002,0.000001
20,Cotton,Tulare Lake,1,1,1.698209,1,1.431111,0.000002,0.000001
20,Cucurbits,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
20,Field and Grain,Tulare Lake,1,1,2.197284,1,1.680125,0.000002,0.000001
20,Grapes,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
20,Lettuce,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
20,Onions and Garlic,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
20,Orchards,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
20,Pasture,Tulare Lake,1,1,2.2786443,1,2.445792,0.0000023,0.000001
20,Pistachios,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
20,Potatoes,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
20,Safflower,Tulare Lake,1,1,1.292013,1,1.132276,0.000001,0.000001
20,Subtropical,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
20,Tomatoes,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
20,Truck,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
20,Walnuts,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
21A,Alfalfa,Tulare Lake,1,1,1.974478,1,2.989137,0.000002,0.000001
21A,Almonds,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
21A,Beans Dry,Tulare Lake,1,1,1.974478,1,2.989137,0.000002,0.000001
21A,Berries,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
21A,Corn,Tulare Lake,1,1,2.197284,1,1.680125,0.000002,0.000001
21A,Cotton,Tulare Lake,1,1,1.698209,1,1.431111,0.000002,0.000001
21A,Cucurbits,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
21A,Field and Grain,Tulare Lake,1,1,2.197284,1,1.680125,0.000002,0.000001
21A,Grapes,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
21A,Lettuce,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
21A,Onions and Garlic,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
21A,Orchards,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
21A,Pasture,Tulare Lake,1,1,2.2786443,1,2.445792,0.0000023,0.000001
21A,Pistachios,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
21A,Potatoes,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
21A,Safflower,Tulare Lake,1,1,1.292013,1,1.132276,0.000001,0.000001
