crop_code,internal_id,direct_jobs,direct_value_add,total_jobs,total_revenue,total_value_add
GRAIN,DAP001,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
ALFAL,DAP002,0.00001953882185,0.52462756763768,0.00002389186073,1.52180280716666,0.84969350757468
CORN,DAP002,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
GRAIN,DAP002,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
PASTR,DAP002,0.00001953882185,0.52462756763768,0.00002389186073,1.52180280716666,0.84969350757468
POTATO,DAP002,0.00000327505378,0.52407802705053,0.00000698614288,1.45177027979228,0.80183457391190
PRTOM,DAP002,0.00000327505378,0.52407802705053,0.00000698614288,1.45177027979228,0.80183457391190
RICE,DAP002,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
ALFAL,DAP003,0.00005735972499,0.52462756763768,0.00006248716969,1.83243404525417,1.02243031950258
PASTR,DAP003,0.00005735972499,0.52462756763768,0.00006248716969,1.83243404525417,1.02243031950258
CORN,DAP005,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
GRAIN,DAP005,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
OTHDEC,DAP005,0.00000429180172,0.63179196064639,0.00000839376579,1.42843813588654,0.91929701701101
POTATO,DAP005,0.00000327505378,0.52407802705053,0.00000698614288,1.45177027979228,0.80183457391190
ALFAL,DAP006,0.00005735972499,0.52462756763768,0.00006248716969,1.83243404525417,1.02243031950258
ALPIS,DAP006,0.00002983679209,0.67650529169849,0.00003596444247,1.92094812707155,1.26175929694404
CORN,DAP006,0.00000336769286,0.74953124712824,0.00000847801135,1.87728164661705,1.29771706327151
GRAIN,DAP006,0.00000336769286,0.74953124712824,0.00000847801135,1.87728164661705,1.29771706327151
OTHTRK,DAP006,0.00000775600019,0.52407802705053,0.00001205472226,1.68270927811171,0.93409144495432
PASTR,DAP006,0.00005735972499,0.52462756763768,0.00006248716969,1.83243404525417,1.02243031950258
PRTOM,DAP006,0.00000775600019,0.52407802705053,0.00001205472226,1.68270927811171,0.93409144495432
VINE,DAP006,0.00000921730796,0.63173326898611,0.00001406207649,1.67062025559570,1.05144568018338
ALFAL,DAP007,0.00001953882185,0.52462756763768,0.00002389186073,1.52180280716666,0.84969350757468
CORN,DAP007,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
GRAIN,DAP007,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
ALFAL,DAP008,0.00001953882185,0.52462756763768,0.00002389186073,1.52180280716666,0.84969350757468
CORN,DAP008,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
CUCUR,DAP008,0.00000327505378,0.52407802705053,0.00000698614288,1.45177027979228,0.80183457391190
GRAIN,DAP008,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
OTHDEC,DAP008,0.00000429180172,0.63179196064639,0.00000839376579,1.42843813588654,0.91929701701101
OTHTRK,DAP008,0.00000327505378,0.52407802705053,0.00000698614288,1.45177027979228,0.80183457391190
PASTR,DAP008,0.00001953882185,0.52462756763768,0.00002389186073,1.52180280716666,0.84969350757468
PRTOM,DAP008,0.00000327505378,0.52407802705053,0.00000698614288,1.45177027979228,0.80183457391190
RICE,DAP008,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
SAFLR,DAP008,0.00000054601213,0.95037245159646,0.00000344331298,1.43294060450382,1.21839152769135
VINE,DAP008,0.00000429180172,0.63179196064639,0.00000839376579,1.42843813588654,0.91929701701101
ALFAL,DAP009,0.00005735972499,0.52462756763768,0.00006248716969,1.83243404525417,1.02243031950258
CORN,DAP009,0.00000336769286,0.74953124712824,0.00000847801135,1.87728164661705,1.29771706327151
PASTR,DAP009,0.00005735972499,0.52462756763768,0.00006248716969,1.83243404525417,1.02243031950258
ALFAL,DAP010,0.00003150370809,0.52462756763769,0.00003555427285,1.65632854646777,0.90327115739362
CORN,DAP010,0.00000207852175,0.74911892563463,0.00000552153700,1.55984518120573,1.08529480699493
GRAIN,DAP010,0.00000207852175,0.74911892563463,0.00000552153700,1.55984518120573,1.08529480699493
OTHDEC,DAP010,0.00000576811638,0.63178504602322,0.00000907046793,1.45281107942512,0.90765434862991
OTHTRK,DAP010,0.00000464762366,0.52407802705053,0.00000798605090,1.52539953438768,0.83098531392645
PASTR,DAP010,0.00003150370809,0.52462756763769,0.00003555427285,1.65632854646777,0.90327115739362
POTATO,DAP010,0.00000464762366,0.52407802705053,0.00000798605090,1.52539953438768,0.83098531392645
PRTOM,DAP010,0.00000464762366,0.52407802705053,0.00000798605090,1.52539953438768,0.83098531392645
SAFLR,DAP010,0.00000091398270,0.95030603903445,0.00000513559856,1.69708842129229,1.37856518383343
VINE,DAP010,0.00000576811638,0.63178504602322,0.00000907046793,1.45281107942512,0.90765434862991
ALFAL,DAP012,0.00005735972499,0.52462756763768,0.00006248716969,1.83243404525417,1.02243031950258
CORN,DAP012,0.00000336769286,0.74953124712824,0.00000847801135,1.87728164661705,1.29771706327151
GRAIN,DAP012,0.00000336769286,0.74953124712824,0.00000847801135,1.87728164661705,1.29771706327151
OTHTRK,DAP012,0.00000775600019,0.52407802705053,0.00001205472226,1.68270927811171,0.93409144495432
PASTR,DAP012,0.00005735972499,0.52462756763768,0.00006248716969,1.83243404525417,1.02243031950258
