g,HR_Region,shortage_pct,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
ANT01-IDs,Sacramento River,0.6,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,230.6169292,4.30196207718304e-08,662.8889632586987,2.280393097316379e-07,982477.3184165967,0.00018327276233286546,5,Good,531.1452687884008
ANT01-IDs,Sacramento River,0.6,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,417.254489,1.3961129144882897e-16,1763.595640312418,6.366825771697736e-08,313984.0029725,1.050574968152438e-13,5,Good,531.1452687884008
ANT01-IDs,Sacramento River,0.6,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,1854.420103,1529.501379463051,6536.722008614954,5377.924020722037,7366666.799564798,6075930.159380406,5,Good,531.1452687884008
ANT02-WAs,Sacramento River,0.6,Other field and grain,Field and grain,ANT,Field and Grain,173.22984259999996,2.485487486,610.495454,3.107569390417833e-17,647.1251812400001,1.1112626249351583e-07,262855.29262474744,1.3379969598757858e-14,6,Good,362.5960330929208
ANT02-WAs,Sacramento River,0.6,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,752.5419621,544.174218969596,2151.904185154842,1552.1835320159737,3205989.3065299396,2318298.267431334,6,Good,362.5960330929208
ANT02-WAs,Sacramento River,0.6,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,1220.895677,7.147208610976732e-14,5160.3190618602985,1.1112729784865547e-07,918723.9969425,5.3782744797599905e-11,6,Good,362.5960330929208
ANT02-WAs,Sacramento River,0.6,Trees and Vine,Trees and vines,ANT,Almonds,5165.974452,0.8565781309999999,183.9848881,134.92424773032002,657.3511614181565,480.85948511529654,814144.305247965,597047.9916252736,6,Good,362.5960330929208
ANT02-WAs,Sacramento River,0.6,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,2919.768044,2651.031903480689,10261.959243363643,9294.152382339164,11598751.694596492,10531199.848602084,6,Good,362.5960330929208
BND01-FULL,Sacramento River,0.6,Other field and grain,Field and grain,BND,Field and Grain,173.22984259999996,2.485487486,131.04541,125.95556583482382,126.24041158965153,121.03385089526043,56422.99114102823,54231.504752905596,2,Good,94.21791954852009
BND01-FULL,Sacramento River,0.6,Alfalfa and Pasture,Alfalfa and pasture,BND,Pasture,215.0,3.5,255.415207,141.18831903076676,931.839813453195,513.8142903824697,192199.9432675,106244.21007065199,2,Good,94.21791954852009
BTE01-IDs,Sacramento River,0.6,Alfalfa and Pasture,Alfalfa and pasture,BTE,Alfalfa,187.2098036,5.87624882,427.562673,350.3398453475728,1514.5220015983195,1237.8791191947084,470358.0141824669,385405.84656387183,2,Good,96.14578700034359
BTE01-IDs,Sacramento River,0.6,Other field and grain,Field and grain,BTE,Beans Dry,1054.225767,1.083582552,236.478384,44.68531684556459,507.90301813255076,95.73419433504566,270138.87017771375,51045.853756316166,2,Good,96.14578700034359
BTE01-IDs,Sacramento River,0.6,Corn,Corn,BTE,Corn,166.71940680000003,5.454093572000001,935.383313,422.64751661742685,2027.7031598334186,913.9153706697641,850547.0817881573,384314.7583326239,2,Good,96.14578700034359
BTE01-IDs,Sacramento River,0.6,Other field and grain,Field and grain,BTE,Field and Grain,173.22984259999996,2.485487486,912.973112,874.1207463667444,876.45418752,837.0580180744915,393090.25634986354,376361.95825889515,2,Good,96.14578700034359
BTE01-IDs,Sacramento River,0.6,Trees and Vine,Trees and vines,BTE,Orchards,2061.666385,2.066393172,5141.725886,4986.29148128848,15705.676682862206,15192.816594718191,21904849.21481853,21242665.490230743,2,Good,96.14578700034359
BTE01-IDs,Sacramento River,0.6,Alfalfa and Pasture,Alfalfa and pasture,BTE,Pasture,215.0,3.5,2085.238983,1.529787505262948e-07,8420.89009231992,7.07689681653621e-07,1569142.3347075002,0.00011511650977103683,2,Good,96.14578700034359
BTE01-IDs,Sacramento River,0.6,Corn,Field and grain,BTE,Rice,370.9204663,4.450435008,101766.3145,55380.07437740885,457948.41524999996,248587.30637581577,167991499.62229526,91419069.16414037,2,Good,96.14578700034359
BTE01-IDs,Sacramento River,0.6,Other field and grain,Field and grain,BTE,Safflower,429.9064999,1.059039203,712.990372,3.277279182613407e-08,1589.96852956,1.8333691428360114e-07,324615.8442829781,1.4921053503581946e-05,2,Good,96.14578700034359
BTE01-IDs,Sacramento River,0.6,Trees and Vine,Trees and vines,BTE,Subtropical,942.1801854,4.535541375,567.2561944,559.4901634117352,1345.6335689257771,1323.893107673306,2424054.3149194126,2390867.7563366313,2,Good,96.14578700034359
BTE01-IDs,Sacramento River,0.6,Other field and grain,Field and grain,BTE,Sunflowers,3239.762235,0.6099125320000001,230.893158,187.07552008793908,557.4787024907141,450.55423704889057,456238.320031611,369655.91247169493,2,Good,96.14578700034359
BTE01-IDs,Sacramento River,0.6,Vegetables and non-tree fruits,Vegetables,BTE,Tomatoes Processing,77.35725946,46.64298896,774.191738,613.1696788193414,1614.6198805951963,1275.6024191952245,2793418.34442959,2212422.769437961,2,Good,96.14578700034359
BTE01-IDs,Sacramento River,0.6,Vegetables and non-tree fruits,Vegetables,BTE,Truck,742.4217034,17.44810947,55.63443,54.88496223274049,142.4241408,140.15423825090286,720680.3477857313,710971.8508861895,2,Good,96.14578700034359
BTE01-IDs,Sacramento River,0.6,Trees and Vine,Trees and vines,BTE,Almonds,5165.974452,0.8565781309999999,2552.898447,2438.676732918809,8866.486306076551,8448.607672832597,11296730.693293411,10791292.67055581,2,Good,96.14578700034359
BTE01-IDs,Sacramento River,0.6,Trees and Vine,Trees and vines,BTE,Walnuts,1949.323208,2.037882063,16765.31941,16506.91000923042,58010.78924107186,56973.857608277474,66600077.12488991,65573548.15755123,2,Good,96.14578700034359
BTE02-WAs,Sacramento River,0.6,Alfalfa and Pasture,Alfalfa and pasture,BTE,Alfalfa,187.2098036,5.87624882,844.261016,670.9637024262114,2952.099352894754,2340.2710486923834,928764.2725010093,738121.3903621293,3,Good,104.76762955685345
BTE02-WAs,Sacramento River,0.6,Other field and grain,Field and grain,BTE,Beans Dry,1054.225767,1.083582552,340.32974,25.765009992995953,718.6629677467766,54.27109453954355,388772.49538154434,29432.418185103255,3,Good,104.76762955685345
BTE02-WAs,Sacramento River,0.6,Corn,Corn,BTE,Corn,166.71940680000003,5.454093572000001,2042.59385,583.1177996887963,4422.21568525,1259.293898729551,1857337.215931216,530230.9074483531,3,Good,104.76762955685345
BTE02-WAs,Sacramento River,0.6,Other field and grain,Field and grain,BTE,Cotton,1657.32655,0.8275,891.312038,14.701822673847174,3188.708749398239,52.46493779060644,1222378.9493146874,20162.634169503,3,Good,104.76762955685345
BTE02-WAs,Sacramento River,0.6,Vegetables and non-tree fruits,Vegetables,BTE,Cucurbits,161.7514,13.41,195.081332,3.3450797968428157e-07,430.15433706000005,8.182133183272009e-07,423148.23955483694,0.000725576667276646,3,Good,104.76762955685345
BTE02-WAs,Sacramento River,0.6,Other field and grain,Field and grain,BTE,Field and Grain,173.22984259999996,2.485487486,583.517739,538.574234503255,591.784240497006,544.8385208860735,251239.75130628247,231888.84877511708,3,Good,104.76762955685345
BTE02-WAs,Sacramento River,0.6,Trees and Vine,Trees and vines,BTE,Orchards,2061.666385,2.066393172,482.199202,464.7261846744548,1526.8077066910837,1467.8034337055933,2054271.4733345902,1979832.6918184224,3,Good,104.76762955685345
BTE02-WAs,Sacramento River,0.6,Alfalfa and Pasture,Alfalfa and pasture,BTE,Pasture,215.0,3.5,627.896518,7.638470246639982e-08,2518.3882840690344,3.9541798960627197e-07,472492.129795,5.7479488605965864e-05,3,Good,104.76762955685345
BTE02-WAs,Sacramento River,0.6,Corn,Field and grain,BTE,Rice,370.9204663,4.450435008,6510.071453000001,126.13247978178877,29295.321538500008,566.1771630457918,10746548.810488414,208214.12796295708,3,Good,104.76762955685345
