g,HR_Region,shortage_pct,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
ANT01-IDs,Sacramento River,0.8,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,230.6169292,230.752528548642,662.8889632586987,661.6205288529271,982477.3184165967,983055.0005706996,2,Good,78.08681417024681
ANT01-IDs,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,417.254489,1.5465805149211216,1763.595640312418,6.5205381698033005,313984.0029725,1163.801837478144,2,Good,78.08681417024681
ANT01-IDs,Sacramento River,0.8,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,1854.420103,1849.3133948420677,6536.722008614954,6502.424294312408,7366666.799564798,7346380.448386203,2,Good,78.08681417024681
ANT02-WAs,Sacramento River,0.8,Other field and grain,Field and grain,ANT,Field and Grain,173.22984259999996,2.485487486,610.495454,593.0472270152666,647.1251812400001,627.05847933098,262855.29262474744,255342.7734408534,2,Good,78.07862868692119
ANT02-WAs,Sacramento River,0.8,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,752.5419621,737.3200137395328,2151.904185154842,2103.1058496072105,3205989.3065299396,3141140.559050096,2,Good,78.07862868692119
ANT02-WAs,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,1220.895677,385.84943729797874,5160.3190618602985,1626.7797965694206,918723.9969425,290351.701566729,2,Good,78.07862868692119
ANT02-WAs,Sacramento River,0.8,Trees and Vine,Trees and vines,ANT,Almonds,5165.974452,0.8565781309999999,183.9848881,177.45841843896613,657.3511614181565,632.4479487429167,814144.305247965,785264.280574328,2,Good,78.07862868692119
ANT02-WAs,Sacramento River,0.8,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,2919.768044,2884.749795693075,10261.959243363643,10113.535092062592,11598751.694596492,11459642.02534506,2,Good,78.07862868692119
BND01-FULL,Sacramento River,0.8,Other field and grain,Field and grain,BND,Field and Grain,173.22984259999996,2.485487486,131.04541,126.90752202795478,126.24041158965153,121.94860939462026,56422.99114102823,54641.37958829033,2,Good,90.1744692577872
BND01-FULL,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,BND,Pasture,215.0,3.5,255.415207,199.08581491568066,931.839813453195,724.5155790035776,192199.9432675,149812.0757240497,2,Good,90.1744692577872
BTE01-IDs,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,BTE,Alfalfa,187.2098036,5.87624882,427.562673,375.0338685926262,1514.5220015983195,1325.1321569410288,470358.0141824669,412571.52885840414,2,Good,76.57426164389236
BTE01-IDs,Sacramento River,0.8,Other field and grain,Field and grain,BTE,Beans Dry,1054.225767,1.083582552,236.478384,112.38523279777372,507.90301813255076,240.77505702598881,270138.87017771375,128382.21954633253,2,Good,76.57426164389236
BTE01-IDs,Sacramento River,0.8,Corn,Corn,BTE,Corn,166.71940680000003,5.454093572000001,935.383313,648.4033340217738,2027.7031598334186,1402.0803389252885,850547.0817881573,589595.2556659855,2,Good,76.57426164389236
BTE01-IDs,Sacramento River,0.8,Other field and grain,Field and grain,BTE,Field and Grain,173.22984259999996,2.485487486,912.973112,903.3847860030008,876.45418752,865.0812621618909,393090.25634986354,388961.900898223,2,Good,76.57426164389236
BTE01-IDs,Sacramento River,0.8,Trees and Vine,Trees and vines,BTE,Orchards,2061.666385,2.066393172,5141.725886,5030.750531921466,15705.676682862206,15328.279634713803,21904849.21481853,21432070.5308614,2,Good,76.57426164389236
BTE01-IDs,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,BTE,Pasture,215.0,3.5,2085.238983,1709.8035282436442,8420.89009231992,6887.494620779119,1569142.3347075002,1286627.1550033423,2,Good,76.57426164389236
BTE01-IDs,Sacramento River,0.8,Corn,Field and grain,BTE,Rice,370.9204663,4.450435008,101766.3145,78452.29520355587,457948.41524999996,352152.73657355335,167991499.62229526,129505709.08270784,2,Good,76.57426164389236
BTE01-IDs,Sacramento River,0.8,Other field and grain,Field and grain,BTE,Safflower,429.9064999,1.059039203,712.990372,9.555879422592508e-08,1589.96852956,3.551985646859722e-07,324615.8442829781,4.35067567312284e-05,2,Good,76.57426164389236
BTE01-IDs,Sacramento River,0.8,Trees and Vine,Trees and vines,BTE,Subtropical,942.1801854,4.535541375,567.2561944,561.8010451524714,1345.6335689257771,1329.3612295862458,2424054.3149194126,2400742.840840248,2,Good,76.57426164389236
BTE01-IDs,Sacramento River,0.8,Other field and grain,Field and grain,BTE,Sunflowers,3239.762235,0.6099125320000001,230.893158,200.73074930168966,557.4787024907141,483.4416045703069,456238.320031611,396638.25742332893,2,Good,76.57426164389236
BTE01-IDs,Sacramento River,0.8,Vegetables and non-tree fruits,Vegetables,BTE,Tomatoes Processing,77.35725946,46.64298896,774.191738,665.3306625067522,1614.6198805951963,1384.1150858968363,2793418.34442959,2400628.664107307,2,Good,76.57426164389236
BTE01-IDs,Sacramento River,0.8,Vegetables and non-tree fruits,Vegetables,BTE,Truck,742.4217034,17.44810947,55.63443,55.096030979784565,142.4241408,140.69322342234065,720680.3477857313,713706.0048628981,2,Good,76.57426164389236
