g,HR_Region,shortage_pct,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
BTE02-WAs,Sacramento River,0.5,Corn,Corn,BTE,Corn,166.71940680000003,5.454093572000001,2042.59385,2042.59385,4422.21568525,4422.21568525,1857337.215931216,1857337.215931216,10,Infeasible,N/A
BTE02-WAs,Sacramento River,0.5,Other field and grain,Field and grain,BTE,Cotton,1657.32655,0.8275,891.312038,891.312038,3188.708749398239,3188.708749398239,1222378.9493146874,1222378.9493146874,10,Infeasible,N/A
BTE02-WAs,Sacramento River,0.5,Vegetables and non-tree fruits,Vegetables,BTE,Cucurbits,161.7514,13.41,195.081332,195.081332,430.15433706000005,430.15433706000005,423148.23955483694,423148.23955483694,10,Infeasible,N/A
BTE02-WAs,Sacramento River,0.5,Other field and grain,Field and grain,BTE,Field and Grain,173.22984259999996,2.485487486,583.517739,583.517739,591.784240497006,591.784240497006,251239.75130628247,251239.75130628247,10,Infeasible,N/A
BTE02-WAs,Sacramento River,0.5,Trees and Vine,Trees and vines,BTE,Orchards,2061.666385,2.066393172,482.199202,482.199202,1526.8077066910837,1526.8077066910837,2054271.4733345902,2054271.4733345902,10,Infeasible,N/A
BTE02-WAs,Sacramento River,0.5,Alfalfa and Pasture,Alfalfa and pasture,BTE,Pasture,215.0,3.5,627.896518,627.896518,2518.3882840690344,2518.3882840690344,472492.129795,472492.129795,10,Infeasible,N/A
BTE02-WAs,Sacramento River,0.5,Corn,Field and grain,BTE,Rice,370.9204663,4.450435008,6510.071453000001,6510.071453000001,29295.321538500008,29295.321538500008,10746548.810488414,10746548.810488414,10,Infeasible,N/A
BTE02-WAs,Sacramento River,0.5,Trees and Vine,Trees and vines,BTE,Subtropical,942.1801854,4.535541375,277.9083108,277.9083108,688.1290134870101,688.1290134870101,1187584.810174274,1187584.810174274,10,Infeasible,N/A
BTE02-WAs,Sacramento River,0.5,Other field and grain,Field and grain,BTE,Sunflowers,3239.762235,0.6099125320000001,875.054484,875.054484,2105.964458451685,2105.964458451685,1729082.7981844668,1729082.7981844668,10,Infeasible,N/A
BTE02-WAs,Sacramento River,0.5,Vegetables and non-tree fruits,Vegetables,BTE,Tomatoes Processing,77.35725946,46.64298896,472.497166,472.497166,979.6441240158344,979.6441240158344,1704851.8944481337,1704851.8944481337,10,Infeasible,N/A
