g,i,hr,xland,p,y,xwater,omegaland,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater,omegawater_init,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,xratio_labor,xratio_supply,,pc,pimarginal
Coachella,Lettuce,Colorado River,4898.447006,1018,12,1.456538014,0.164570286,0.680529189,1.2720462492145637,0.25,0.17,2859.243032,5814.317411,7949.261967,50,72.8269007,12142.21633,157.68104850695275,12142.21633,1676.850843,10465.36549,-4.882352941,0.9636862575993075,0.036250869491080126,0.473901408,0.3466250354151195,11.924183383550702,0.000816585,234737.09443171433,4898.447220534696,7134.765426195781,-0.000214535,0.008847608,4.37964716158913e-08,1.2400683420211467e-06,GOOD,0.35968660202607483,0.49175901826412594,,1018,12141.05595
Coachella,Onions & Garlic,Colorado River,252.8758648,233,19.3,3.522556052,0.178481578,0.8220938475297447,0.4158621200492846,0.41,0.17,887.6914461,1905.136225,1355.002253,50,176.1278026,4319.938224,24.20162137116877,4319.938224,1676.850843,2643.087381,-4.882352941,0.049832311,0.9501601280750784,0.023219188,0.032646231,10.528098760729835,0.009645145,23909.87199197798,252.8759062570111,890.7683821235116,-4.15E-05,0.001025832,1.6394214273703467e-07,1.1516251601781225e-06,GOOD,0.6551217479671209,0.46594644170006466,,233,4319.35576
Coachella,Other Deciduous,Colorado River,229.1561424,3176,3.7,3.064182243,0.215021845,0.54254216,0.5586272122329681,0.13,0.17,2284.866179,4950.948854,6009.195442,50,153.20911214999998,11597.087733983999,72.61991103587519,11597.087733983999,1676.850843,9920.236891,-4.882352941,0.24223598629827434,0.7577496405028603,0.15249766984663723,0.1502861331135526,2.7749462025978846,0.033567975144565415,134.85887346840065,229.15614609127147,702.1752970802455,-3.69E-06,0.000885336,1.610810617909787e-08,1.2608462605616184e-06,GOOD,0.6204120841421951,0.6295417628777134,,3176,11596.6747
Coachella,Pasture,Colorado River,1257.375693,1504,4.5,8.233264788,0.350906068,0.10289172336777223,0.068524209,0.51,0.17,328.209843,177.7241242,145.0367898,10,82.33264788,6684.971366,77.63242574349765,6684.971366,1676.850843,5008.120523,-4.882352941,0.002742908,0.9972569501420256,0.005065432,0.006207042,1.3477276138821606,0.001559426,452045.99893903197,1257.3756016182233,10352.239365712647,9.138177665590774e-05,0.067652751,7.267658915680005e-08,6.535041052106206e-06,GOOD,2.262942000342034,1.8467377139832826,,1504,6685.14503
Coachella,Tomato Processing,Colorado River,138.0530542,99,49,3.924449153,0.124471553,2.283636824869254,0.28639447182202826,0.74,0.17,657.2463564,2815.18314,996.9547547,50,196.2224577,4653.931115142999,23.443579149252464,4653.931115142999,1676.850843,2977.080273,-4.882352941,0.029056129,0.9709393640528461,0.006783585,0.019155367498841967,23.940004853738703,0.009788638,78741.19586152308,138.0530852860814,541.7816049735459,-3.11E-05,0.000586651,2.2517489081950139e-07,1.0828165197395476e-06,GOOD,0.6592539471827814,0.23346486717761028,,99,4652.08304
Coachella,Truck Crops,Colorado River,8685.421267,167,44,1.168233956,0.139554281,1.1244727167916924,1.262909809962677,0.41,0.17,7441.94487,27484.23099,27982.75263,50,58.4116978,7288.632796,117.87813324140895,7288.632796,1676.850843,5611.781953,-4.882352941,0.9830582060778736,0.016831744,0.346319028,0.32678690578896447,43.91902105533613,0.000280818,1743538.326979829,8685.422499146005,10146.592427468302,-0.001232146,0.011618805639955099,1.4186370096191354e-07,1.145093036740877e-06,GOOD,0.332418674,0.35228740820875265,,167,7287.061365
Coachella,Vineyard,Colorado River,292.8316785,2169.868244,6.89108619,4.088997246,0.302297005,0.1329510358537938,0.3058799853780738,0.13,0.17,2773.231975,2743.166444,4105.247296,50,204.4498623,14747.49237164195,69.38001108639334,14747.49237164195,1676.850843,13070.64153,-4.882352941,0.069312842,0.930684787,0.10451647740864485,0.068905692,4.000291709,0.026268700612279185,227.06049145915333,292.8316809581344,1197.3863981272773,-2.46E-06,0.001528801,8.394359621147305e-09,1.2767798519576722e-06,GOOD,0.9941259073363267,1.5078948555200695,,2169.868244,14747.5581
Imperial,Alfalfa,Colorado River,133154.8505,250,7.4,6.349688555,0.306290873,0.13122437452970753,0.081460253,1.86,0.17,739.7198673,484.1807412,381.4811931,50,317.4844278,1531.8508425119999,5.537983428327066,1531.8508425119999,77.97136572,1453.879477,-4.882352941,0.000580775,0.9994190892024991,0.000887294,0.001126165,1.671884916732632,4.037662965962704e-06,210376956.74540997,133154.85417437003,845491.8137831334,-0.00367437,0.016479453,2.7594714117965982e-08,1.9490966105695575e-08,GOOD,1.939072961544676,1.5277763122781245,,250,1531.996597
Imperial,Citrus & Subtropical,Colorado River,6925.451268,3331,3.1,5.958172293,0.183365181,0.094855843,0.7506750003126099,0.13,0.17,2549.235389,1743.692937,5418.931559,50,297.9086147,10027.50513,32.935531934509605,10027.50513,77.97136572,9949.533762,-4.882352941,0.005499801,0.9944999227530451,0.007646689,0.002718188,1.074359618040624,0.00111073,4087.6657852658277,6925.451270358607,41263.03021950257,-2.36E-06,0.001642017,3.405708986678214e-10,3.979389469954822e-08,GOOD,0.49423381869050864,1.3903572019867076,,3331,10027.16249
Imperial,Corn,Colorado River,48057.08006,544,12,3.708931611,0.234536008,1.320694044672553,0.033525185,0.3,0.17,423.9938724,1022.014707,159.5840787,50,185.4465806,6341.6736584929995,33.36695609895442,6341.6736584929995,77.97136572,6263.702293,-4.882352941,0.05379128,0.9462032473558862,0.022668121553455975,0.1422758039516083,6.634056111691731,6.936196142528043e-05,3221645.3538217926,48057.080179385106,178240.41665511977,-0.000119385,0.006711772,2.4842355307795696e-09,3.7655722960946094e-08,GOOD,2.644960375498291,0.4214088525991567,,544,6340.964664
Imperial,Cucurbits,Colorado River,4143.317278,516,18.5,2.811221224,0.087908733,0.5954029958862788,4.8590594140887005,0.05,0.17,920.9338517,2396.72349,6846.813993,50,140.5610612,9404.468678,64.23615958635524,9404.468678,77.97136572,9326.497313,-4.882352941,0.3008558956016171,0.6991158775757256,0.11560297988496862,0.04046676,14.509664279556063,0.00482705,0.003982458,4143.317279,11647.781013689044,-1.38E-06,0.00045599,3.3329319799419944e-10,3.9148267644077636e-08,GOOD,0.13450545739469513,0.38424701518246485,,516,9399.896568
