region,crop,hr,xland,p,y,xwater_unit,omegaland,omegawater,omegasupplies,omegalabor,theta,sigma,omegaland_init,omegasupplies_init,omegalabor_init,omegawater_unit,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupplies,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,xratio_labor,xratio_supply
  - TRC02-CC-WAs,Alfalfa,San Joaquin River,160.8228498,281.0,6.7,4.134965358,0.306290873,206.74826789999997,0.13122437452970753,0.08146025298303902,1.86,0.17,739.7198673,484.1807412,381.4811931,50,1675.287002362,8.64481801751423,1675.287002362,385.716359827,1289.570642535,-4.88235294117647,0.00786077460031691,0.992137543841791,0.012009505230521716,0.015242615484271678,2.543266983132194,0.003343022519938896,225381.00820774617,160.82260778537903,664.9952019867183,0.00024201462096584692,0.0017107111189034185,1.5048522101605422e-06,2.5725098661935224e-06,GOOD,1.939072961544676,1.5277763122781245
  - TRC02-CC-WAs,Almonds & Pistachios,San Joaquin River,173.7257829,4883.0,1.2,4.125499535,0.287448101,206.27497675,0.311217018052816,0.03090217019351817,0.4,0.17,2039.310074,2110.873995,639.9084906,50,5652.644230159,26.965043945664668,5652.644230159,385.716359827,5266.927870332,-4.88235294117647,0.02637806967719612,0.9736200948713701,0.025350764710969052,0.08045040652876641,0.5741367948986098,0.01439049494132399,30044.787474528137,173.72576916747818,716.7048729352097,1.3732521836118394e-05,0.0007636362513494532,7.90471144057132e-08,1.0654810181241163e-06,GOOD,3.0498974152879694,0.9610545813701002
  - TRC02-CC-WAs,Citrus & Subtropical,San Joaquin River,268.0468524,933.0,3.6,3.247465856,0.183365181,162.3732928,0.09485584338438294,0.7506750003126099,0.13,0.17,2549.235389,1743.692937,5418.931559,50,3195.740449542,19.617723303371225,3195.740449542,385.716359827,2810.024089715,-4.88235294117647,0.058907246212131316,0.9410834844771221,0.08190211402024097,0.02911395324396366,2.0362492143992172,0.02869762365584,44.685401224817895,268.04684259378627,870.4720959212705,9.806213711271994e-06,0.0009050560011019115,3.6583953974726824e-08,1.039728975035198e-06,GOOD,0.49423381869050864,1.3903572019867076
  - TRC02-CC-WAs,Corn,San Joaquin River,276.3050338,59.0,27.1,2.415829265,0.234536008,120.79146325,1.320694044672553,0.03352518541352239,0.3,0.17,423.9938724,1022.014707,159.5840787,50,1477.228775793,12.515382455355429,1477.228775793,385.716359827,1091.512415966,-4.88235294117647,0.14154713132592708,0.8583910534399068,0.05964921420076109,0.37438655362253,18.453710581229604,0.012063961656761294,3228.373448930482,276.3049917391421,667.5049988098725,4.2060857879278046e-05,0.0007879109816713026,1.5222617301182897e-07,1.1803807507676348e-06,GOOD,2.644960375498291,0.4214088525991567
  - TRC02-CC-WAs,Cucurbits,San Joaquin River,326.5079816,203.0,12.0,2.299627126,0.087908733,114.98135629999999,0.5954029958862788,4.8590594140887005,0.05,0.17,920.9338517,2396.72349,6846.813993,50,2320.0483831340002,20.00834540048819,2320.0483831340002,385.716359827,1934.332023307,-4.88235294117647,0.25706394645507785,0.7428382916827645,0.09877605413638862,0.03457650369762567,9.176584256961515,0.06125424530816431,6.509159700168842e-05,326.5079772040457,750.8458506498804,4.395954306346539e-06,0.000760692988478695,1.346354317222161e-08,1.0131136999049862e-06,GOOD,0.13450545739469513,0.38424701518246485
  - TRC02-CC-WAs,Dry Beans,San Joaquin River,12.64501867,1752.0,1.3,2.212101358,0.272510229,110.6050679,0.8579188204514863,0.04137219977784526,1.68,0.17,521.9411016,903.6303871,214.6292221,50,2166.1327210739996,19.459906781997343,2166.1327210739996,385.716359827,1780.416361247,-4.88235294117647,0.28872973696067933,0.7111916700994851,0.16272707643588152,0.7410177533837519,1.0183426341729915,0.04707293130774755,20859.705898637603,12.645012759619597,27.972033972964784,5.910380403761906e-06,2.89988775712402e-05,4.674078036582215e-07,1.036708575997111e-06,GOOD,2.5664753522934403,0.5635965250716192
  - TRC02-CC-WAs,Grain,San Joaquin River,529.1175685,164.0,2.5,0.466656841,0.351483763,23.33284205,0.6729928083090427,0.036299510576689786,0.74,0.17,345.3012994,477.8051109,110.9675411,50,385.716359827,16.079804662496404,385.716359827,385.716359827,0.0,-4.88235294117647,0.9969937457477995,0.0014585659933165312,0.7205097397924388,3.1023777916232085,2.5294268245072735,0.002553971804758457,35.62909030107439,529.1188627439412,246.91669612432352,-0.0012942439412881868,-0.0003630905124509809,2.4460422755518217e-06,1.4705001811332655e-06,GOOD,3.1117324505343373,0.7226823065494933
  - TRC02-CC-WAs,Pasture,San Joaquin River,1345.535872,276.0,5.0,4.600187047,0.350906068,46.00187047,0.10289172336777223,0.06852420918280822,0.51,0.17,328.209843,177.7241242,145.0367898,10,1333.302143125,28.144454633191646,1333.302143125,385.716359827,947.585783298,-4.88235294117647,0.016561843137045708,0.983433871515716,0.03058538033425751,0.03747849043789721,2.1739416021473135,0.0014572516084695587,91556.03609929382,1345.535020586896,6189.681831976693,0.0008514131038737105,0.03485767155780195,6.327687886969323e-07,5.6315455626746695e-06,GOOD,2.262942000342034,1.8467377139832826
  - TRC02-CC-WAs,Safflower,San Joaquin River,34.51428908,574.0,1.3,2.40565496,0.396694215,24.0565496,0.4537037030434028,0.03215870805598959,0.74,0.17,212.2655769,227.006242,60.43672676,10,721.2095661029999,28.437548127244778,721.2095661029999,385.716359827,335.493206276,-4.88235294117647,0.2921276931477399,0.7076548363173354,0.2731583626653132,1.0260094628345773,1.0173338142640564,0.039153387984294866,2220.9724056843143,34.5142471904521,83.02901624064513,4.188954789441368e-05,0.00045447553070232516,1.2136871136855439e-06,5.473665275500595e-06,GOOD,3.5121951355556216,0.9350649358914657
  - TRC02-CC-WAs,Tomato Processing,San Joaquin River,429.1841032,101.0,43.3,2.379660861,0.124471553,118.98304305,2.283636824869254,0.28639447182202826,0.74,0.17,657.2463564,2815.18314,996.9547547,50,4253.470529742999,34.758124275395524,4253.470529742999,385.716359827,3867.754169916,-4.88235294117647,0.34156133537662675,0.658380691982069,0.07974257179671136,0.22517565855206298,34.94636489727694,0.003148651921810862,318026.82348847116,429.1840585575527,1021.311501923709,4.464244727842015e-05,0.0011106247158068072,1.040170102889779e-07,1.0874483504473003e-06,GOOD,0.6592539471827814,0.23346486717761028
  - TRC02-CC-WAs,Truck Crops,San Joaquin River,205.7094683,5380.668006,9.092879264,2.667732673,0.139554281,133.38663365000002,1.1244727167916924,1.262909809962677,0.288158927,0.17,7441.94487,27484.23099,27982.75263,50,48791.42239791063,346.845495520804,48791.42239791063,385.716359827,48405.7060380836,-4.88235294117647,0.7523721360992319,0.24761528181047324,0.26505122983488133,0.2501025481885101,8.58295407917023,0.016869943963976175,89258.35985517707,205.70946753376398,548.7773467850315,7.66236013305388e-07,0.0005229443363532482,3.724845626395448e-09,9.52925336823696e-07,GOOD,0.332418674467662,0.35228740820875265
Butte Valley,Alfalfa,North Coast,10605.70113,236.0,6.3,2.331077971,0.306290873,116.55389855,0.13122437452970753,0.08146025298303902,1.86,0.17,739.7198673,484.1807412,381.4811931,50,1369.581371712,12.079991215397628,1369.581371712,855.110416135,514.470955577,-4.88235294117647,0.1586903630951053,0.8412681146726797,0.24244337772351657,0.3077121923354258,4.394230372170037,5.069296239937986e-05,5931711.419850639,10605.71326679367,24722.705052521724,-0.012136793669924373,0.01121863108346588,1.1443650467948244e-06,4.5377825641902096e-07,GOOD,1.939072961544676,1.5277763122781245
