HR,cvp_2021_wrt_2019,swp_2021_wrt_2019,curtailed_2021_wrt_2019,fallow_net_2021,applied_shortage_2021,net_local_gw_2021,cvp_2022_wrt_2019,swp_2022_wrt_2019,curtailed_2022_wrt_2019,fallow_net_2022,applied_shortage_2022,net_local_gw_2022,year
Sacramento River,328753.13335899997,0,85283.49999,201457.63634999996,783819.4601384545,369782.82675375434,1030260.763,0,257071.75,379239.2043100001,1513299.521,225967.00815175995,2022
San Joaquin River,614136.5042170001,1362,173736.375,69299.74713,211668.15748936532,-577566.7217,840402.7169,902,673394.8749846001,82174.9568,254776.02222383613,-1259923.57,2022
Tulare Lake,2030218.232,500120.5373,0,266835.4139,842766.0885408247,-1687572.681,1983639.585,742420.3651860419,0,233964.20997999999,792633.2677993937,-1933426.682,2022
