HR,cvp_2021_wrt_2018,swp_2021_wrt_2018,curtailed_2021_wrt_2018,fallow_net_2021,applied_shortage_2021,net_local_gw_2021,cvp_2022_wrt_2018,swp_2022_wrt_2018,curtailed_2022_wrt_2018,fallow_net_2022,applied_shortage_2022,net_local_gw_2022,year
Sacramento River,458374.88856600004,0,85283.49999,195284.43712000002,783445.3535980097,239786.96500630962,1159882.518,0,257071.75,373698.04854999995,1515569.5936294466,98615.32560744658,2022
San Joaquin River,467324.28,1467,173736.375,89620.39749999998,257788.17518135897,-384739.4798,693058.4033,1007,673394.8749846001,97066.08619999999,282397.3597404556,-1085062.919,2022
Tulare Lake,1265083.9546359999,106220.4782,0,262262.439,851702.5224068583,-519601.9103,1213710.763,335630.6837,0,213563.82601999998,732153.6017646836,-817187.8454,2022
