g,HR,cvp_2021_wrt_2018,swp_2021_wrt_2018,curtailed_2021_wrt_2018,fallow_net_2021,applied_shortage_2021,net_local_gw_2021,cvp_2022_wrt_2018,swp_2022_wrt_2018,curtailed_2022_wrt_2018,fallow_net_2022,applied_shortage_2022,net_local_gw_2022
KRN04-CC,Tulare Lake,0.0,1379.63011,0.0,5108.38878,14342.331340904884,12962.701230904884,0.0,7889.87867,0.0,4592.009369999998,13646.7532643173,5756.8745943173
KRN05-SC,Tulare Lake,63770.04829,8723.1343,0.0,11978.579619999999,39241.84193069422,-33251.34065930577,-14186.5778,49956.54739,0.0,5875.78986,22638.473362364137,-13131.496227635864
KRN06-OTHER,Tulare Lake,28911.69262,1480.87632,0.0,2111.48608,7723.946914315707,-22668.622025684293,27928.28363,243.29725,0.0,1022.4480600000003,5988.518900575264,-22183.06197942474
LMS01-IDs,Sacramento River,0.0,0.0,51.25,420.1988,1187.7777971984162,1136.5277971984162,0.0,0.0,563.75,555.94791,1646.5667473177782,1082.8167473177782
LMS02-WAs,Sacramento River,0.0,0.0,35.75,0.0,0.0,-35.75,0.0,0.0,304.0,69.51282,293.80751922317097,-10.19248077682903
MAD01-SW-WA,San Joaquin River,0.0,0.0,0.0,20.805659999999992,-282.3358998032718,-282.3358998032718,0.0,0.0,713.0,329.82698,958.5210289536029,245.52102895360292
MAD02-CC-MID&Gravelly,San Joaquin River,78217.31373,0.0,31.0,1975.45781,3916.52050818091,-74331.79322181908,104348.6613,0.0,388.0,2228.38563,6102.366168183137,-98634.29513181686
MAD03-E-WA,San Joaquin River,2453.640562,0.0,0.0,3234.17113,9049.005317187426,6595.3647551874255,3279.904917,0.0,26.75,3308.59399,10423.124319123097,7116.469402123097
MER01-CC-MID,San Joaquin River,0.0,0.0,30.75,5287.611130000001,15303.587751124129,15272.837751124129,0.0,0.0,247.0,7973.958690000001,25056.653029149624,24809.653029149624
MER02-NW-StevinsonMerquin,San Joaquin River,0.0,0.0,246.4999998,295.17096000000004,812.4814356111176,565.9814358111175,0.0,0.0,484.6666666,315.77665,552.3008969220083,67.6342303220083
MER03-SW-TurnerIs,San Joaquin River,0.0,0.0,5860.0,338.83506,1738.2238578,-4121.7761422,0.0,0.0,17077.75,447.65722,1866.8272842391234,-15210.922715760877
MER04-RestWA,San Joaquin River,1268.788179,0.0,22164.0,7758.414470000001,29655.001255271043,6222.213075271044,1268.788179,0.0,42608.75,8194.67971,30170.850070187695,-13706.688109812309
MOD01-CC-OAK&MID,San Joaquin River,0.0,0.0,454.375,2958.3043999999995,9006.881192688372,8552.506192688372,0.0,0.0,1468.5,2881.68518,8237.419951986576,6768.919951986576
MOD02-E&W-WA,San Joaquin River,0.0,0.0,85717.40625,24.029749999999993,0.4765257294010894,-85716.9297242706,0.0,0.0,310769.7604,245.61514999999997,885.45248327767,-309884.3079167224
NAM01-IDs,Sacramento River,-8137.35859,0.0,278.25,12031.038900000001,52870.54497760784,60729.653567607835,37739.3236,0.0,2278.75,20759.306979999994,84882.24791111333,44864.174311113326
NAM02-WAs,Sacramento River,12395.49385,0.0,6541.375,2797.4763599999997,13739.845559111427,-5197.023290888572,9047.423993,0.0,13076.0,4837.040450000001,20576.490743923012,-1546.9332460769874
NYB01-CE-IDs,Sacramento River,0.0,0.0,14539.75,22.923070000000052,957.3576207065264,-13582.392379293473,0.0,0.0,18820.25,-399.03843,-1657.767584233988,-20478.01758423399
NYB02-CW-WAs,Sacramento River,0.0,0.0,0.0,265.53308,914.7427055046812,914.7427055046812,0.0,0.0,0.0,522.48929,1813.0374976096994,1813.0374976096994
RBF01-FULL,Sacramento River,0.0,0.0,1.0,1268.14206,4451.406555715797,4450.406555715797,0.0,0.0,0.0,741.16378,2155.990733684709,2155.990733684709
SAM01-IDs,Sacramento River,0.0,0.0,1126.0,238.01652,949.8945715323174,-176.1054284676826,0.0,0.0,10070.75,523.48498,1542.6532382690732,-8528.096761730927
