g,i,applied_water_unit,fallow_2018,fallow_2021,fallow_net_2021,applied_shortage_2021,fallow_2022,fallow_net_2022,applied_shortage_2022,year
DLM04-SW-IDs,Alfalfa,4.296666667,21.45421,188.54403,167.08982,717.92926,225.83795,204.38374000000002,878.1688029347947,2022
DLM04-SW-IDs,Almonds,4.013678396,2069.58889,1355.41021,-714.17868,-2866.483539,2828.86008,759.2711899999999,3047.470372008211,2022
DLM04-SW-IDs,Corn,1.89,347.23201,255.17082,-92.06119,-173.9956491,260.33399,-86.89802,-164.2372578,2022
DLM04-SW-IDs,Cotton,3.356666667,95.41565,3405.04908,3309.63343,11109.336214469877,2970.89976,2875.48411,9652.041664,2022
DLM04-SW-IDs,Cucurbits,2.32,75.53869,1930.81133,1855.27264,4304.232525,2637.61012,2562.07143,5944.005717599999,2022
DLM04-SW-IDs,Fallow,2.5,3752.13092,2548.0726099999997,-1204.05831,-3010.145775,2186.61542,-1565.5155,-3913.78875,2022
DLM04-SW-IDs,Field and Grain,0.753333333,825.41019,1641.62949,816.2193000000001,614.8852057,2100.11346,1274.70327,960.276463,2022
DLM04-SW-IDs,Grapes,2.62,0,294.81689,294.81689,772.4202518000001,684.21845,684.21845,1792.652339,2022
DLM04-SW-IDs,Lettuce,2.57212037,28.81176,367.18694,338.37518,870.3416931804165,0,-28.81176,-74.10731479,2022
DLM04-SW-IDs,Onions and Garlic,2.933333333,161.1506,629.22177,468.07117,1373.0087651773097,313.73473,152.58413000000002,447.58011461580537,2022
DLM04-SW-IDs,Orchards,3.419450593,104.40414,136.89695,32.492810000000006,111.10755842273635,177.34557,72.94143000000001,249.41961606776803,2022
DLM04-SW-IDs,Pasture,5.373333333,917.22094,851.0314,-66.18954,-355.6584616,1304.93251,387.71157000000005,2083.303502670763,2022
DLM04-SW-IDs,Pistachios,3.769136627,2296.36354,383.02331,-1913.34023,-7211.640741,0,-2296.36354,-8655.307928,2022
DLM04-SW-IDs,Subtropical,3.756680966,0,0,0,0,0,0,0,2022
DLM04-SW-IDs,Tomatoes,2.125,176.60985,3487.82494,3311.21509,7036.332066,4894.78739,4718.177540000001,10026.127272500002,2022
DLM04-SW-IDs,Truck,1.003333333,384.01535,502.38463,118.36928,118.76384422721024,34.34999,-349.66536,-350.8309111,2022
DLM04-SW-IDs,Walnuts,3.687628901,0,0,0,0,6.89674,6.89674,25.43261774668274,2022
DLM04-SW-IDs,Young Perennial,2.5,1723.71551,790.22948,-933.48603,-2333.715075,276.74205,-1446.97346,-3617.43365,2022
DLM05-S-WAs,Alfalfa,5.235,0,0,0,0,0,0,0,2022
DLM05-S-WAs,Almonds,4.104390107,169.0536,355.03584,185.98224000000002,763.3436659336999,706.12049,537.0668900000001,2204.3320301132576,2022
DLM05-S-WAs,Cotton,3.69,0,230.59719,230.59719,850.9036311,230.59719,230.59719,850.9036311,2022
DLM05-S-WAs,Fallow,2.5,266.60081,668.70996,402.10915,1005.272875,460.87222999999994,194.27141999999992,485.6785499999998,2022
DLM05-S-WAs,Field and Grain,0.931666667,249.92856,249.92856,0,0,249.92856,0,0,2022
DLM05-S-WAs,Grapes,3.811666667,0,649.14172,649.14172,2474.311856283047,430.74897,430.74897,1641.8714907935828,2022
DLM05-S-WAs,Onions and Garlic,3.083333333,0,0,0,0,0,0,0,2022
DLM05-S-WAs,Orchards,4.509848169,0,3.17602,3.17602,14.323367981707378,0,0,0,2022
DLM05-S-WAs,Pasture,5.623333333,0,0,0,0,0,0,0,2022
DLM05-S-WAs,Pistachios,3.871590096,23.26053,0,-23.26053,-90.05523758,0,-23.26053,-90.05523758,2022
DLM05-S-WAs,Safflower,2.5,0,0,0,0,0,0,0,2022
DLM05-S-WAs,Subtropical,3.348306937,0,0,0,0,0,0,0,2022
DLM05-S-WAs,Truck,2.5,0,0,0,0,0,0,0,2022
DLM05-S-WAs,Walnuts,3.733608321,0,0,0,0,0,0,0,2022
DLM05-S-WAs,Young Perennial,2.5,0,0,0,0,0,0,0,2022
DLM06-S-IDs,Alfalfa,5.34,0,487.48519,487.48519,2603.170915,507.19762,507.19762,2708.4352907999996,2022
DLM06-S-IDs,Almonds,4.668285515,184.72079,0,-184.72079,-862.3293883,0,-184.72079,-862.3293883,2022
DLM06-S-IDs,Beans Dry,2.5,0,22.14064,22.14064,55.351600000000005,0,0,0,2022
DLM06-S-IDs,Corn,2.5,0,0,0,0,0,0,0,2022
DLM06-S-IDs,Cotton,3.826666667,4.26002,879.15873,874.8987099999999,3347.945730558299,763.6466,759.38658,2905.919313053129,2022
DLM06-S-IDs,Cucurbits,2.326666667,0,0,0,0,0,0,0,2022
DLM06-S-IDs,Fallow,2.5,76.94548,219.69174,142.74626,356.86565,112.82753,35.88204999999999,89.70512499999998,2022
DLM06-S-IDs,Grapes,3.983333333,0,72.33795,72.33795,288.14616747588735,72.33795,72.33795,288.14616747588735,2022
DLM06-S-IDs,Onions and Garlic,3.006666667,0,761.21986,761.21986,2288.734379320407,547.25029,547.25029,1645.3992054490834,2022
DLM06-S-IDs,Orchards,4.576458672,0,0,0,0,0,0,0,2022
DLM06-S-IDs,Pistachios,4.129794053,0,0,0,0,0,0,0,2022
DLM06-S-IDs,Tomatoes,2.693333333,0,584.81436,584.81436,1575.1000094050619,364.55774,364.55774,981.8755129451475,2022
DLM06-S-IDs,Truck,1.313333333,0,0,0,0,0,0,0,2022
DLM06-S-IDs,Young Perennial,2.5,0,0,0,0,0,0,0,2022
ESJ01-NW-IDs,Alfalfa,3.933333333,84.48904,281.31555,196.82650999999998,774.1842726010578,429.05917,344.57013,1355.3091778851433,2022
ESJ01-NW-IDs,Almonds,4.031958499,0,0,0,0,0,0,0,2022
ESJ01-NW-IDs,Berries,2.028759259,0,0,0,0,0,0,0,2022
ESJ01-NW-IDs,Corn,1.6,68.5313,919.62738,851.09608,1361.7537280000001,1531.90922,1463.37792,2341.404672,2022
ESJ01-NW-IDs,Cucurbits,1.74,0,0,0,0,0,0,0,2022
ESJ01-NW-IDs,Fallow,2.5,1.40088,0,-1.40088,-3.5022,0,-1.40088,-3.5022,2022
ESJ01-NW-IDs,Field and Grain,0.286666667,56.82963,0,-56.82963,-16.29116062,0,-56.82963,-16.29116062,2022
ESJ01-NW-IDs,Grapes,2.313333333,50.78525,253.67064,202.88539,469.3415354657049,393.04451,342.25926,791.7597546859135,2022
ESJ01-NW-IDs,Onions and Garlic,1.196666667,0,0,0,0,0,0,0,2022
ESJ01-NW-IDs,Orchards,3.029258763,0,373.09521,373.09521,1130.2019343258253,189.9032,189.9032,575.2659327217416,2022
ESJ01-NW-IDs,Pasture,3.923333333,0,0,0,0,2.78759,2.78759,10.93664476573747,2022
ESJ01-NW-IDs,Potatoes,1.466666667,0,0,0,0,76.70916,76.70916,112.50676802556971,2022
ESJ01-NW-IDs,Rice,4.5,0,25.78655,25.78655,116.039475,0,0,0,2022
ESJ01-NW-IDs,Safflower,0.803333333,0,127.04077,127.04077,102.05608519098641,0,0,0,2022
ESJ01-NW-IDs,Subtropical,2.816210872,0,0,0,0,27.04096,27.04096,76.15304554131711,2022
ESJ01-NW-IDs,Sunflowers,2.843333333,0,0,0,0,52.27687,52.27687,148.64056701590772,2022
ESJ01-NW-IDs,Tomatoes,1.703333333,0,0,0,0,0,0,0,2022
ESJ01-NW-IDs,Truck,2.306666667,0,0,0,0,103.54987,103.54987,238.8550335011833,2022
ESJ01-NW-IDs,Walnuts,3.696894613,24.44637,19.09433,-5.35204,-19.78592784,19.09433,-5.35204,-19.78592784,2022
ESJ01-NW-IDs,Young Perennial,2.5,0,0,0,0,0,0,0,2022
ESJ02-SW-IDs,Alfalfa,4.235833333,90.61018,396.25525,305.64507,1294.6615755731184,234.60471,143.99453,609.9368299436685,2022
ESJ02-SW-IDs,Almonds,4.079930296,708.11555,1276.6519,568.5363500000001,2319.5886787422596,1432.9978,724.8822500000001,2957.469052807646,2022
ESJ02-SW-IDs,Beans Dry,1.85,0,110.08503,110.08503,203.6573055,52.92204,52.92204,97.90577400000001,2022
ESJ02-SW-IDs,Berries,2.028759259,0,88.08282,88.08282,178.69883663383038,34.46626,34.46626,69.92374409810134,2022
ESJ02-SW-IDs,Corn,1.6725,444.1351,754.46431,310.32920999999993,519.0256037249999,943.18345,499.04834999999997,834.6583654,2022
ESJ02-SW-IDs,Cucurbits,1.8,0,108.68319,108.68319,195.629742,90.25941,90.25941,162.466938,2022
ESJ02-SW-IDs,Fallow,2.5,293.05214,322.66676,29.614620000000002,74.03655,166.89793,-126.15421,-315.385525,2022
ESJ02-SW-IDs,Field and Grain,0.366666667,59.52199,166.27153,106.74954000000001,39.14149803558318,147.93252,88.41053000000001,32.417194362803514,2022
ESJ02-SW-IDs,Grapes,2.696666667,286.1498,695.71236,409.56255999999996,1104.4537036031875,511.80769,225.65788999999995,608.5241101085526,2022
ESJ02-SW-IDs,Lettuce,2.57212037,0,0,0,0,0,0,0,2022
ESJ02-SW-IDs,Onions and Garlic,1.336666667,0,70.92593,70.92593,94.80432646,70.92593,70.92593,94.80432646,2022
ESJ02-SW-IDs,Orchards,3.641524622,26.81937,86.32802,59.508649999999996,216.7022141969803,71.76171,44.942339999999994,163.65863768029547,2022
ESJ02-SW-IDs,Pasture,4.645833333,0,83.42414,83.42414,387.5746503888586,156.94854,156.94854,729.1567586976838,2022
ESJ02-SW-IDs,Pistachios,2.5,0,0,0,0,0,0,0,2022
ESJ02-SW-IDs,Potatoes,1.987,122.50202,115.58244,-6.91958,-13.74920546,102.98231,-19.51971,-38.78566377,2022
ESJ02-SW-IDs,Rice,4.5,12.64965,72.87875,60.229099999999995,271.03094999999996,89.67752,77.02787000000001,346.62541500000003,2022
ESJ02-SW-IDs,Safflower,0.976666667,0,0,0,0,36.79709,36.79709,35.93849124559903,2022
ESJ02-SW-IDs,Subtropical,2.992949163,0,0.70545,0.70545,2.111375987,0,0,0,2022
ESJ02-SW-IDs,Tomatoes,1.686666667,0,0,0,0,66.73707,66.73707,112.5631914222457,2022
ESJ02-SW-IDs,Truck,2.24,144.86644,114.47227,-30.39417,-68.0829408,140.50029,-4.36615,-9.780176,2022
ESJ02-SW-IDs,Walnuts,3.721210275,73.82794,364.44972,290.62178,1081.4647538747895,351.0522,277.22426,1031.6097647912716,2022
ESJ02-SW-IDs,Young Perennial,2.5,44.18162,0,-44.18162,-110.45405,0,-44.18162,-110.45405,2022
ESJ03-CE-WAs,Alfalfa,3.936666667,253.3348,713.49767,460.16287,1811.5078317200541,589.33218,335.99738,1322.7096860453325,2022
ESJ03-CE-WAs,Almonds,4.086657788,901.3715,54.35173,-847.01977,-3461.47994,127.1612,-774.2103,-3163.932552,2022
ESJ03-CE-WAs,Beans Dry,1.643333333,42.60761,355.584,312.97639,514.3245341290078,285.59654,242.98893,399.3118082190037,2022
ESJ03-CE-WAs,Berries,2.028759259,0,0,0,0,0,0,0,2022
ESJ03-CE-WAs,Corn,1.623333333,118.30967,1173.4452,1055.13553,1712.8366766816214,1234.62428,1116.31461,1812.150716527895,2022
ESJ03-CE-WAs,Cotton,2.576666667,0,0,0,0,0,0,0,2022
ESJ03-CE-WAs,Cucurbits,1.806666667,0,690.13813,690.13813,1246.8495550967127,903.13778,903.13778,1631.6689228343794,2022
ESJ03-CE-WAs,Fallow,2.5,72.27274000000001,105.54676,33.27401999999999,83.18504999999999,71.39542,-0.87732,-2.1933,2022
ESJ03-CE-WAs,Field and Grain,0.093333333,0,284.89783,284.89783,26.59046403836739,343.5092,343.5092,32.06085855,2022
ESJ03-CE-WAs,Grapes,2.566666667,464.89811,2790.83317,2325.93506,5969.899988108644,2319.88507,1854.9869599999997,4761.133197951661,2022
ESJ03-CE-WAs,Lettuce,2.57212037,0,47.22609,47.22609,121.47118808445329,0,0,0,2022
ESJ03-CE-WAs,Onions and Garlic,1.296666667,0,0,0,0,0,0,0,2022
ESJ03-CE-WAs,Orchards,3.783447585,85.42083,613.59095,528.17012,1998.303965,770.32927,684.9084399999999,2591.315183264117,2022
ESJ03-CE-WAs,Pasture,4.476666667,28.59514,244.85441,216.25927000000001,968.1206654387531,423.16888,394.57374,1766.3751095315245,2022
ESJ03-CE-WAs,Pistachios,3.851562498,0,0,0,0,0,0,0,2022
ESJ03-CE-WAs,Potatoes,1.57,309.56897,141.86949,-167.69948,-263.2881836,115.61951,-193.94946,-304.5006522,2022
ESJ03-CE-WAs,Safflower,2.5,0,0,0,0,0,0,0,2022
ESJ03-CE-WAs,Subtropical,2.943566316,6.01007,7.47488,1.46481,4.311765375,74.24564,68.23557,200.8559254050601,2022
ESJ03-CE-WAs,Tomatoes,1.753333333,40.9383,377.46228,336.52398000000005,590.0387114878255,242.07778,201.13948,352.66455486628684,2022
ESJ03-CE-WAs,Truck,2.706666667,15.76085,216.8504,201.08955,544.2823820670299,182.29336,166.53251,450.74799378884416,2022
ESJ03-CE-WAs,Walnuts,3.724620267,1274.1342,1737.15745,463.02324999999996,1724.5857810422076,1700.50434,426.37014,1588.0668646876275,2022
ESJ03-CE-WAs,Young Perennial,2.5,15.03331,14.43707,-0.59624,-1.4906,14.43707,-0.59624,-1.4906,2022
KAW01-CC-TID,Alfalfa,5.24,0,499.80827,499.80827,2618.995335,584.4204,584.4204,3062.362896,2022
KAW01-CC-TID,Almonds,4.669644996,158.66279,96.16654,-62.49625,-291.8353011,96.16654,-62.49625,-291.8353011,2022
KAW01-CC-TID,Beans Dry,2.333333333,0,0,0,0,44.34667,44.34667,103.47556331855112,2022
KAW01-CC-TID,Berries,3.210888889,0,0,0,0,19.93971,19.93971,64.02419329,2022
KAW01-CC-TID,Corn,2.623333333,53.44433,1552.83716,1499.39283,3933.4071902002024,2716.36784,2662.92351,6985.736007,2022
KAW01-CC-TID,Cotton,3.7,59.23018,1093.96261,1034.73243,3828.5099910000004,1204.06638,1144.8362,4235.89394,2022
KAW01-CC-TID,Cucurbits,2.5,9.27646,0,-9.27646,-23.19115,0,-9.27646,-23.19115,2022
KAW01-CC-TID,Fallow,2.5,73.70573,283.34193,209.63619999999997,524.0904999999999,17.34293,-56.3628,-140.907,2022
KAW01-CC-TID,Field and Grain,0.703333333,0,104.86286,104.86286,73.75354483171238,0,0,0,2022
KAW01-CC-TID,Grapes,3.966666667,0,0,0,0,0,0,0,2022
KAW01-CC-TID,Lettuce,2.57212037,0,0,0,0,0,0,0,2022
KAW01-CC-TID,Orchards,4.561644024,0,18.02945,18.02945,82.24393285,94.3951,94.3951,430.59684380988233,2022
KAW01-CC-TID,Pasture,5.56,0,5.84558,5.84558,32.501424799999995,0,0,0,2022
KAW01-CC-TID,Pistachios,4.131236346,0,0,0,0,0,0,0,2022
KAW01-CC-TID,Safflower,2.5,0,35.79433,35.79433,89.485825,35.79433,35.79433,89.485825,2022
KAW01-CC-TID,Subtropical,3.762597108,1.12982,16.15252,15.022699999999999,56.524367574351594,16.15252,15.022699999999999,56.524367574351594,2022
KAW01-CC-TID,Truck,2.5,0,1.14825,1.14825,2.870625,1.14825,1.14825,2.870625,2022
KAW01-CC-TID,Walnuts,4.302408075,27.36354,34.8291,7.465559999999996,32.119885628396986,119.65697,92.29343,397.08399850144724,2022
KAW01-CC-TID,Young Perennial,2.5,0,0,0,0,0,0,0,2022
KAW02-CC,Alfalfa,5.24,0,1299.22444,1299.22444,6807.936066,1184.45497,1184.45497,6206.544043,2022
KAW02-CC,Almonds,4.640169756,612.78919,269.05465,-343.73454,-1594.986617,233.50588,-379.28331,-1759.938944,2022
KAW02-CC,Beans Dry,2.333333333,17.36476,131.83054,114.46578000000001,267.08681996184475,150.16432,132.79956,309.8656399557335,2022
KAW02-CC,Berries,3.210888889,13.97542,29.0991,15.12368,48.560456072791524,3.84066,-10.13476,-32.54158828,2022
KAW02-CC,Corn,2.623333333,483.71892,5116.12827,4632.40935,12152.353859955863,5971.8247,5488.10578,14397.130827703966,2022
KAW02-CC,Cotton,3.7,5.60643,630.51366,624.9072299999999,2312.156751,1364.47648,1358.87005,5027.819185,2022
KAW02-CC,Cucurbits,2.5,1.16097,1.16097,0,0,0,-1.16097,-2.902425,2022
KAW02-CC,Fallow,2.5,170.00774,619.13674,449.129,1122.8225,28.55833,-141.44941,-353.623525,2022
KAW02-CC,Field and Grain,0.703333333,65.89248,1018.86582,952.97334,670.2579154823422,116.08352,50.19103999999999,35.30103144993631,2022
KAW02-CC,Grapes,3.966666667,0,423.52286,423.52286,1679.9740114745075,354.3496,354.3496,1405.5867467847834,2022
KAW02-CC,Lettuce,2.57212037,0,107.11404,107.11404,275.5102041969948,0,0,0,2022
KAW02-CC,Onions and Garlic,2.5,0,0,0,0,0,0,0,2022
KAW02-CC,Orchards,4.528728071,230.54459,853.23744,622.69285,2820.006589405992,800.89853,570.3539400000001,2582.9778984834497,2022
KAW02-CC,Pasture,5.56,14.42144,201.97858,187.55714,1042.817698,153.56154,139.14010000000002,773.618956,2022
KAW02-CC,Pistachios,4.099965688,0,0,0,0,0,0,0,2022
KAW02-CC,Subtropical,3.721646771,800.01813,1925.86515,1125.8470200000002,4190.0049266229735,1761.13094,961.11281,3576.9223859032363,2022
KAW02-CC,Tomatoes,2.703333333,37.68542,39.00188,1.3164599999999993,3.5588301995611777,39.00188,1.3164599999999993,3.5588301995611777,2022
KAW02-CC,Truck,1.053333333,0,16.12548,16.12548,16.98550559462484,11.40253,11.40253,12.010664929532492,2022
KAW02-CC,Walnuts,4.287327225,572.95883,1345.62109,772.6622600000001,3312.655943028029,1820.49657,1247.53774,5348.602516916972,2022
KAW02-CC,Young Perennial,2.5,116.5455,25.75833,-90.78717,-226.967925,0,-116.5455,-291.36375,2022
KAW03-SE-LindsayStrat,Almonds,2.5,0,0,0,0,0,0,0,2022
KAW03-SE-LindsayStrat,Berries,2.5,0,0,0,0,0,0,0,2022
KAW03-SE-LindsayStrat,Fallow,2.5,0,0,0,0,0,0,0,2022
KAW03-SE-LindsayStrat,Field and Grain,0.703333333,0,0,0,0,0,0,0,2022
KAW03-SE-LindsayStrat,Grapes,2.5,0,0,0,0,0,0,0,2022
KAW03-SE-LindsayStrat,Orchards,4.568779462,19.16192,44.93495,25.773030000000002,117.75129013750987,54.68895,35.527029999999996,162.31516500985785,2022
KAW03-SE-LindsayStrat,Pasture,5.56,0,140.04524,140.04524,778.6515344,0,0,0,2022
KAW03-SE-LindsayStrat,Pistachios,4.138015122,0,0,0,0,0,0,0,2022
KAW03-SE-LindsayStrat,Subtropical,3.77147422,181.13023,368.98211,187.85187999999997,708.4785225985335,303.80577,122.67553999999998,462.6676365345787,2022
KAW03-SE-LindsayStrat,Truck,2.5,0,0,0,0,0,0,0,2022
KAW03-SE-LindsayStrat,Walnuts,4.305677264,0,14.06585,14.06585,60.563010543834395,14.06585,14.06585,60.563010543834395,2022
KAW03-SE-LindsayStrat,Young Perennial,2.5,0,0,0,0,0,0,0,2022
KGS01-NE-FID,Alfalfa,4.753333333,0,274.86755,274.86755,1306.537087575044,478.68612,478.68612,2275.354690240438,2022
KGS01-NE-FID,Almonds,4.658498463,146.83757,293.80631,146.96874,684.6536493990466,303.04134,156.20377,727.6750224598054,2022
KGS01-NE-FID,Beans Dry,2.06498538,0,43.99907,43.99907,90.85743628359661,43.99907,43.99907,90.85743628359661,2022
KGS01-NE-FID,Berries,3.210888889,0,0,0,0,0,0,0,2022
KGS01-NE-FID,Corn,2.446666667,0,198.96251,198.96251,486.7949411996542,32.49961,32.49961,79.51571247749986,2022
KGS01-NE-FID,Cotton,3.793333333,134.4925,113.36723,-21.12527,-80.13519086,53.22089,-81.27161,-308.2903072,2022
KGS01-NE-FID,Cucurbits,2.246666667,17.38004,65.23627,47.856230000000004,107.51699674928541,45.08758,27.70754,62.24960654256918,2022
KGS01-NE-FID,Fallow,2.5,25.27909,245.64929999999998,220.37021,550.925525,171.45331,146.17422,365.43555,2022
KGS01-NE-FID,Field and Grain,1.433333333,0,60.14215,60.14215,86.20374831328596,0,0,0,2022
KGS01-NE-FID,Grapes,4.34,163.82708,1646.18245,1482.35537,6433.422306,1219.05796,1055.23088,4579.702019,2022
KGS01-NE-FID,Lettuce,2.57212037,0,0,0,0,0,0,0,2022
KGS01-NE-FID,Onions and Garlic,2.873397436,0,0,0,0,0,0,0,2022
KGS01-NE-FID,Orchards,4.396035708,122.0009,709.77939,587.77849,2583.895230434321,424.34057,302.33967,1329.0959852649364,2022
KGS01-NE-FID,Pasture,5.406666667,30.57357,312.63295,282.05938,1525.0010479606863,209.10624,178.53267000000002,965.2666359,2022
KGS01-NE-FID,Pistachios,4.119410846,0,0,0,0,0,0,0,2022
KGS01-NE-FID,Subtropical,2.76442073,152.53622,207.96913,55.43291000000002,153.23988552822436,228.15086,75.61464000000001,209.03067830748722,2022
KGS01-NE-FID,Tomatoes,2.464368192,0,9.9458,9.9458,24.510113163993598,9.9458,9.9458,24.510113163993598,2022
KGS01-NE-FID,Truck,1.08,33.23969,207.51644,174.27675,188.21889000000002,152.498,119.25831,128.7989748,2022
KGS01-NE-FID,Walnuts,4.29670501,8.9426,32.38303,23.44043,100.7166130175543,64.55044,55.607839999999996,238.9304847232784,2022
KGS01-NE-FID,Young Perennial,2.5,0,0,0,0,0,0,0,2022
KGS02-SE,Alfalfa,5.046666667,75.63662,362.71841,287.08179,1448.806100295694,325.22583,249.58920999999998,1259.593546549863,2022
KGS02-SE,Almonds,4.627695339,34.50545,56.42064,21.915189999999996,101.41682261629938,48.38105,13.875599999999999,64.21204944582838,2022
KGS02-SE,Beans Dry,2.283333333,9.90501,9.90501,0,0,9.90501,0,0,2022
KGS02-SE,Berries,3.210888889,77.1542,25.55989,-51.59431,-165.6635967,33.09061,-44.06359,-141.4832915,2022
KGS02-SE,Corn,2.528333333,94.0459,1038.8337,944.7878,2388.738487351737,1184.60737,1090.5614699999999,2757.302916286479,2022
KGS02-SE,Cucurbits,2.218333333,3.1978,92.07352,88.87572,197.15597217037475,95.07746,91.87966,203.81971240270678,2022
KGS02-SE,Fallow,2.5,29.60414,207.92156,178.31742,445.79355,61.30539,31.70125,79.25312500000001,2022
KGS02-SE,Field and Grain,0.916666667,0,82.42753,82.42753,75.55856919,83.80718,83.80718,76.82324836126907,2022
KGS02-SE,Grapes,4.106666667,295.26925,3338.99636,3043.7271100000003,12499.572666081243,3310.40913,3015.13988,12382.17444153838,2022
KGS02-SE,Lettuce,2.5,0,0,0,0,0,0,0,2022
KGS02-SE,Onions and Garlic,2.5,6.9743,44.31497,37.34067,93.351675,26.21144,19.23714,48.09285,2022
KGS02-SE,Orchards,4.367646134,800.86295,3623.5892,2822.7262499999997,12328.669393152817,3417.2094,2616.34645,11427.275457547124,2022
KGS02-SE,Pasture,5.403333333,199.59463,679.49376,479.89912999999996,2593.054966,352.64329,153.04865999999998,826.9729261489837,2022
KGS02-SE,Pistachios,4.086731419,0,0,0,0,0,0,0,2022
KGS02-SE,Subtropical,3.683612498,1616.03384,1559.27131,-56.76253,-209.0911649,1025.7281,-590.30574,-2174.457602,2022
KGS02-SE,Tomatoes,2.66,0,0,0,0,0,0,0,2022
KGS02-SE,Truck,0.925,64.21176,129.71762,65.50586000000001,60.59292050000001,98.83735,34.62559,32.02867075,2022
KGS02-SE,Walnuts,4.280944753,392.64205,96.74394,-295.89811,-1266.723461,72.51722,-320.12483,-1370.436711,2022
KGS02-SE,Young Perennial,2.5,13.45443,33.73137,20.276939999999996,50.69234999999999,7.69672,-5.75771,-14.394275,2022
KGS03-CC-WA,Alfalfa,5.213333333,0,291.9803,291.9803,1522.1906305693399,667.5185,667.5185,3479.9964464441605,2022
KGS03-CC-WA,Almonds,4.665674026,184.64271,1179.32845,994.68574,4640.879421150589,1268.13277,1083.4900599999999,5055.2114303711805,2022
KGS03-CC-WA,Corn,2.503333333,111.17358,529.71998,418.54639999999995,1047.7611545271511,487.10605,375.93246999999997,941.0842831080224,2022
KGS03-CC-WA,Cotton,3.773333333,0,38.83166,38.83166,146.52479705372278,0,0,0,2022
KGS03-CC-WA,Cucurbits,2.416666667,6.17921,6.17921,0,0,6.17921,0,0,2022
KGS03-CC-WA,Fallow,2.5,0,76.415,76.415,191.03750000000002,0,0,0,2022
KGS03-CC-WA,Field and Grain,1.413333333,0,0,0,0,0,0,0,2022
KGS03-CC-WA,Grapes,4.183333333,404.16327,2399.50824,1995.34497,8347.193123834886,2303.9254,1899.76213,7947.338243,2022
KGS03-CC-WA,Lettuce,2.57212037,0,0,0,0,0,0,0,2022
KGS03-CC-WA,Onions and Garlic,3.006666667,0,0,0,0,0,0,0,2022
KGS03-CC-WA,Orchards,4.713904396,0,765.27355,765.27355,3607.426351487526,1201.80158,1201.80158,5665.1777510817465,2022
KGS03-CC-WA,Pasture,5.523333333,0,1.02704,1.02704,5.672684266,1.02704,1.02704,5.672684266,2022
KGS03-CC-WA,Pistachios,4.127023491,0,0,0,0,0,0,0,2022
KGS03-CC-WA,Subtropical,3.285426095,37.28535,37.28535,0,0,37.28535,0,0,2022
KGS03-CC-WA,Tomatoes,2.656666667,17.04762,143.85366,126.80604,336.88137964226866,181.4091,164.36148,436.6536652547872,2022
KGS03-CC-WA,Truck,1.186666667,9.57011,4.20266,-5.36745,-6.369374002,66.22957,56.659459999999996,67.23589255221981,2022
KGS03-CC-WA,Walnuts,4.300376349,15.06377,36.94403,21.88026,94.09335261397075,76.61354,61.54977,264.6871751943898,2022
KGS03-CC-WA,Young Perennial,2.5,0,9.81507,9.81507,24.537675,9.81507,9.81507,24.537675,2022
KGS04-SW-ID,Alfalfa,5.34,402.01058,2399.98218,1997.9715999999999,10669.16834,2275.94371,1873.93313,10006.80291,2022
KGS04-SW-ID,Almonds,4.66381607,323.16833,75.08488,-248.08345,-1157.015581,0,-323.16833,-1507.197651,2022
KGS04-SW-ID,Corn,2.51,24.73254,2091.52904,2066.7965,5187.659215,2304.51675,2279.78421,5722.258367099999,2022
KGS04-SW-ID,Cotton,3.826666667,0,1861.28417,1861.28417,7122.514091153761,1497.03626,1497.03626,5728.658755432346,2022
KGS04-SW-ID,Cucurbits,2.5,0,0,0,0,0,0,0,2022
KGS04-SW-ID,Fallow,2.5,0,53.13618,53.13618,132.84045,5.63209,5.63209,14.080224999999999,2022
KGS04-SW-ID,Field and Grain,1.183333333,12.17662,13.96666,1.7900399999999994,2.118213999403319,12.17662,0,0,2022
KGS04-SW-ID,Grapes,3.983333333,0,686.05973,686.05973,2732.804591,327.74877,327.74877,1305.5326003907503,2022
KGS04-SW-ID,Lettuce,2.57212037,0,0,0,0,0,0,0,2022
KGS04-SW-ID,Onions and Garlic,3.006666667,0,363.5454,363.5454,1093.059836121182,197.61221,197.61221,594.1540447992041,2022
KGS04-SW-ID,Orchards,4.571449623,0,164.32221,164.32221,751.190705,78.67048,78.67048,359.6381361372291,2022
KGS04-SW-ID,Pasture,5.6,58.24628,228.52135,170.27507000000003,953.5403920000001,213.38114,155.13486,868.755216,2022
KGS04-SW-ID,Pistachios,4.125052365,0,0,0,0,0,0,0,2022
KGS04-SW-ID,Subtropical,2.5,0,0,0,0,0,0,0,2022
KGS04-SW-ID,Tomatoes,2.693333333,36.94804,421.86787,384.91983,1036.7174086716934,501.08911,464.14107,1250.0866150452864,2022
KGS04-SW-ID,Truck,1.313333333,0,3.85594,3.85594,5.064134532,0,0,0,2022
KGS04-SW-ID,Walnuts,4.299425734,20.96364,248.38177,227.41813,977.7673605001573,155.50209,134.53845,578.4380741424723,2022
KGS04-SW-ID,Young Perennial,2.5,0,0,0,0,0,0,0,2022
KGS05-SW-WA,Alfalfa,5.34,0,250.78141,250.78141,1339.172729,190.09268,190.09268,1015.094911,2022
KGS05-SW-WA,Almonds,4.735404281,0,0,0,0,0,0,0,2022
KGS05-SW-WA,Beans Dry,2.27,0,283.20289,283.20289,642.8705603000001,127.58072,127.58072,289.6082344,2022
