g,i,year,xwater,omegaland,omegasupply,omegalabor,p,y,xland
61,GRAPE,2016,1.854880606,1555.442585,2331.589543,1602.672623,1213.36,5.19,10.200236
61,GRAPE,2017,1.899377302,1322.105242,1981.819699,1362.250138,1239.04,4.32,8.948539
61,GRAPE,2018,1.829473571,1416.6438,2123.53185,1459.6593,1210,4.74,8.948539
1,HAY,2008,1.8988211,140.5583019,462.5348762,52.30076376,260.018,4.4,25753.64549
1,HAY,2009,2.049419875,85.9294801,282.7679398,31.9737602,142.74,4.9,24788.3483
1,HAY,2010,1.704659628,56.47104007,185.8291199,21.01248013,153.216,3,25211.91225
1,HAY,2011,1.921061395,59.77933721,196.7157256,22.24347442,243.288,2,25215.06594
1,HAY,2012,1.886398211,150.8166522,496.2920056,56.11782435,250.526,4.9,28574.63011
1,HAY,2013,1.713009781,123.1692001,405.3125997,45.83040029,215.6,4.65,28535.81866
1,HAY,2014,1.802940918,134.6595434,443.1238456,50.10587688,225.993,4.85,28720.48603
1,HAY,2015,2.159198067,115.6900013,380.7008174,43.04744255,181.089,5.2,28739.14079
1,HAY,2016,2.235368662,90.21301725,296.8637655,33.5676345,141.21,5.2,28976.24276
1,HAY,2017,2.143557349,102.7077853,337.9802695,38.21685052,160.768,5.2,28976.24248
1,HAY,2018,2.11507088,30.51771432,100.4245714,11.35542864,184,1.35,28977.51625
2,HAY,2008,2.400055717,83.05717838,273.3160632,30.90499676,260.018,2.6,97.945599
2,HAY,2009,2.410634558,85.9294801,282.7679398,31.9737602,142.74,4.9,97.945599
2,HAY,2010,2.133622467,55.21612806,181.6995839,20.54553613,153.216,2.933333333,4811.352057
2,HAY,2011,2.198137293,59.77933721,196.7157256,22.24347442,243.288,2,4663.450682
2,HAY,2012,2.303534742,121.576689,400.072127,45.237838,250.526,3.95,4663.450761
2,HAY,2013,2.150924935,100.6544001,331.2231998,37.45280023,215.6,3.8,4954.572263
2,HAY,2014,2.336590061,104.8123251,344.9056736,38.9999351,225.993,3.775,4954.572263
2,HAY,2015,2.434746067,47.83336591,157.4051457,17.79846183,181.089,2.15,4954.571796
2,HAY,2016,2.46392211,52.04597149,171.267557,19.36594298,141.21,3,4074.687124
2,HAY,2017,2.410823497,102.7077853,337.9802695,38.21685052,160.768,5.2,4074.687131
2,HAY,2018,2.335924472,47.47200006,156.2159999,17.66400011,184,2.1,4074.687131
3,HAY,2008,2.149938799,63.89013722,210.2431256,23.77307443,260.018,2,9168.817077
3,HAY,2009,2.299568981,85.9294801,282.7679398,31.9737602,142.74,4.9,9196.516855
3,HAY,2010,1.881236786,49.41216006,162.6004799,18.38592011,153.216,2.625,11142.13294
3,HAY,2011,2.140791908,59.77933721,196.7157256,22.24347442,243.288,2,13670.19969
3,HAY,2012,2.027720155,121.576689,400.072127,45.237838,250.526,3.95,13656.80588
3,HAY,2013,1.978850568,100.6544001,331.2231998,37.45280023,215.6,3.8,13764.10981
3,HAY,2014,2.078320528,104.8123251,344.9056736,38.9999351,225.993,3.775,13790.06225
3,HAY,2015,2.42702953,47.83336591,157.4051457,17.79846183,181.089,2.15,13681.34437
3,HAY,2016,2.240640374,52.04597149,171.267557,19.36594298,141.21,3,14593.34075
3,HAY,2017,2.371005194,102.7077853,337.9802695,38.21685052,160.768,5.2,14593.11167
3,HAY,2018,2.296664311,38.99485719,128.3202856,14.50971438,184,1.725,14950.444
4,HAY,2008,2.450095594,91.04344553,299.5964539,33.87663107,260.018,2.85,94.162832
4,HAY,2009,2.432972158,85.9294801,282.7679398,31.9737602,142.74,4.9,94.162832
4,HAY,2010,2.097027283,58.82400007,193.5719999,21.88800014,153.216,3.125,94.162832
4,HAY,2011,2.403877342,76.21865495,250.8125501,28.36042989,243.288,2.55,254.679617
4,HAY,2012,2.327515722,84.64199867,278.5312277,31.49469734,250.526,2.75,241.134209
4,HAY,2013,2.099002771,110.5874001,363.9096997,41.14880026,215.6,4.175,422.549182
4,HAY,2014,2.246863601,81.44357267,268.0061747,30.30458533,225.993,2.933333333,422.549182
4,HAY,2015,2.572225971,115.6900013,380.7008174,43.04744255,181.089,5.2,422.549132
4,HAY,2016,2.664397395,90.21301725,296.8637655,33.5676345,141.21,5.2,409.785887
4,HAY,2017,2.725916275,69.13024008,227.4867198,25.72288016,160.768,3.5,409.785887
4,HAY,2018,2.645209434,47.84876196,157.4558094,17.80419059,184,2.116666667,801.966676
5,HAY,2008,2.243637743,63.89013722,210.2431256,23.77307443,260.018,2,3058.19032
5,HAY,2009,2.299356088,85.9294801,282.7679398,31.9737602,142.74,4.9,3183.297285
5,HAY,2010,1.89868054,49.41216006,162.6004799,18.38592011,153.216,2.625,3183.297285
5,HAY,2011,2.233304611,59.77933721,196.7157256,22.24347442,243.288,2,4703.584317
5,HAY,2012,2.12387852,121.576689,400.072127,45.237838,250.526,3.95,4752.326664
5,HAY,2013,1.966224552,100.6544001,331.2231998,37.45280023,215.6,3.8,5859.876205
5,HAY,2014,2.101891586,104.8123251,344.9056736,38.9999351,225.993,3.775,5859.876205
5,HAY,2015,2.435437615,47.83336591,157.4051457,17.79846183,181.089,2.15,6338.583604
5,HAY,2016,2.440054484,52.04597149,171.267557,19.36594298,141.21,3,6338.583586
5,HAY,2017,2.536317515,102.7077853,337.9802695,38.21685052,160.768,5.2,6338.583588
5,HAY,2018,2.467148219,47.47200006,156.2159999,17.66400011,184,2.1,6779.603241
6,HAY,2008,2.4257038,63.89013722,210.2431256,23.77307443,260.018,2,2553.753461
6,HAY,2009,2.440391051,85.9294801,282.7679398,31.9737602,142.74,4.9,2553.753461
6,HAY,2010,2.136079999,49.41216006,162.6004799,18.38592011,153.216,2.625,3030.51796
6,HAY,2011,2.264728271,59.77933721,196.7157256,22.24347442,243.288,2,3283.806116
6,HAY,2012,2.17237597,121.576689,400.072127,45.237838,250.526,3.95,4424.165434
6,HAY,2013,2.295793321,100.6544001,331.2231998,37.45280023,215.6,3.8,4424.165436
6,HAY,2014,2.40723534,104.8123251,344.9056736,38.9999351,225.993,3.775,5284.565506
6,HAY,2015,2.536511938,47.83336591,157.4051457,17.79846183,181.089,2.15,5284.565044
6,HAY,2016,2.459974294,52.04597149,171.267557,19.36594298,141.21,3,5284.565066
6,HAY,2017,2.442003301,102.7077853,337.9802695,38.21685052,160.768,5.2,5522.088196
6,HAY,2018,2.38206243,47.47200006,156.2159999,17.66400011,184,2.1,5522.068992
7,HAY,2008,1.866793307,88.38135648,290.8363237,32.8860863,260.018,2.766666667,6018.232779
7,HAY,2009,2.098292752,85.9294801,282.7679398,31.9737602,142.74,4.9,5598.027586
7,HAY,2010,1.492797128,63.52992007,209.0577599,23.63904015,153.216,3.375,5585.896442
7,HAY,2011,1.854906106,104.6138401,344.2525198,38.92608024,243.288,3.5,7102.131791
7,HAY,2012,1.778241748,121.576689,400.072127,45.237838,250.526,3.95,7214.536526
7,HAY,2013,1.835943913,78.13960009,257.1337998,29.07520018,215.6,2.95,7109.196797
7,HAY,2014,1.867321238,53.44734456,175.8790521,19.88738412,225.993,1.925,7108.861904
7,HAY,2015,2.350092205,47.83336591,157.4051457,17.79846183,181.089,2.15,7464.209477
7,HAY,2016,2.102994207,52.04597149,171.267557,19.36594298,141.21,3,7360.969319
7,HAY,2017,2.165682199,84.93143781,279.4836844,31.60239563,160.768,4.3,7360.96932
7,HAY,2018,2.282787842,70.07771437,230.6045713,26.07542873,184,3.1,8097.585658
8,HAY,2008,2.027384967,90.24481882,296.9684149,33.57946764,260.018,2.825,25.071379
8,HAY,2009,2.071281521,85.9294801,282.7679398,31.9737602,142.74,4.9,23.813127
8,HAY,2010,1.60382994,63.52992007,209.0577599,23.63904015,153.216,3.375,23.813127
8,HAY,2011,1.995712379,104.6138401,344.2525198,38.92608024,243.288,3.5,23.81313
8,HAY,2012,1.887936468,121.576689,400.072127,45.237838,250.526,3.95,23.092619
8,HAY,2013,1.850008756,78.13960009,257.1337998,29.07520018,215.6,2.95,3.124793
8,HAY,2014,1.913988834,74.96510666,246.6875017,27.89399332,225.993,2.7,3.124793
8,HAY,2015,2.291059445,47.83336591,157.4051457,17.79846183,181.089,2.15,77.392871
8,HAY,2016,2.247853083,52.04597149,171.267557,19.36594298,141.21,3,77.392871
8,HAY,2017,2.12016426,84.93143781,279.4836844,31.60239563,160.768,4.3,77.392871
8,HAY,2018,2.250248991,82.51085724,271.5182855,30.70171448,184,3.65,110.971034
9,HAY,2008,1.998517055,116.5995004,383.6937042,43.38586084,260.018,3.65,1699.445383
9,HAY,2009,2.110980982,85.9294801,282.7679398,31.9737602,142.74,4.9,1434.667525
9,HAY,2010,1.585416623,84.7065601,278.7436798,31.5187202,153.216,4.5,1434.244456
9,HAY,2011,1.960439925,149.448343,491.7893139,55.60868606,243.288,5,1458.088729
9,HAY,2012,1.908053829,150.8166522,496.2920056,56.11782435,250.526,4.9,2063.551516
9,HAY,2013,1.836052061,140.3864002,461.9691997,52.23680033,215.6,5.3,1579.664183
9,HAY,2014,1.963726606,130.4948153,429.4189844,48.55621059,225.993,4.7,1579.664144
9,HAY,2015,2.370858052,115.6900013,380.7008174,43.04744255,181.089,5.2,2133.547759
9,HAY,2016,2.233497859,90.21301725,296.8637655,33.5676345,141.21,5.2,2133.547771
9,HAY,2017,2.123504231,84.93143781,279.4836844,31.60239563,160.768,4.3,2133.547775
9,HAY,2018,2.337893575,117.5497144,386.8205712,43.73942884,184,5.2,2292.407276
10,HAY,2008,2.102802551,144.5514355,475.6750716,53.78658091,260.018,4.525,654.511406
10,HAY,2009,2.001573648,85.9294801,282.7679398,31.9737602,142.74,4.9,799.067718
10,HAY,2010,1.461136598,93.64780811,308.1666238,34.84569622,153.216,4.975,1399.129543
10,HAY,2011,1.886481461,164.3931773,540.9682453,61.16955467,243.288,5.5,1405.634106
10,HAY,2012,1.790347564,163.1282156,536.8056388,60.69887124,250.526,5.3,2645.970509
10,HAY,2013,1.718923159,147.0084002,483.7601997,54.70080034,215.6,5.55,2786.1288
10,HAY,2014,1.891471805,130.4948153,429.4189844,48.55621059,225.993,4.7,2842.302573
10,HAY,2015,2.297727651,115.6900013,380.7008174,43.04744255,181.089,5.2,3266.067948
10,HAY,2016,2.119400477,90.21301725,296.8637655,33.5676345,141.21,5.2,3342.331173
10,HAY,2017,2.08012244,84.93143781,279.4836844,31.60239563,160.768,4.3,3200.340239
10,HAY,2018,2.269634489,117.5497144,386.8205712,43.73942884,184,5.2,3389.899759
11,HAY,2008,2.284784065,140.5583019,462.5348762,52.30076376,260.018,4.4,1215.951565
11,HAY,2009,2.027983024,85.9294801,282.7679398,31.9737602,142.74,4.9,1565.234066
