g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,sigma,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
1,Alfalfa,Sacramento River,218.8354054,187.2098036,5.87624882,3.537610105,310.085831,35.37610105,166.0095709,205.0405538,1.86,0.17,10,383.57933074693176,1.4622309191594929,383.57933074693176,20.502886,363.0764447,-4.882352941,0.038627787833785586,0.9407097278971251,0.009244493,0.011417991628067135,3.3165839818639204,0.002456798,160051.0933029221,218.80930729524968,774.0620455643542,0.026098105,0.09229591,0.000119259,0.000119222,GOOD,187.2098036,383.5793307
1,Almonds,Sacramento River,32.71585715,5165.974452,0.856578131,3.971676207,962.6735903,198.5838104,414.244587,1333.209787,0.4,0.17,50,1516.3489662379095,1.448869427173648,1516.3489662379095,20.502886,1495.84608,-4.882352941,0.014490099332559559,0.9752958800682342,0.002421295,0.007792725,0.40519065141912164,0.076415543,2640.923233001583,32.71562741199723,129.93588545647913,0.000229738,0.000905978,7.02222172300934e-06,6.97245004041054e-06,GOOD,5165.974452,1516.348966
1,Berries,Sacramento River,220.6292491,5388.84825,4.3725,3.453441036,1065.939344,172.6720518,9818.188327,9126.397598,0.25,0.17,50,3379.5416523249987,1.1118507849498191,3379.5416523249987,20.502886,3359.038766,-4.882352941,0.045972229,0.7581153754652818,0.10153321942496672,0.094379177,3.274425879,0.018129962442953354,4470.296141776101,220.62871110509934,761.9282503165134,0.000537995,0.001852267,2.4384568359031856e-06,2.4310199668790765e-06,GOOD,5388.84825,3379.541652
1,Cucurbits,Sacramento River,17.42837714,161.7514,13.41,1.97136542,99.31530719991646,96.32136948676522,1385.3923311586225,484.7674435832669,0.05,0.17,50,55.100711499999974,0.9772046167550735,103.28982257142881,20.502886,82.78693657,-4.882352941,0.042365651,0.5665754677629986,0.28969181299321867,0.1013670687019599,11.407597285715426,1.147553776197432,3.2707896326114194e-07,17.417349003742313,34.32965485472764,0.011028136257685617,0.028045166,0.000632769,0.00081627,GOOD,161.7514,103.2898226
1,Field and Grain,Sacramento River,3219.912649,173.2298426,2.485487486,1.383894155,81.68685006672595,69.33923636310766,48.91146320881593,210.12017034615968,0.74,0.17,50,21.357597944049672,1.002088723513796,20.502885999240448,20.502886,0,-4.882352941,0.14613647964219814,0.48343521218352276,0.069945861,0.30048244743860614,2.2503177152008176,0.000419686,50389.903238023704,3222.8676815446643,4460.411071993847,-2.955032545,-4.392777432,0.000917737,0.000985808,GOOD,173.2298426,20.502886
1,Grapes,Sacramento River,38.6108022,730.6198686,7.837965954,2.661751325,3142.1571406119238,125.73214139727372,1141.918156826933,1044.0722329760158,0.13,0.17,50,-46.36207985,0.9447324415046452,272.6939835906081,20.502886,252.1910976,-4.882352941,0.1592143418077375,0.7388658354966848,0.053240900151968654,0.048678922543608984,5.9821152371441615,0.19922682912575412,7.774666869840012,38.59984960422287,102.72025902615647,0.010952595777133922,0.052094889,0.000283667,0.000506896,GOOD,730.6198686,272.6939836
1,Orchards,Sacramento River,484.809818,2061.666385,2.066393172,3.327741402,607.0648734,166.3870701,1472.781853,1550.82325,0.13,0.17,50,463.1562944059234,1.0685501927599292,463.1562944059234,20.502886,442.6534084,-4.882352941,0.0169775,0.9350574076633489,0.023363539,0.024601552544906445,1.189980662739726,0.015866649986671044,30.189834733081238,484.80722659811204,1613.3130850323153,0.002591402,0.008618422,5.3451926750561675e-06,5.34203584516426e-06,GOOD,2061.666385,463.1562944
1,Pasture,Sacramento River,10143.3774,173.2298426,2.485487486,3.965593094,81.51658446,39.65593094,48.80951363,209.6822022,0.74,0.17,10,50.89637475404967,1.0800536006679988,50.89637475404967,20.502886,30.39348875,-4.882352941,0.003957014,0.9883182481846073,0.001458618,0.00626612,1.0190485612869495,0.000133225,217469.84702540055,10140.481960977982,40213.025078767445,2.8954390220169444,11.482288508224883,0.000285451,0.000285455,GOOD,173.2298426,50.89637475
1,Pistachios,Sacramento River,7.841825166,3834.493456,1.253131426,3.663925668,1252.751973,183.1962834,250.122497,1240.024825,0.4,0.17,50,1879.0286741049485,1.563964227857457,1879.0286741049485,20.502886,1858.525788,-4.882352941,0.028878379,0.9573808631312168,0.002306398,0.011434359879822576,0.6618672354925599,0.3188033330351859,801.0870786935666,7.841781652896806,28.731719015326476,4.351310319350432e-05,0.000145494,5.5488489315172685e-06,5.06386730433486e-06,GOOD,3834.493456,1879.028674
1,Subtropical,Sacramento River,693.0795889,942.1801854,4.535541375,2.972946835,863.7792973,148.6473418,1846.907779,684.4007169,0.13,0.17,50,729.5620786368713,1.1484512005269143,729.5620786368713,20.502886,709.0591926,-4.882352941,0.046192938,0.8804212960750113,0.053544142,0.019841623709938954,2.957087416736654,0.011098736444563752,64.66716263578502,693.0771164287049,2060.4814243704263,0.002472471,0.007345853,3.5673699451663755e-06,3.5651021428441767e-06,GOOD,942.1801854,729.5620786
