g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater_unit,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,xratio_labor,xratio_supply,,pc,pimarginal
1,Alfalfa,Sacramento River,172.5922225,284.2496227,6.060413522,3.537610105,0.306290873,176.8805053,0.13122437452970753,0.081460253,1.86,0.17,739.7198673,484.1807412,381.4811931,50,1545.125022046478,9.240677960992443,1545.125022046478,539.4960409,1005.628981,-4.882352941,0.017967922,0.9820279106294584,0.027450965596014287,0.034841112,2.720492299514988,0.003115056,188630.77323385232,172.5921446155104,610.5632435141135,7.788448959900052e-05,0.000746846,4.512630318495407e-07,1.2232072422626734e-06,GOOD,1.939072961544676,1.5277763122781245,,284.2496227,1096.417019
1,Almonds & Pistachios,Sacramento River,14.78943826,4880.137921,0.968406467,3.806471737,0.287448101,190.3235869,0.311217018,0.03090217,0.4,0.17,2039.310074,2110.873995,639.9084906,50,4534.9527426073355,23.56444154146848,4534.9527426073355,539.4960409,3995.456702,-4.882352941,0.033720414,0.9662766613309092,0.032407158,0.10284380371682127,0.48775966078696736,0.16903955079629912,1940.3190051669285,14.789437812898157,56.29556845353879,4.4710184354812554e-07,1.0289257666329377e-05,3.0231157917428944e-08,1.8277203816198412e-07,GOOD,3.0498974152879694,0.9610545813701002,,4880.137921,4000.866201
1,Citrus & Subtropical,Sacramento River,1394.452388,1088,3.4,2.972946835,0.183365181,148.6473418,0.094855843,0.7506750003126099,0.13,0.17,2549.235389,1743.692937,5418.931559,50,3549.8664005919995,23.59179470001367,3549.8664005919995,539.4960409,3010.37036,-4.882352941,0.10466231321940125,0.8953228605405696,0.14551800096118314,0.051727655,2.1596028494527517,0.005516365,249.03858530121025,1394.4523807805635,4145.629595673874,7.219436383820721e-06,0.003217789,5.177255563508506e-09,7.761876323168098e-07,GOOD,0.49423381869050864,1.3903572019867076,,1088,3256.25046
1,Cucurbits,Sacramento River,62.9813983,203,12,1.97136542,0.087908733,98.568271,0.5954029958862788,4.8590594140887005,0.05,0.17,920.9338517,2396.72349,6846.813993,50,2336.461468,23.307557018376357,2336.461468,539.4960409,1796.965427,-4.882352941,0.46296137435757295,0.5368637974015755,0.17789152624166912,0.062270831414042035,10.336798954200365,0.31755408009097824,1.1664164392446816e-05,62.981398476663294,124.15928956633988,-1.77E-07,6.11455268995087e-05,2.8050074587702925e-09,4.924762134219552e-07,GOOD,0.13450545739469513,0.38424701518246485,,203,2236.143548
1,Grain,Sacramento River,3741.428313,240.5532292,3.344037248,0.78906264,0.351483763,39.453132000000004,0.6729928083090427,0.036299510576689786,0.74,0.17,345.3012994,477.8051109,110.9675411,50,764.0150284484812,18.961355777652184,764.0150284484812,539.4960409,224.5189875,-4.882352941,0.9832661151041627,0.015962938637636617,0.7105890240154359,3.0596610778804543,3.367542027588533,0.000361186,161182.2237423824,3741.432753805335,2952.2225189569713,-0.004440805,-0.00121693,1.1869278156552545e-06,4.122084086955147e-07,GOOD,3.1117324505343373,0.7226823065494933,,240.5532292,772.22719
1,Other Deciduous,Sacramento River,3288.019313,1737.287033,1.766674422,3.327741402,0.215021845,166.3870701,0.54254216,0.5586272122329681,0.13,0.17,2284.866179,4950.948854,6009.195442,50,2901.9303409073696,17.473030613165946,2901.9303409073696,539.4960409,2362.4343,-4.882352941,0.046924879,0.9530639945940074,0.029541171,0.029112762,0.9550216485598959,0.002339496,460.84002779206173,3288.0192771821357,10941.669259222796,3.581786404538434e-05,0.008739223,1.0893446976959512e-08,7.987095673067832e-07,GOOD,0.6204120841421951,0.6295417628777134,,1737.287033,2514.211232
1,Pasture,Sacramento River,12130.90608,195.5688633,5,3.965593094,0.350906068,39.65593094,0.10289172336777223,0.068524209,0.51,0.17,328.209843,177.7241242,145.0367898,10,937.4923992,23.07896037,937.4923992,539.4960409,397.9963582,-4.882352941,0.027575410103842665,0.9724144434977573,0.05092455,0.062401554,2.4169860801460903,0.000161635,346870.56498674495,12130.900825057664,48106.029139701546,0.005254942,0.20823510906484444,4.331863013031157e-07,4.328650928203346e-06,GOOD,2.262942000342034,1.8467377139832826,,195.5688633,820.0627086
1,Safflower,Sacramento River,34.23020761,564,1,2.357007476,0.396694215,23.57007476,0.4537037030434028,0.032158708,0.74,0.17,212.2655769,227.006242,60.43672676,10,539.4960409429999,21.92065600066421,539.4960409429999,539.4960409,0,-4.882352941,0.2582568985367486,0.7414861373748916,0.2414869702737936,0.9070486227644502,0.7646499335776759,0.039478327644047594,2.6014332396323523,34.23124304324844,80.68315758934483,-0.001035433,-0.002302348,3.024910804622747e-05,2.8536479141471127e-05,GOOD,3.5121951355556216,0.9350649358914657,,564,507.562601
1,Truck Crops,Sacramento River,233.7395646,5153.584974,6.330872135,2.662234731,0.139554281,133.1117366,1.1244727167916924,1.262909809962677,0.268330083,0.17,7441.94487,27484.23099,27982.75263,50,32492.62026,231.77201959288993,32492.62026,539.4960409,31953.12422,-4.882352941,0.671923736,0.3280593909617962,0.23671027140220127,0.22335999760108735,5.840650666398603,0.015944041066541417,48240.12925,233.73956449901337,622.2691531619099,1.0098662528434943e-07,0.000433725,4.320476315473954e-10,6.970050237512918e-07,GOOD,0.332418674,0.35228740820875265,,5153.584974,32269.78588
1,Vineyard,Sacramento River,58.46878985,1811.460432,10.35000918,2.661751325,0.302297005,133.0875663,0.1329510358537938,0.3058799853780738,0.13,0.17,2773.231975,2743.166444,4105.247296,50,18614.737677750767,133.35760923739528,18614.737677750767,539.4960409,18075.24164,-4.882352941,0.5401481594361719,0.45983719988445565,0.8144866308324379,0.5369752790955312,9.136719880870045,0.1315626287467568,62.69487613293514,58.468789828517245,155.62929565671712,2.148275513036424e-08,8.319766692466146e-05,3.674226058975674e-10,5.345884404159068e-07,GOOD,0.9941259073363267,1.5078948555200695,,1811.460432,18393.64497
2,Alfalfa,Sacramento River,2762.700923,266.2588836,6.356985106,3.537610105,0.306290873,176.8805053,0.13122437452970753,0.081460253,1.86,0.17,739.7198673,484.1807412,381.4811931,50,1515.0585223973876,9.079396462378877,1515.0585223973876,526.5959533,988.4625691,-4.882352941,0.017624515,0.9823713156887417,0.026926317254511244,0.034175221,2.8435529074145194,0.000194605,2967904.6241616393,2762.6996945509454,9773.351177,0.001228449,0.007524857,4.4465509973394624e-07,7.699356408465066e-07,GOOD,1.939072961544676,1.5277763122781245,,266.2588836,1066.350519
2,Almonds & Pistachios,Sacramento River,31477.12217,4703.819023,0.819821491,3.958604619,0.287448101,197.930231,0.311217018,0.03090217,0.4,0.17,2039.310074,2110.873995,639.9084906,50,3657.6809007890233,18.491717636330364,3657.6809007890233,526.5959533,3131.084947,-4.882352941,0.021863253,0.9781343959712246,0.021011779508642466,0.066680679,0.3787541310179283,7.942276255428085e-05,3236335.409568126,31477.12107369154,124605.4384135053,0.001096308,0.042801484,3.482873861929115e-08,3.4349599698659974e-07,GOOD,3.0498974152879694,0.9610545813701002,,4703.819023,3072.134831
2,Citrus & Subtropical,Sacramento River,294.4547241,1023.666667,3.7,2.972946835,0.183365181,148.6473418,0.094855843,0.7506750003126099,0.13,0.17,2549.235389,1743.692937,5418.931559,50,3638.233068,24.155356628922917,3638.233068,526.5959533,3111.637115,-4.882352941,0.10698880365292449,0.8929964086322931,0.14875265369078533,0.052877485,2.3602889066206534,0.026123907,54.356267788096694,294.45472179113153,875.3979832300594,2.30886848839873e-06,0.000256834,7.841166398181519e-09,2.933908502811894e-07,GOOD,0.49423381869050864,1.3903572019867076,,1023.666667,3344.617128
2,Corn,Sacramento River,3445.76852,227.2477879,5.763801953,2.826875063,0.234536008,141.3437532,1.320694044672553,0.033525185,0.3,0.17,423.9938724,1022.014707,159.5840787,50,1167.5877296059498,8.770977763832526,1167.5877296059498,526.5959533,640.9917763,-4.882352941,0.049175621,0.9507972093895719,0.020723041999264436,0.13006756884620557,3.1839097360764526,0.00096737,23646.693147800324,3445.7682376568405,9740.753123381739,0.000282343,0.003978677,8.193909659290637e-08,4.084566155963727e-07,GOOD,2.644960375498291,0.4214088525991567,,227.2477879,908.6613574
2,Cucurbits,Sacramento River,176.9417561,203,12,1.97136542,0.087908733,98.568271,0.5954029958862788,4.8590594140887005,0.05,0.17,920.9338517,2396.72349,6846.813993,50,2336.461468,23.307557018376357,2336.461468,526.5959533,1809.865515,-4.882352941,0.46296137435757256,0.5368637974015761,0.17789152624166898,0.062270831,10.336798954200363,0.11303154462136596,3.30048754838789e-05,176.94175560448448,348.8167688,4.955155077368545e-07,9.049354201806636e-05,2.8004441611668535e-09,2.5942995471028713e-07,GOOD,0.13450545739469513,0.38424701518246485,,203,2236.143548
2,Dry Beans,Sacramento River,129.6377654,1408.813495,1.563657905,2.293810917,0.272510229,114.6905459,0.8579188204514863,0.0413722,1.68,0.17,521.9411016,903.6303871,214.6292221,50,2087.349601251428,18.156228397795978,2087.349601251428,526.5959533,1560.753648,-4.882352941,0.2401337150212336,0.759798453,0.13533852733850574,0.616297261,1.1803961239649985,0.004591549,187474.57534039643,129.63774738308956,297.3644054915841,1.8016910445339818e-05,0.000116038,1.389788723197154e-07,3.902228154258987e-07,GOOD,2.5664753522934403,0.5635965250716192,,1408.813495,1938.652131
2,Grain,Sacramento River,10745.57034,209.1544465,2.710914795,0.78906264,0.351483763,39.453132000000004,0.6729928083090427,0.036299510576689786,0.74,0.17,345.3012994,477.8051109,110.9675411,50,526.5959533,13.36503373218048,526.5959533,526.5959533,0,-4.882352941,0.9759082120377434,0.022981855994965158,0.7052715976560283,3.036765252140791,2.7381868744272113,0.000125759,723.5724511392906,10745.580394226143,8478.933382000914,-0.010054226,-0.005281215,9.356624008222659e-07,6.22863498092725e-07,GOOD,3.1117324505343373,0.7226823065494933,,209.1544465,534.8081149
2,Other Deciduous,Sacramento River,74121.02846,1625.953893,2.015378818,3.327741402,0.215021845,166.3870701,0.54254216,0.5586272122329681,0.13,0.17,2284.866179,4950.948854,6009.195442,50,3109.6228110308384,18.655420999221878,3109.6228110308384,526.5959533,2583.026858,-4.882352941,0.05011477,0.9498741405214718,0.031549341,0.031091809081898385,1.1034167603926461,0.00010378,11358.554808956955,74121.02765,246655.53634835462,0.000814269,0.078816808,1.0985671863206255e-08,3.195419152754668e-07,GOOD,0.6204120841421951,0.6295417628777134,,1625.953893,2721.903702
2,Pasture,Sacramento River,22213.86135,282.8250754,5,3.965593094,0.350906068,39.65593094,0.10289172336777223,0.068524209,0.51,0.17,328.209843,177.7241242,145.0367898,10,1373.7734596550001,33.376011896005075,1373.7734596550001,526.5959533,847.1775063,-4.882352941,0.039891655,0.9600983274956666,0.073669423,0.090272501,2.599896800643972,8.826850419346343e-05,1351421.0883484248,22213.85769733147,88090.98800293381,0.003652669,0.14715769969916437,1.6443194955645533e-07,1.6705165557331442e-06,GOOD,2.262942000342034,1.8467377139832826,,282.8250754,1256.343769
