g,i,hr,xland,p,y,xwater,omegaland,omegawater_x,omegasupply,omegalabor,theta,omegawater,CS_land,CS_labor,CS_supply,mprof_init,f_adjustment,mprof,sigma,xland_lp,lambdacrop,lambdaland,lambdawater,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,omega_suppl_unit,omega_labor_unit,xsupply_base,xlabor_base,xlandcalib,xwatercalib,xsuppcalib,xlaborcalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
02,Alfalfa,Sacramento River,218.8354054,280.6469987369378,5.962401488126662,3.537610105,471.66622240670006,35.37610105,252.5143028603122,311.8836592959672,1.86,10,0.281872792,0.186385019,0.150905255,601.8897972944199,1.4873882561689458,601.8897972944199,0.17,219.05424303593335,524.0373443891147,6.149592469490665e-09,22.007075565160413,-4.882352941,0.017898835,0.9719555083817147,0.004539214,0.005606442,2.908994326015663,0.002456798,236738.52537772013,252.5143028603122,311.8836592959672,218.8354054,218.8354054,218.6165678486784,773.3801795419027,218.6165678486256,218.61656784862527,0.21883759132160208,0.7741620744131978,0.00100001,0.00100001,GOOD,280.6469987369378,601.8897973
02,Field and Grain,Sacramento River,1178.429613,209.66138474146223,3.033618669654281,2.845649619,120.41792024340968,71.14124048,72.10238441858326,309.7467197151693,0.74,25,0.189326621,0.486998112,0.113362702,62.62442620510684,1.0563946444174763,62.62442620510684,0.17,1164.2819134215633,1.5373981173726663e-09,6.149592469490665e-09,22.007075565160413,-4.882352941,0.005334577,0.9777493086541242,0.003194173,0.013721941360217288,1.4603879028587592,0.001146739,27185.796048061486,72.10238441858326,309.7467197151693,1178.429613,1178.429613,1177.2511718443607,3350.0443486262084,1177.2511718444628,1177.251171844458,1.1784413856394167,3.353431280058885,0.00100001,0.00100001,GOOD,209.66138474146223,62.62442621
02,Orchards,Sacramento River,245.68998684704127,2309.3340940204384,2.070881679913447,3.327741402,681.4685360114679,166.3870701,1653.2903473698298,1740.896726707907,0.13,50,0.142496355,0.364024786,0.345706127,540.3149879172385,1.0736870639817369,540.3149879172385,0.17,245.93567929319008,467.0811314176036,6.149592469490665e-09,22.007075565160413,-4.882352941,0.012842982340632856,0.9492035134364919,0.018486949,0.019466556,1.1367306222349207,0.031309,16.73993648684977,1653.2903473698298,1740.896726707907,245.68998684704127,245.68998684704127,245.4442944062366,816.7751403803105,245.4442944061882,245.44429440618816,0.24569244080467456,0.8176009074242074,0.00100001,0.00100001,GOOD,2309.3340940204384,540.3149879
02,Pasture,Sacramento River,7130.98767,231.3889921571432,4.999999999999999,3.965593094,219.0404801085371,39.65593094,131.15440681995278,563.4300115905577,0.51,10,0.189326621,0.486998112,0.113362702,203.6641313266683,1.1558528290458805,203.6641313266683,0.17,7138.118729040954,116.39302444172318,6.149592469490665e-09,22.007075565160413,-4.882352941,0.003138306,0.9903631839188052,0.001227077,0.005271434,1.9786889931806195,0.000274967,171699.28775320473,131.15440681995278,563.4300115905577,7130.98767,7130.98767,7131.623233560698,28281.11584401825,7131.623233556663,7131.623233556661,-0.635563571,-2.520386507,8.912700457656825e-05,8.912700457653745e-05,GOOD,231.3889921571432,203.6641313
02,Subtropical,Sacramento River,683.3797810902229,1426.1226571367167,2.926176067700632,2.972946835,843.5231850739846,148.6473418,1803.596751636908,668.3511361167175,0.13,50,0.202134149,0.160157528,0.432197361,708.9675743,1.1472955404092273,708.9675743,0.17,684.0631677119047,643.5417086878597,6.149592469490665e-09,22.007075565160413,-4.882352941,0.031179289827998058,0.9169913784764058,0.037816013,0.014013318361011683,1.7766437583909287,0.011256270532376373,60.28490971203247,1803.596751636908,668.3511361167175,683.3797810902229,683.3797810902229,682.6963944824098,2029.6200852423917,682.6963944823029,682.6963944823034,0.6833866078130768,2.031672052779413,0.00100001,0.00100001,GOOD,1426.1226571367167,708.9675743
02,Walnuts,Sacramento River,1690.8775294864529,1941.7018487746973,1.7189362872815137,4.942462794,854.2534686026536,247.1231397,299.3270611283979,911.6708834858882,0.13,50,0.25594369,0.273146576,0.089681664,1025.2872140234897,1.3746585683164616,1025.2872140234897,0.17,1692.5684239415953,916.5180618333407,6.149592469490665e-09,22.007075565160413,-4.882352941,0.002028995,0.9965834129173512,0.000342977,0.001044616,0.5496947902622166,0.004549299,177.61974905908468,299.3270611283979,911.6708834858882,1690.8775294864529,1690.8775294864529,1692.5684239413054,8365.456461629119,1692.568423941097,1692.5684239410962,-1.690894455,-8.357182932,0.00100001,0.00100001,GOOD,1941.7018487746973,1025.287214
03,Berries,Sacramento River,220.6292491,5808.756199769439,4.15,3.453441036,1090.5308695984825,172.6720518,10044.696800300811,9336.946256832116,0.25,50,0.045238346,0.387323291,0.416682812,3461.4922505117665,1.1120653254021837,3461.4922505117665,0.17,220.84988052754315,3385.4921126992713,4.9270299148802146e-08,22.007075546876287,-4.882352941,0.034581697,0.815675973,0.077605201,0.072137129,2.9413552677686776,0.018129962445418573,4521.863784784467,10044.696800300811,9336.946256832116,220.6292491,220.6292491,220.49496935195572,761.4663753916061,220.4949694,220.49496935185502,0.13427971804426875,0.463727089,0.000608622,0.000608622,GOOD,5808.756199769439,3461.492251
03,Field and Grain,Sacramento River,2102.013205,209.66138474146223,3.033618669654281,2.845649619,120.41792024340968,71.14124048,72.10238441858326,309.7467197151693,0.74,25,0.189326621,0.486998112,0.113362702,62.62442620510684,1.0563946444174763,62.62442620510684,0.17,2095.9361264421486,2.292192391870833e-08,4.9270299148802146e-08,22.007075546876287,-4.882352941,0.005334577,0.9777493086428679,0.003194173,0.013721941365396688,1.4603879029775284,0.000642884,48492.418763284164,72.10238441858326,309.7467197151693,2102.013205,2102.013205,2099.911170656132,5975.611422711466,2099.9111706387853,2099.9111706387803,2.102034203867788,5.981652831361316,0.00100001,0.00100001,GOOD,209.66138474146223,62.62442621
03,Orchards,Sacramento River,224.82462744798056,2309.3340940204384,2.070881679913447,3.327741402,681.4685360114679,166.3870701,1653.2903473698298,1740.896726707907,0.13,50,0.142496355,0.364024786,0.345706127,540.3149879172385,1.0736870639817369,540.3149879172385,0.17,225.04945432573734,467.0811314463883,4.9270299148802146e-08,22.007075546876287,-4.882352941,0.012842982344522028,0.9492035134234856,0.018486948664331634,0.019466556,1.1367306222913882,0.034214702,15.318288028548107,1653.2903473698298,1740.896726707907,224.82462744798056,224.82462744798056,224.59980057505288,747.4100552545469,224.59980057470452,224.5998005747045,0.22482687292767878,0.7481656933235854,0.00100001,0.00100001,GOOD,2309.3340940204384,540.3149879
03,Pasture,Sacramento River,3426.575932,231.3889921571432,4.999999999999999,3.965593094,219.0404801085371,39.65593094,131.15440681995278,563.4300115905577,0.51,10,0.189326621,0.486998112,0.113362702,203.6641313266683,1.1558528290458805,203.6641313266683,0.17,3430.0025421511996,116.39302448191116,4.9270299148802146e-08,22.007075546876287,-4.882352941,0.003138306,0.9903631839125813,0.001227077,0.005271434,1.9786889934133702,0.000572228,82504.79095475022,131.15440681995278,563.4300115905577,3426.575932,3426.575932,3428.5930889253623,13596.405075578547,3428.593088909807,3428.5930889098054,-2.017157005,-7.99922389,0.00058868,0.00058868,GOOD,231.3889921571432,203.6641313
