code,name
Berry,Berry
Cereal Grain,Cereal Grain
Hay/Silage,Hay/Silage
Herb,Herb
Oilseed,Oilseed
Orchard,Orchard
Seed,Seed
Vegetable,Vegetable
Vineyard,Vineyard
