region,crop,xland,p,y,xwater_unit,omegaland,omegalabor,omegasupplies,theta,sigma,patch_economics,patch_water,omegaland_init,omegasupplies_init,omegalabor_init,omegawater_unit,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupplies,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status
ANT01-IDs,Orchards,230.6169292,2061.666385,2.066393172,2.874415879,607.0648734,1550.82325,1472.781853,0.13,0.17,No,No,607.0648734,1472.781853,1550.82325,25,71.860396975,557.6829675309234,1.0958305887601927,557.6829675309234,228.139989725,329.542977805923,-4.88235294117647,0.0699891693171024,0.7483237718489568,0.08849879334774062,0.09318826548619992,1.5631732352502974,0.03335534697730982,12.813434327870855,230.6169433978886,662.8873834203031,-1.4197888617673016e-05,0.0015798383956280304,6.156481515439854e-08,2.383262481640509e-06,GOOD
ANT01-IDs,Pasture,417.254489,215.0,3.5,4.226666667,101.0837153,214.8226999,102.7869284,0.07650000000000001,0.17,No,No,101.0837153,102.7869284,214.8226999,25,105.666666675,228.13998972500008,1.366745466136542,228.13998972500008,228.139989725,0.0,-4.88235294117647,0.0027219561724258477,0.9946521105336535,0.0008498218990088459,0.001776111394911821,1.236560949186176,0.03132835180794568,0.006787214860652527,417.25447678922353,1763.590629989604,1.2210776446863747e-05,0.005010322814086976,2.926457777872762e-08,2.8409702879507037e-06,GOOD
ANT01-IDs,Walnuts,1854.420103,1949.323208,2.037882063,3.5249413,1016.733954,1085.072261,356.2595846,0.13,0.17,No,No,1016.733954,356.2595846,1085.072261,25,88.1235325,1426.3014684728182,1.4858771593602471,1426.3014684728182,228.139989725,1198.16147874782,-4.88235294117647,0.05400782102500557,0.9141288700607036,0.007875777692999741,0.023987531221290805,1.2382429717490953,0.004148093347275201,243.65645578215128,1854.4201260267116,6536.7058937866495,-2.3026711687634815e-05,0.016114828304125695,1.2417203442943272e-08,2.465276675815103e-06,GOOD
ANT02-WAs,Field and Grain,610.495454,173.2298426,2.485487486,1.06,81.51658446,209.6822022,48.80951363,0.11100000000000002,0.17,No,No,81.51658446,48.80951363,209.6822022,25,26.5,64.05230569404966,1.1188224650310803,64.05230569404966,64.0523056940497,0.0,-4.88235294117647,0.331379657303119,0.0801780174391198,0.11111220180853557,0.47733012344922565,2.4753004772953853,0.014756881398512441,0.675598205871923,610.4956769949305,647.1245213208144,-0.00022299493048194563,0.0006599191856366815,3.6526878131666746e-07,1.0197705247262454e-06,GOOD
ANT02-WAs,Orchards,752.5419621,2061.666385,2.066393172,2.859513879,607.0648734,1550.82325,1472.781853,0.13,0.17,No,No,607.0648734,1472.781853,1550.82325,25,71.487846975,558.0555175309233,1.0959408627423728,558.0555175309233,64.0523056940497,494.003211836874,-4.88235294117647,0.07162393728707661,0.7425047107360475,0.09053694012902262,0.09533441184785313,1.5704801745933148,0.010221765801393964,49.154294201502665,752.5419551471025,2151.9013058704872,6.9528974790955544e-06,0.002879284354548872,9.23921565741424e-09,1.3380169871929923e-06,GOOD
ANT02-WAs,Pasture,1220.895677,215.0,3.5,4.226666667,101.0837153,214.8226999,102.7869284,0.07650000000000001,0.17,No,No,101.0837153,102.7869284,214.8226999,25,105.666666675,228.13998972500008,1.366745466136542,228.13998972500008,64.0523056940497,164.08768403095,-4.88235294117647,0.0027219561724258446,0.9946521105336533,0.0008498218990088458,0.0017761113949118202,1.2365609491861758,0.01070680785516173,0.05209722855745035,1220.8955567158291,5160.310700188802,0.00012028417086185073,0.008361671496459167,9.852125216579886e-08,1.620378778176708e-06,GOOD
ANT02-WAs,Almonds,183.9848881,5165.974452,0.856578131,3.572854098,962.6735903,1333.209787,414.244587,0.4,0.17,No,No,962.6735903,414.244587,1333.209787,25,89.32135245,1625.6114241379096,1.5054187755908366,1625.6114241379096,64.0523056940497,1561.55911844386,-4.88235294117647,0.05271017358619823,0.9117030873670187,0.008436050885475926,0.02715068816130727,0.5232270624838038,0.013588072508657302,15248.78810380403,183.98488181413148,657.3502668371947,6.28586852258195e-06,0.0008945809618126077,3.4165134905892034e-08,1.360887474333591e-06,GOOD
ANT02-WAs,Walnuts,2919.768044,1949.323208,2.037882063,3.514648797,1016.733954,1085.072261,356.2595846,0.13,0.17,No,No,1016.733954,356.2595846,1085.072261,25,87.866219925,1426.5587810478182,1.486027334178379,1426.5587810478182,64.0523056940497,1362.50647535377,-4.88235294117647,0.054868571761120914,0.9127637063251377,0.008000455411180865,0.024367266502560523,1.2422328142559385,0.0026345612310248617,412.10060345435704,2919.768011390673,10261.945394600347,3.260932680859696e-05,0.013848763295754907,1.11684648633674e-08,1.3495242932981665e-06,GOOD
BND01-FULL,Field and Grain,131.04541,173.2298426,2.485487486,0.963333333,81.51658446,209.6822022,48.80951363,0.11100000000000002,0.17,No,No,81.51658446,48.80951363,209.6822022,25,24.083333325,66.46897236904967,1.1262486751299947,66.46897236904967,66.4689723690497,0.0,-4.88235294117647,0.34693970581845635,0.047048182133567394,0.11442980425107259,0.49158230779690365,2.490261668217052,0.06874723051352205,0.14501998877087552,131.04551970477706,126.23980703238634,-0.00010970477705996018,0.0006045572651913744,8.371508552642949e-07,4.78893610673979e-06,GOOD
BND01-FULL,Pasture,255.415207,215.0,3.5,3.648333333,101.0837153,214.8226999,102.7869284,0.07650000000000001,0.17,No,No,101.0837153,102.7869284,214.8226999,25,91.208333325,242.59832307500005,1.4054997249441858,242.59832307500005,66.4689723690497,176.12935070595,-4.88235294117647,0.006701043473393363,0.9871062676771404,0.0020041189203883467,0.004188569929077655,1.4741113244997948,0.05117900213684849,0.01139383251543721,255.41510114615215,931.8337503112548,0.00010585384785599672,0.006063141940217065,4.1443831437960043e-07,6.506635424546182e-06,GOOD
