g,HR_Region,shortage_pct%,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
BTE02-WAs,Sacramento River,0.8,Corn,Corn,BTE,Corn,166.7194068,5.454093572,2042.59385,1906.9128294705667,4422.21568525,4118.145068950533,1857337.2159312153,1733962.0236849233,9,Good,513.5133820469099
BTE02-WAs,Sacramento River,0.8,Other field and grain,Field and grain,BTE,Cotton,1657.32655,0.8275,891.312038,1.4899841378378737e-19,3188.7087493982385,6.881491519005079e-09,1222378.9493146874,2.043420449018787e-16,9,Good,513.5133820469099
BTE02-WAs,Sacramento River,0.8,Vegetables and non-tree fruits,Vegetables,BTE,Cucurbits,161.7514,13.41,195.081332,2.8118087509571654e-19,430.15433706000005,6.881491520009331e-09,423148.23955483694,6.099055766814271e-16,9,Good,513.5133820469099
BTE02-WAs,Sacramento River,0.8,Other field and grain,Field and grain,BTE,Field and Grain,173.2298426,2.485487486,583.517739,1.662232535795924e-19,591.784240497006,6.881491518369912e-09,251239.75130628256,7.156918478986966e-17,9,Good,513.5133820469099
BTE02-WAs,Sacramento River,0.8,Trees and Vine,Trees and vines,BTE,Orchards,2061.666385,2.066393172,482.199202,487.021198883975,1526.8077066910837,1538.2205942966164,2054271.4733345902,2074814.2087895072,9,Good,513.5133820469099
BTE02-WAs,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,BTE,Pasture,215.0,3.5,627.896518,4.485307042702896e-19,2518.3882840690344,6.88149152089929e-09,472492.129795,3.3751935496339294e-16,9,Good,513.5133820469099
BTE02-WAs,Sacramento River,0.8,Corn,Field and grain,BTE,Rice,370.9204663,4.450435008,6510.071453,4060.609064996605,29295.321538499997,18227.057302677964,10746548.810488412,6703080.577892656,9,Good,513.5133820469099
BTE02-WAs,Sacramento River,0.8,Trees and Vine,Trees and vines,BTE,Subtropical,942.1801854,4.535541375,277.9083108,280.687396466603,688.1290134870101,693.272559395922,1187584.810174274,1199460.669209688,9,Good,513.5133820469099
BTE02-WAs,Sacramento River,0.8,Other field and grain,Field and grain,BTE,Sunflowers,3239.762235,0.609912532,875.054484,883.8050376541722,2105.964458451685,2121.706542739004,1729082.7981844665,1746373.643582865,9,Good,513.5133820469099
BTE02-WAs,Sacramento River,0.8,Vegetables and non-tree fruits,Vegetables,BTE,Tomatoes Processing,77.35725946,46.64298896,472.497166,477.22214242910496,979.6441240158342,986.9669638541233,1704851.8944481337,1721900.4306003747,9,Good,513.5133820469099
BTE02-WAs,Sacramento River,0.8,Trees and Vine,Trees and vines,BTE,Almonds,5165.974452,0.856578131,523.4565764,528.6911474408957,1879.923959897712,1893.976391479783,2316327.1457872326,2339490.440595689,9,Good,513.5133820469099
