g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,omegawater_unit,CS_land,CS_labor,CS_supply,mprof_init,f_adjustment,mprof,sigma,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
BANTA-CARBONA I.D.,Truck,San Joaquin River,35.97695527,690.3355797,21.20927139,2.667732673,775.1695468,133.3866337,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021,5946.476384,1.603707682,5946.476384,0.17,68.61215883,5877.864225,-4.882352941,0.21990558,0.525351626,0.140646152,0.114096642,18.24124919,0.067794075,8561.95926,35.97695552,95.9768451,-2.52E-07,5.39E-05,7.00E-09,5.62E-07,GOOD,690.3355797,5946.476384
BANTA-CARBONA I.D.,Walnuts,San Joaquin River,2689.410695,1802.497789,1.658526763,4.952669773,765.1413128,247.6334887,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664,892.0443277,1.357428723,892.0443277,0.17,68.61215883,823.4321688,-4.882352941,0.002698778,0.9955348,0.000436613,0.001329808,0.557257651,0.002860221,253.4434108,2689.410627,13319.75359,6.81E-05,0.009470182,2.53E-08,7.11E-07,GOOD,1802.497789,892.0443277
BANTA-CARBONA I.D.,Tomatoes,San Joaquin River,574.7349256,99.69467136,46.73447582,2.379660861,122.4440466,118.9830431,1913.505271,924.141116,0.74,50,0.026280181,0.198348523,0.410695875,1580.104731,1.441119419,1580.104731,0.17,68.61215883,1511.492573,-4.882352941,0.133645775,0.643606157,0.150205326,0.072542741,38.03339952,0.00235126,179907.8361,574.734969,1367.673434,-4.34E-05,0.000773483,7.56E-08,5.66E-07,GOOD,99.69467136,1580.104731
BROADVIEW W.D.,Field and Grain,San Joaquin River,1529.722595,194.8087562,3.454627792,2.917058441,127.4152527,72.92646103,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702,68.61215883,1.060499947,68.61215883,0.17,68.61215883,0,-4.882352941,0.013823801,0.957683556,0.005380103,0.02311254,1.850487538,0.000883396,37340.60809,1529.72261,4462.279422,-1.53E-05,0.01078655,9.99E-09,2.42E-06,GOOD,194.8087562,68.61215883
Byron Bethany (CVP),Alfalfa,San Joaquin River,68.9637412,290.4258221,6.981811447,4.134965358,571.5529894,206.7482679,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255,565.4741469,1.320687545,565.4741469,0.17,68.61215883,496.8619881,-4.882352941,0.005330553,0.991463115,0.001434528,0.001771804,2.690447431,0.0077959,80053.82145,68.96369622,285.1620869,4.50E-05,0.000593935,6.52E-07,2.08E-06,GOOD,290.4258221,565.4741469
Byron Bethany (CVP),Almonds,San Joaquin River,1271.587622,4775.762292,1.018616781,4.125499535,1058.3111,206.2749768,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311,1679.029036,1.454344131,1679.029036,0.17,68.61215883,1610.416877,-4.882352941,0.012832728,0.978161305,0.002134919,0.006871048,0.469576695,0.001966046,111422.8818,1271.587551,5245.926757,7.07E-05,0.007386039,5.56E-08,1.41E-06,GOOD,4775.762292,1679.029036
Byron Bethany (CVP),Field and Grain,San Joaquin River,262.9578898,194.8087562,3.454627792,2.917058441,127.4152527,72.92646103,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702,68.61215883,1.060499947,68.61215883,0.17,68.61215883,0,-4.882352941,0.013823801,0.957683556,0.005380103,0.02311254,1.850487538,0.005139041,6418.815764,262.9580264,767.0617083,-0.000136596,0.001823748,5.19E-07,2.38E-06,GOOD,194.8087562,68.61215883
Byron Bethany (CVP),Grapes,San Joaquin River,11.32742192,1686.199914,10.80135885,3.098484515,5693.452831,154.9242258,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166,1764.328209,1.054534307,1764.328209,0.17,68.61215883,1695.71605,-4.882352941,0.131318485,0.682024451,0.106553789,0.080103276,8.556948336,0.67908724,4.965274217,11.32742192,35.09779869,-4.08E-09,4.27E-05,3.60E-10,1.22E-06,GOOD,1686.199914,1764.328209
Byron Bethany (CVP),Subtropical,San Joaquin River,3.65142448,950.3385633,4.405405823,3.247465856,846.2602941,162.3732928,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361,698.0244571,1.142940118,698.0244571,0.17,68.61215883,629.4122983,-4.882352941,0.028036452,0.926939772,0.032850505,0.012173271,2.598749769,2.106659397,0.319645726,3.651424468,11.85786352,1.16E-08,1.28E-05,3.17E-09,1.08E-06,GOOD,950.3385633,698.0244571
Byron Bethany (CVP),Walnuts,San Joaquin River,71.37030245,1802.497789,1.658526763,4.952669773,765.1413128,247.6334887,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664,892.0443277,1.357428723,892.0443277,0.17,68.61215883,823.4321688,-4.882352941,0.002698778,0.9955348,0.000436613,0.001329808,0.557257651,0.107780231,6.725760745,71.37029844,353.4730238,4.01E-06,0.000515793,5.62E-08,1.46E-06,GOOD,1802.497789,892.0443277
