g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater_unit,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,xratio_labor,xratio_supply,,pc,pimarginal
BANTA-CARBONA I.D.,Alfalfa,San Joaquin River,692.4817265,281,6.7,4.134965358,0.306290873,206.74826789999997,0.13122437452970753,0.081460253,1.86,0.17,739.7198673,484.1807412,381.4811931,50,1675.287002,8.644818018,1675.287002,385.7163598,1289.570643,-4.882352941,0.007860775,0.9921375438417912,0.012009505230521716,0.015242615484271678,2.5432669831321935,0.000776388,970460.5401415463,692.4807279835914,2863.380804,0.000998516,0.007146402,1.4419390006613347e-06,2.495785431494578e-06,GOOD,1.939072961544676,1.5277763122781245,,281,1027.284099
BANTA-CARBONA I.D.,Almonds & Pistachios,San Joaquin River,6944.405664,4883.344789,1.202182209,4.124104363,0.287448101,206.20521814999998,0.311217018,0.03090217,0.4,0.17,2039.310074,2110.873995,639.9084906,50,5663.784214507658,27.02509689840731,5663.784214507658,385.7163598,5278.067855,-4.882352941,0.026479920117827314,0.9735182409676014,0.025448648543552225,0.08076104,0.5756254687203674,0.000360002,1203531.5783279827,6944.405139345559,28639.423577003552,0.000524654,0.030120340758003294,7.55506613497789e-08,1.0517079367612484e-06,GOOD,3.0498974152879694,0.9610545813701002,,4883.344789,5019.628819
BANTA-CARBONA I.D.,Citrus & Subtropical,San Joaquin River,160.6387081,933,3.6,3.247465856,0.183365181,162.3732928,0.094855843,0.7506750003126099,0.13,0.17,2549.235389,1743.692937,5418.931559,50,3195.74045,19.617723303371225,3195.74045,385.7163598,2810.02409,-4.882352941,0.058907246,0.9410834844771222,0.081902114,0.029113953,2.0362492143992172,0.047885767,26.779665791311114,160.63870249721433,521.6681975208036,5.6027856771834195e-06,0.000522186,3.48781793843586e-08,1.0009913902932222e-06,GOOD,0.49423381869050864,1.3903572019867076,,933,2830.46938
BANTA-CARBONA I.D.,Corn,San Joaquin River,282.9171526,59,27.1,2.415829265,0.234536008,120.7914633,1.320694044672553,0.033525185,0.3,0.17,423.9938724,1022.014707,159.5840787,50,1477.228776,12.515382455355429,1477.228776,385.7163598,1091.512416,-4.882352941,0.14154713132592708,0.858391053,0.059649214,0.374386554,18.453710581229604,0.011782012,3305.630053638397,282.91711190201005,683.4787547478874,4.0697989959426195e-05,0.000782074,1.4385126382551538e-07,1.1442532240381943e-06,GOOD,2.644960375498291,0.4214088525991567,,59,1305.499693
BANTA-CARBONA I.D.,Cucurbits,San Joaquin River,324.6611668,203,12,2.299627126,0.087908733,114.98135629999999,0.5954029958862788,4.8590594140887005,0.05,0.17,920.9338517,2396.72349,6846.813993,50,2320.0483831340002,20.00834540048819,2320.0483831340002,385.7163598,1934.332023,-4.882352941,0.25706394645507785,0.7428382916827645,0.098776054,0.034576504,9.176584256961513,0.061602686,6.4723421852924e-05,324.6611626771965,746.5988906148422,4.122803488826321e-06,0.000735317,1.269878849220695e-08,9.848883161563753e-07,GOOD,0.13450545739469513,0.38424701518246485,,203,2166.043383
BANTA-CARBONA I.D.,Dry Beans,San Joaquin River,1248.750059,1752,1.3,2.212101358,0.272510229,110.6050679,0.8579188204514863,0.0413722,1.68,0.17,521.9411016,903.6303871,214.6292221,50,2166.1327210739996,19.459906781997343,2166.1327210739996,385.7163598,1780.416361,-4.882352941,0.2887297369606794,0.71119167,0.16272707643588155,0.741017753,1.0183426341729913,0.000476667,2059985.8055920417,1248.749509,2762.3577608466935,0.000550256,0.00394047,4.4064504025058726e-07,1.4264858162779645e-06,GOOD,2.5664753522934403,0.5635965250716192,,1752,2031.758578
BANTA-CARBONA I.D.,Grain,San Joaquin River,72.81367026,164,2.5,0.466656841,0.351483763,23.33284205,0.6729928083090427,0.036299510576689786,0.74,0.17,345.3012994,477.8051109,110.9675411,50,385.7163598,16.079804662496404,385.7163598,385.7163598,0,-4.882352941,0.9969937457477995,0.001458566,0.7205097397924388,3.1023777916232085,2.529426824507273,0.018559033578804677,4.9030404342852485,72.81624174626766,33.98017605163746,-0.002571486,-0.001178706,3.531598199194173e-05,3.468926637952896e-05,GOOD,3.1117324505343373,0.7226823065494933,,164,398.0507936
BANTA-CARBONA I.D.,Other Deciduous,San Joaquin River,5966.793346,1941.520674,2.07538957,3.445837194,0.215021845,172.2918597,0.54254216,0.5586272122329681,0.13,0.17,2284.866179,4950.948854,6009.195442,50,3856.2167431929706,22.157306538012612,3856.2167431929706,385.7163598,3470.500383,-4.882352941,0.050594784623061544,0.9493961873703468,0.03185153,0.031389616,1.1365238198931231,0.001289186,1228.5039823769516,5966.793165197887,20560.577590623412,0.000180802,0.020849935099249706,3.0301386843289166e-08,1.0140723850780743e-06,GOOD,0.6204120841421951,0.6295417628777134,,1941.520674,3434.405867
BANTA-CARBONA I.D.,Pasture,San Joaquin River,8.53927993,276,5,4.600187047,0.350906068,230.00935235000003,0.10289172336777223,0.068524209,0.51,0.17,328.209843,177.7241242,145.0367898,50,1149.294661,5.696815346269181,1149.294661,385.7163598,763.5783014,-4.882352941,0.002895044,0.9971040874488487,0.005346386,0.006551316,1.5678817415054642,0.2296193976305787,468.25964750871026,8.539273498998249,39.28222524,6.431001750684118e-06,5.968005106637975e-05,7.53108201558175e-07,1.5192611932017359e-06,GOOD,2.262942000342034,1.8467377139832826,,276,321.3916346
BANTA-CARBONA I.D.,Safflower,San Joaquin River,52.20934812,574,1.3,2.40565496,0.396694215,120.28274800000001,0.4537037030434028,0.032158708,0.74,0.17,212.2655769,227.006242,60.43672676,50,624.9833677,5.862781808072513,624.9833677,385.7163598,239.2670079,-4.882352941,0.066770805,0.9331718404896493,0.062435038127782345,0.23451209513226742,0.7742976954909151,0.025883322,2397.164397750822,52.209264201976815,125.59734852177009,8.391802318641339e-05,0.000328741,1.607337118891677e-06,2.6174168325981296e-06,GOOD,3.5121951355556216,0.9350649358914657,,574,455.958654
