g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,omegawater_unit,CS_land,CS_labor,CS_supply,sigma,xland_lp,lambdacrop,lambdaland,lambdawater,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,omega_suppl_unit,omega_labor_unit,xsupplies_base,xlabor_base,xlandcalib,xwatercalib,xsuppcalib,xlaborcalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
BANTA-CARBONA I.D.,Safflower,San Joaquin River,52.20934812,575.1459791,1.245291589,2.40565496,140.0879783,50,80.89587427,303.852797,0.74,50,0.195592287,0.424242424,0.112947658,0.4,52.26155747,14.52161987,0,23.52100934,-1.5,0.128918295,0.550266287,0.067453498,0.25336192,0.883125757,0.025883322,1546.436198,80.89587427,303.852797,52.20934812,52.20934812,52.15713877,125.4720796,52.13475956,52.14313737,0.052209348,0.125597677,0.001,0.001,GOOD,575.1459791,0.30932953
BANTA-CARBONA I.D.,Subtropical,San Joaquin River,160.0544714,950.3385633,4.405405823,3.247465856,846.2602941,50,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361,0.4,160.2145259,621.6407824,0,23.52100934,-1.5,0.274624722,0.261406141,0.338523815,0.125445322,3.74332325,0.048060561,13.93738089,1809.449159,670.5198376,160.0544714,160.0544714,159.8944169,519.2516595,159.8933877,159.8871857,0.160054471,0.519771431,0.001,0.001,GOOD,950.3385633,-2425.890727
BANTA-CARBONA I.D.,Tomatoes,San Joaquin River,750.894725,99.69467136,46.73447582,2.379660861,122.4440466,50,1913.505271,924.141116,0.74,50,0.026280181,0.198348523,0.410695875,0.4,751.6456197,1524.132706,0,23.52100934,-1.5,0.321191407,0.125279805,0.373260128,0.18026866,43.84952393,0.001799655,236869.0497,1913.505271,924.141116,750.894725,750.894725,750.1438303,1785.087913,750.1034318,750.1291234,0.750894725,1.786874788,0.001,0.001,GOOD,99.69467136,-2910.395762
BANTA-CARBONA I.D.,Truck,San Joaquin River,43.2080525,690.3355797,21.20927139,2.667732673,775.1695468,50,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021,0.4,43.25126055,5883.728618,0,23.52100934,-1.5,0.435222421,0.055856808,0.280980462,0.227940309,20.59629064,0.056448376,10291.91257,4298.997918,3487.484178,43.2080525,43.2080525,43.16484445,115.1522659,43.16463072,43.1639492,0.043208052,0.115267533,0.001,0.001,GOOD,690.3355797,-7921.316063
BANTA-CARBONA I.D.,Walnuts,San Joaquin River,2723.547312,1802.497789,1.658526763,4.952669773,765.1413128,50,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664,0.4,2726.270859,775.5525357,0,23.52100934,-1.5,0.232076178,0.604538695,0.040384536,0.123000591,0.974383924,0.002824371,248.9246132,268.1025116,816.5691826,2723.547312,2723.547312,2726.270859,13502.31928,2725.969609,2726.037606,-2.723547312,-13.48883045,0.001,0.001,GOOD,1802.497789,-97.315218
BROADVIEW W.D.,Field and Grain,San Joaquin River,2599.513597,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702,0.4,2599.264625,17.15303971,68.61215883,0,-1.5,0.217409137,0.370538423,0.077805508,0.334246932,2.733474411,0.000519848,71996.67325,76.29216244,327.7457083,2599.513597,2599.513597,2599.517077,7582.943232,2536.501533,2536.480726,-0.003479985,-0.01015132,1.34E-06,1.34E-06,GOOD,194.8087562,-361.6443672
BROADVIEW W.D.,Onions and Garlic,San Joaquin River,248.9715927,1579.216395,6.547714821,1.480822037,1660.207972,50,2894.594241,4313.35249,0.41,50,0.160557684,0.417141646,0.279934415,0.4,249.2205643,1346.603671,68.61215883,0,-1.5,0.29523712,0.012808349,0.277877692,0.414076839,6.522807667,0.009796396,26778.42584,2894.594241,4313.35249,248.9715927,248.9715927,248.9681127,368.6774678,248.4255041,248.4256199,0.003479985,0.005153239,1.40E-05,1.40E-05,GOOD,1579.216395,-7338.938308
Byron Bethany (CVP),Alfalfa,San Joaquin River,68.96354348,290.4258221,6.981811447,4.134965358,571.5529894,50,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255,0.4,69.03250702,468.2155881,0,23.52100934,-1.5,0.242943972,0.597256092,0.071495243,0.088304693,4.243100361,0.007795922,77907.19071,305.9903334,377.9325916,68.96354348,68.96354348,69.03250702,285.4470251,69.03396133,69.03398999,-0.068963543,-0.285161863,0.001,0.001,GOOD,290.4258221,-1015.050092
Byron Bethany (CVP),Almonds,San Joaquin River,1272.888127,4775.762292,1.018616781,4.125499535,1058.3111,50,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311,0.4,1274.161015,1581.993123,0,23.52100934,-1.5,0.371720169,0.357820298,0.064114062,0.206345471,0.79144599,0.001964037,110348.896,455.3980167,1465.658483,1272.888127,1272.888127,1272.997704,5251.751437,1273.008598,1272.99858,-0.109577281,-0.45206102,8.61E-05,8.61E-05,GOOD,4775.762292,1746.394692
Byron Bethany (CVP),Field and Grain,San Joaquin River,241.5843527,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702,0.4,239.5491224,0,0,23.52100934,-1.5,0.103034989,0.570237743,0.061694043,0.265033225,2.302766795,0.005593704,5897.086612,76.29216244,327.7457083,241.5843527,241.5843527,241.3427683,704.0109596,241.3453907,241.3514216,0.241584353,0.704715675,0.001,0.001,GOOD,194.8087562,-361.6443672
Byron Bethany (CVP),Grapes,San Joaquin River,11.32738188,1686.199914,10.80135885,3.098484515,5693.452831,50,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166,0.4,11.33870926,1691.448726,0,23.52100934,-1.5,0.384071916,0.064617868,0.31471722,0.236592996,10.41794182,0.679089641,4.962389177,6051.355458,4549.18964,11.32738188,11.32738188,11.32270743,35.08323365,11.32268266,11.32275453,0.004674446,0.014483698,0.000412668,0.000412668,GOOD,1686.199914,-14657.79802
Byron Bethany (CVP),Subtropical,San Joaquin River,3.65141321,950.3385633,4.405405823,3.247465856,846.2602941,50,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361,0.4,3.655064623,621.6407824,0,23.52100934,-1.5,0.274624722,0.261406141,0.338523815,0.125445322,3.74332325,2.106665899,0.317961356,1809.449159,670.5198376,3.65141321,3.65141321,3.647761797,11.84598189,3.647710709,3.647727691,0.003651413,0.01185784,0.001,0.001,GOOD,950.3385633,-2425.890727
Byron Bethany (CVP),Walnuts,San Joaquin River,71.36938777,1802.497789,1.658526763,4.952669773,765.1413128,50,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664,0.4,71.44075716,775.5525357,0,23.52100934,-1.5,0.232076178,0.604538695,0.040384536,0.123000591,0.974383924,0.107781612,6.522962597,268.1025116,816.5691826,71.36938777,71.36938777,71.44075716,353.8224785,71.44136522,71.4409333,-0.071369388,-0.35346901,0.001,0.001,GOOD,1802.497789,-97.315218
CENTRAL CALIFORNIA I.D.,Alfalfa,San Joaquin River,18210.31372,290.4258221,6.981811447,4.134965358,571.5529894,50,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255,0.4,18228.52403,468.2155881,0,23.52100934,-1.5,0.242943972,0.597256092,0.071495243,0.088304693,4.243100361,2.95E-05,20571947.33,305.9903334,377.9325916,18210.31372,18210.31372,18228.52403,75374.31541,18216.63139,18219.69418,-18.21031367,-75.29901617,0.001,0.001,GOOD,290.4258221,-1015.050092
