g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,omegawater_unit,sigma,CS_land,CS_labor,CS_supply
WESTLANDS W.D.,Grapes,Tulare Lake,16335.50709,1422.002244,11.72196241,4.01,2204.421494,50,7245.758443,5033.01877,0.13,50,0.17,0.132249498,0.30194507,0.434693599
CENTRAL CALIFORNIA I.D.,Lettuce,San Joaquin River,133.8675199,1008,18.9,3.33,1600,65,12500,929,0.25,65,0.17,0.083984211,0.048763332,0.656126648
DEL PUERTO WATER DISTRICT,Lettuce,San Joaquin River,154.3508257,1008,18.9,3.33,1600,65,12500,929,0.25,65,0.17,0.083984211,0.048763332,0.656126648
SAN BENITO CO. W.D.,Lettuce,Central Coast,8320.721698,1008,18.9,1.37,1600,65,12500,929,0.25,65,0.17,0.083984211,0.048763332,0.656126648
SANTA CLARA VALLEY W.D.,Lettuce,San Francisco Bay,2336.693965,1008,18.9,1.68,1600,65,12500,929,0.25,65,0.17,0.083984211,0.048763332,0.656126648
TRANQUILLITY I.D.,Lettuce,Tulare Lake,35.96872676,1008,18.9,2.3,1600,65,12500,929,0.25,65,0.17,0.083984211,0.048763332,0.656126648
Turner Island Water District,Lettuce,San Joaquin River,125.544566,1008,18.9,3.33,1600,65,12500,929,0.25,65,0.17,0.083984211,0.048763332,0.656126648
WESTLANDS W.D.,Lettuce,Tulare Lake,3418.435187,1008,18.9,2.3,1600,65,12500,929,0.25,65,0.17,0.083984211,0.048763332,0.656126648
BROADVIEW W.D.,Onions and Garlic,San Joaquin River,30.40487345,1579.216395,6.547714821,1.48,1660.207976,50,2894.594244,4313.352488,0.41,50,0.17,0.160557684,0.417141646,0.279934415
CENTRAL CALIFORNIA I.D.,Onions and Garlic,San Joaquin River,939.8552181,1579.216395,6.547714821,1.48,1660.207976,50,2894.594244,4313.352488,0.41,50,0.17,0.160557684,0.417141646,0.279934415
DEL PUERTO WATER DISTRICT,Onions and Garlic,San Joaquin River,107.0342644,1579.216395,6.547714821,1.48,1660.207976,50,2894.594244,4313.352488,0.41,50,0.17,0.160557684,0.417141646,0.279934415
FIREBAUGH CANAL W.D.,Onions and Garlic,San Joaquin River,344.8108972,1579.216395,6.547714821,1.48,1660.207976,50,2894.594244,4313.352488,0.41,50,0.17,0.160557684,0.417141646,0.279934415
FRESNO SLOUGH W.D.,Onions and Garlic,Tulare Lake,92.06001764,2408.610949,10.63434095,1.25,4112.52293,50,7170.237324,10684.66196,0.41,50,0.17,0.160557684,0.417141646,0.279934415
HENRY MILLER RECLAMATION DIST. 2131,Onions and Garlic,San Joaquin River,946.5806862,1579.216395,6.547714821,1.48,1660.207976,50,2894.594244,4313.352488,0.41,50,0.17,0.160557684,0.417141646,0.279934415
JAMES I.D.,Onions and Garlic,Tulare Lake,73.48637504,2408.610949,10.63434095,1.25,4112.52293,50,7170.237324,10684.66196,0.41,50,0.17,0.160557684,0.417141646,0.279934415
PACHECO W.D.,Onions and Garlic,San Joaquin River,293.0802116,1579.216395,6.547714821,1.48,1660.207976,50,2894.594244,4313.352488,0.41,50,0.17,0.160557684,0.417141646,0.279934415
PANOCHE W.D.,Onions and Garlic,San Joaquin River,312.0014879,1579.216395,6.547714821,1.48,1660.207976,50,2894.594244,4313.352488,0.41,50,0.17,0.160557684,0.417141646,0.279934415
PLEASANT VALLEY W.D.,Onions and Garlic,Tulare Lake,352.0417019,2408.610949,10.63434095,1.25,4112.52293,50,7170.237324,10684.66196,0.41,50,0.17,0.160557684,0.417141646,0.279934415
SAN BENITO CO. W.D.,Onions and Garlic,Central Coast,238.1333259,1427.738608,20.08290673,1.59,4603.693171,50,8026.59904,11960.76135,0.41,50,0.17,0.160557684,0.417141646,0.279934415
SAN LUIS W.D.,Onions and Garlic,San Joaquin River,42.01553528,1579.216395,6.547714821,1.48,1660.207976,50,2894.594244,4313.352488,0.41,50,0.17,0.160557684,0.417141646,0.279934415
SANTA CLARA VALLEY W.D.,Onions and Garlic,San Francisco Bay,156.3016191,1577.95801,5.4088809,2,1370.35774,50,2389.23658,3560.2985,0.41,50,0.17,0.160557684,0.417141646,0.279934415
TRANQUILLITY I.D.,Onions and Garlic,Tulare Lake,396.3800186,2408.610949,10.63434095,1.25,4112.52293,50,7170.237324,10684.66196,0.41,50,0.17,0.160557684,0.417141646,0.279934415
Turner Island Water District,Onions and Garlic,San Joaquin River,785.5235376,1579.216395,6.547714821,1.48,1660.207976,50,2894.594244,4313.352488,0.41,50,0.17,0.160557684,0.417141646,0.279934415
WEST STANISLAUS I.D.,Onions and Garlic,San Joaquin River,136.1806309,1579.216395,6.547714821,1.48,1660.207976,50,2894.594244,4313.352488,0.41,50,0.17,0.160557684,0.417141646,0.279934415
WESTLANDS W.D.,Onions and Garlic,Tulare Lake,17632.66838,2408.610949,10.63434095,1.25,4112.52293,50,7170.237324,10684.66196,0.41,50,0.17,0.160557684,0.417141646,0.279934415
BANTA-CARBONA I.D.,Orchards,San Joaquin River,770.0378914,4762.917744,3.247388671,3.45,2203.997556,50,5347.052259,5630.387794,0.13,50,0.17,0.142496355,0.364024786,0.345706127
CENTRAL CALIFORNIA I.D.,Orchards,San Joaquin River,983.6340599,4762.917744,3.247388671,3.45,2203.997556,50,5347.052259,5630.387794,0.13,50,0.17,0.142496355,0.364024786,0.345706127
COLUMBIA CANAL CO.,Orchards,San Joaquin River,0.23093099,4762.917744,3.247388671,3.45,2203.997556,50,5347.052259,5630.387794,0.13,50,0.17,0.142496355,0.364024786,0.345706127
DEL PUERTO WATER DISTRICT,Orchards,San Joaquin River,3585.271711,4762.917744,3.247388671,3.45,2203.997556,50,5347.052259,5630.387794,0.13,50,0.17,0.142496355,0.364024786,0.345706127
FIREBAUGH CANAL W.D.,Orchards,San Joaquin River,451.1533949,4762.917744,3.247388671,3.45,2203.997556,50,5347.052259,5630.387794,0.13,50,0.17,0.142496355,0.364024786,0.345706127
HENRY MILLER RECLAMATION DIST. 2131,Orchards,San Joaquin River,89.74341271,4762.917744,3.247388671,3.45,2203.997556,50,5347.052259,5630.387794,0.13,50,0.17,0.142496355,0.364024786,0.345706127
JAMES I.D.,Orchards,Tulare Lake,69.88396,2277.681025,7.763328774,3.5,2519.675648,50,6112.909395,6436.827015,0.13,50,0.17,0.142496355,0.364024786,0.345706127
PANOCHE W.D.,Orchards,San Joaquin River,461.2066509,4762.917744,3.247388671,3.45,2203.997556,50,5347.052259,5630.387794,0.13,50,0.17,0.142496355,0.364024786,0.345706127
PATTERSON W.D.,Orchards,San Joaquin River,679.0234821,4762.917744,3.247388671,3.45,2203.997556,50,5347.052259,5630.387794,0.13,50,0.17,0.142496355,0.364024786,0.345706127
SAN BENITO CO. W.D.,Orchards,Central Coast,1081.168878,1190.158285,14.43863271,2.72,2448.694182,50,5940.703393,6255.495971,0.13,50,0.17,0.142496355,0.364024786,0.345706127
SAN LUIS W.D.,Orchards,San Joaquin River,937.3376077,4762.917744,3.247388671,3.45,2203.997556,50,5347.052259,5630.387794,0.13,50,0.17,0.142496355,0.364024786,0.345706127
SANTA CLARA VALLEY W.D.,Orchards,San Francisco Bay,1680.424039,3477.145422,5.627572715,3.12,2788.352819,50,6764.739008,7123.1965,0.13,50,0.17,0.142496355,0.364024786,0.345706127
THE WEST SIDE I.D.,Orchards,San Joaquin River,27.01309477,4762.917744,3.247388671,3.45,2203.997556,50,5347.052259,5630.387794,0.13,50,0.17,0.142496355,0.364024786,0.345706127
TRANQUILLITY I.D.,Orchards,Tulare Lake,54.23389703,2277.681025,7.763328774,3.5,2519.675648,50,6112.909395,6436.827015,0.13,50,0.17,0.142496355,0.364024786,0.345706127
WEST STANISLAUS I.D.,Orchards,San Joaquin River,912.5589146,4762.917744,3.247388671,3.45,2203.997556,50,5347.052259,5630.387794,0.13,50,0.17,0.142496355,0.364024786,0.345706127
WESTLANDS W.D.,Orchards,Tulare Lake,4800.071949,2277.681025,7.763328774,3.5,2519.675648,50,6112.909395,6436.827015,0.13,50,0.17,0.142496355,0.364024786,0.345706127
BANTA-CARBONA I.D.,Pasture,San Joaquin River,12.54883657,226.9343417,5,4.6,214.82356,10,128.6294506,552.5829799,0.51,10,0.17,0.189326621,0.486998112,0.113362702
Byron Bethany (CVP),Pasture,San Joaquin River,57.61231852,226.9343417,5,4.6,214.82356,10,128.6294506,552.5829799,0.51,10,0.17,0.189326621,0.486998112,0.113362702
CENTRAL CALIFORNIA I.D.,Pasture,San Joaquin River,2889.95792,226.9343417,5,4.6,214.82356,10,128.6294506,552.5829799,0.51,10,0.17,0.189326621,0.486998112,0.113362702
COLUMBIA CANAL CO.,Pasture,San Joaquin River,35.17888638,226.9343417,5,4.6,214.82356,10,128.6294506,552.5829799,0.51,10,0.17,0.189326621,0.486998112,0.113362702
DEL PUERTO WATER DISTRICT,Pasture,San Joaquin River,115.4088946,226.9343417,5,4.6,214.82356,10,128.6294506,552.5829799,0.51,10,0.17,0.189326621,0.486998112,0.113362702
FIREBAUGH CANAL W.D.,Pasture,San Joaquin River,11.98431594,226.9343417,5,4.6,214.82356,10,128.6294506,552.5829799,0.51,10,0.17,0.189326621,0.486998112,0.113362702
GRASSLANDS W.D.,Pasture,San Joaquin River,382.9851521,226.9343417,5,4.6,214.82356,10,128.6294506,552.5829799,0.51,10,0.17,0.189326621,0.486998112,0.113362702
HENRY MILLER RECLAMATION DIST. 2131,Pasture,San Joaquin River,543.2067388,226.9343417,5,4.6,214.82356,10,128.6294506,552.5829799,0.51,10,0.17,0.189326621,0.486998112,0.113362702
JAMES I.D.,Pasture,Tulare Lake,4.275104626,242.4206904,4.903405501,4.77,225.0500826,10,134.7527641,578.888299,0.51,10,0.17,0.189326621,0.486998112,0.113362702
MERCY SPRINGS W.D.,Pasture,San Joaquin River,2166.625533,226.9343417,5,4.6,214.82356,10,128.6294506,552.5829799,0.51,10,0.17,0.189326621,0.486998112,0.113362702
ORO LOMA W.D.,Pasture,San Joaquin River,826.3154645,226.9343417,5,4.6,214.82356,10,128.6294506,552.5829799,0.51,10,0.17,0.189326621,0.486998112,0.113362702
PANOCHE W.D.,Pasture,San Joaquin River,34.69743112,226.9343417,5,4.6,214.82356,10,128.6294506,552.5829799,0.51,10,0.17,0.189326621,0.486998112,0.113362702
PATTERSON W.D.,Pasture,San Joaquin River,274.3191549,226.9343417,5,4.6,214.82356,10,128.6294506,552.5829799,0.51,10,0.17,0.189326621,0.486998112,0.113362702
PLEASANT VALLEY W.D.,Pasture,Tulare Lake,129.0243946,242.4206904,4.903405501,4.77,225.0500826,10,134.7527641,578.888299,0.51,10,0.17,0.189326621,0.486998112,0.113362702
SAN BENITO CO. W.D.,Pasture,Central Coast,739.1398811,207.2507842,4.78638378,4.19,187.8085604,10,112.4537362,483.0932599,0.51,10,0.17,0.189326621,0.486998112,0.113362702
SAN LUIS W.D.,Pasture,San Joaquin River,63.69698389,226.9343417,5,4.6,214.82356,10,128.6294506,552.5829799,0.51,10,0.17,0.189326621,0.486998112,0.113362702
SANTA CLARA VALLEY W.D.,Pasture,San Francisco Bay,1060.879493,274.2759113,5,3.31,259.6386568,10,155.4632918,667.8592549,0.51,10,0.17,0.189326621,0.486998112,0.113362702
THE WEST SIDE I.D.,Pasture,San Joaquin River,209.6709714,226.9343417,5,4.6,214.82356,10,128.6294506,552.5829799,0.51,10,0.17,0.189326621,0.486998112,0.113362702
WEST STANISLAUS I.D.,Pasture,San Joaquin River,3.628317337,226.9343417,5,4.6,214.82356,10,128.6294506,552.5829799,0.51,10,0.17,0.189326621,0.486998112,0.113362702
WESTLANDS W.D.,Pasture,Tulare Lake,443.9962986,242.4206904,4.903405501,4.77,225.0500826,10,134.7527641,578.888299,0.51,10,0.17,0.189326621,0.486998112,0.113362702
BANTA-CARBONA I.D.,Pistachios,San Joaquin River,102.9100466,4897.401316,1.414819371,3.81,1806.45507,50,360.6739901,1788.102657,0.4,50,0.17,0.260711671,0.25806301,0.052053284
CENTRAL CALIFORNIA I.D.,Pistachios,San Joaquin River,4643.001498,4897.401316,1.414819371,3.81,1806.45507,50,360.6739901,1788.102657,0.4,50,0.17,0.260711671,0.25806301,0.052053284
COLUMBIA CANAL CO.,Pistachios,San Joaquin River,1979.485605,4897.401316,1.414819371,3.81,1806.45507,50,360.6739901,1788.102657,0.4,50,0.17,0.260711671,0.25806301,0.052053284
DEL PUERTO WATER DISTRICT,Pistachios,San Joaquin River,330.4084435,4897.401316,1.414819371,3.81,1806.45507,50,360.6739901,1788.102657,0.4,50,0.17,0.260711671,0.25806301,0.052053284
FIREBAUGH CANAL W.D.,Pistachios,San Joaquin River,6375.819351,4897.401316,1.414819371,3.81,1806.45507,50,360.6739901,1788.102657,0.4,50,0.17,0.260711671,0.25806301,0.052053284
HENRY MILLER RECLAMATION DIST. 2131,Pistachios,San Joaquin River,883.5962957,4897.401316,1.414819371,3.81,1806.45507,50,360.6739901,1788.102657,0.4,50,0.17,0.260711671,0.25806301,0.052053284
JAMES I.D.,Pistachios,Tulare Lake,3552.368541,5088.640658,1.460333567,3.82,1937.377827,50,386.8138227,1917.695323,0.4,50,0.17,0.260711671,0.258063009,0.052053284
MERCY SPRINGS W.D.,Pistachios,San Joaquin River,672.1307816,4897.401316,1.414819371,3.81,1806.45507,50,360.6739901,1788.102657,0.4,50,0.17,0.260711671,0.25806301,0.052053284
PACHECO W.D.,Pistachios,San Joaquin River,197.4011527,4897.401316,1.414819371,3.81,1806.45507,50,360.6739901,1788.102657,0.4,50,0.17,0.260711671,0.25806301,0.052053284
PANOCHE W.D.,Pistachios,San Joaquin River,10136.33739,4897.401316,1.414819371,3.81,1806.45507,50,360.6739901,1788.102657,0.4,50,0.17,0.260711671,0.25806301,0.052053284
PATTERSON W.D.,Pistachios,San Joaquin River,14.56268422,4897.401316,1.414819371,3.81,1806.45507,50,360.6739901,1788.102657,0.4,50,0.17,0.260711671,0.25806301,0.052053284
PLEASANT VALLEY W.D.,Pistachios,Tulare Lake,10408.81819,5088.640658,1.460333567,3.82,1937.377827,50,386.8138227,1917.695323,0.4,50,0.17,0.260711671,0.258063009,0.052053284
SAN LUIS W.D.,Pistachios,San Joaquin River,3964.671639,4897.401316,1.414819371,3.81,1806.45507,50,360.6739901,1788.102657,0.4,50,0.17,0.260711671,0.25806301,0.052053284
TRANQUILLITY I.D.,Pistachios,Tulare Lake,1305.040293,5088.640658,1.460333567,3.82,1937.377827,50,386.8138227,1917.695323,0.4,50,0.17,0.260711671,0.258063009,0.052053284
WESTLANDS W.D.,Pistachios,Tulare Lake,97170.38616,5088.640658,1.460333567,3.82,1937.377827,50,386.8138227,1917.695323,0.4,50,0.17,0.260711671,0.258063009,0.052053284
CENTRAL CALIFORNIA I.D.,Rice,San Joaquin River,2083.117257,573.2274458,4.688550562,4.83,335.3762229,50,192.0996255,1541.750862,0.2,50,0.17,0.124786237,0.573652143,0.071476115
PANOCHE W.D.,Safflower,San Joaquin River,225.1059234,575.1459791,1.245291589,2.41,140.0879779,50,80.89587456,303.8527971,0.74,50,0.17,0.195592287,0.424242424,0.112947658
WESTLANDS W.D.,Safflower,Tulare Lake,1536.409486,574.3765351,1.258,2.39,141.3282737,50,81.61210173,306.5430162,0.74,50,0.17,0.195592287,0.424242424,0.112947658
BANTA-CARBONA I.D.,Subtropical,San Joaquin River,158.7344127,950.3385633,4.405405823,3.25,846.2602958,50,1809.44916,670.5198364,0.13,50,0.17,0.202134149,0.160157528,0.432197361
Byron Bethany (CVP),Subtropical,San Joaquin River,3.622599999,950.3385633,4.405405823,3.25,846.2602958,50,1809.44916,670.5198364,0.13,50,0.17,0.202134149,0.160157528,0.432197361
CENTRAL CALIFORNIA I.D.,Subtropical,San Joaquin River,233.8920409,950.3385633,4.405405823,3.25,846.2602958,50,1809.44916,670.5198364,0.13,50,0.17,0.202134149,0.160157528,0.432197361
DEL PUERTO WATER DISTRICT,Subtropical,San Joaquin River,1080.420856,950.3385633,4.405405823,3.25,846.2602958,50,1809.44916,670.5198364,0.13,50,0.17,0.202134149,0.160157528,0.432197361
EAGLE FIELD W.D.,Subtropical,San Joaquin River,327.4861235,950.3385633,4.405405823,3.25,846.2602958,50,1809.44916,670.5198364,0.13,50,0.17,0.202134149,0.160157528,0.432197361
HENRY MILLER RECLAMATION DIST. 2131,Subtropical,San Joaquin River,5.25971301,950.3385633,4.405405823,3.25,846.2602958,50,1809.44916,670.5198364,0.13,50,0.17,0.202134149,0.160157528,0.432197361
PACHECO W.D.,Subtropical,San Joaquin River,131.0750472,950.3385633,4.405405823,3.25,846.2602958,50,1809.44916,670.5198364,0.13,50,0.17,0.202134149,0.160157528,0.432197361
PANOCHE W.D.,Subtropical,San Joaquin River,164.763964,950.3385633,4.405405823,3.25,846.2602958,50,1809.44916,670.5198364,0.13,50,0.17,0.202134149,0.160157528,0.432197361
PATTERSON W.D.,Subtropical,San Joaquin River,37.20244494,950.3385633,4.405405823,3.25,846.2602958,50,1809.44916,670.5198364,0.13,50,0.17,0.202134149,0.160157528,0.432197361
PLEASANT VALLEY W.D.,Subtropical,Tulare Lake,5.076625273,1157.720607,15.10914155,3.61,3535.763797,50,7560.067348,2801.501824,0.13,50,0.17,0.202134149,0.160157528,0.432197361
SAN BENITO CO. W.D.,Subtropical,Central Coast,53.92693115,2833.550317,6.019821828,2.61,3447.896795,50,7372.19268,2731.881912,0.13,50,0.17,0.202134149,0.160157528,0.432197361
SAN LUIS W.D.,Subtropical,San Joaquin River,539.9280683,950.3385633,4.405405823,3.25,846.2602958,50,1809.44916,670.5198364,0.13,50,0.17,0.202134149,0.160157528,0.432197361
SANTA CLARA VALLEY W.D.,Subtropical,San Francisco Bay,80.19754593,1623.939354,3.019839614,2.43,991.2732244,50,2119.511588,785.4183442,0.13,50,0.17,0.202134149,0.160157528,0.432197361
WEST STANISLAUS I.D.,Subtropical,San Joaquin River,635.1639456,950.3385633,4.405405823,3.25,846.2602958,50,1809.44916,670.5198364,0.13,50,0.17,0.202134149,0.160157528,0.432197361
WESTLANDS W.D.,Subtropical,Tulare Lake,3658.647001,1157.720607,15.10914155,3.61,3535.763797,50,7560.067348,2801.501824,0.13,50,0.17,0.202134149,0.160157528,0.432197361
SANTA CLARA VALLEY W.D.,Sunflowers,San Francisco Bay,168.536145,3544.154505,0.641760597,2.4,470.8453015,50,403.1518876,883.0229775,0.74,50,0.17,0.207010582,0.388227513,0.177248677
BANTA-CARBONA I.D.,Tomatoes,San Joaquin River,1016.431084,99.69467136,46.73447582,2.38,396.8321367,50,961.6082333,2531.592592,0.74,50,0.17,0.085172131,0.543356034,0.206390095
CENTRAL CALIFORNIA I.D.,Tomatoes,San Joaquin River,8077.35747,99.69467136,46.73447582,2.38,396.8321367,50,961.6082333,2531.592592,0.74,50,0.17,0.085172131,0.543356034,0.206390095
DEL PUERTO WATER DISTRICT,Tomatoes,San Joaquin River,2074.10606,99.69467136,46.73447582,2.38,396.8321367,50,961.6082333,2531.592592,0.74,50,0.17,0.085172131,0.543356034,0.206390095
FIREBAUGH CANAL W.D.,Tomatoes,San Joaquin River,3379.380452,99.69467136,46.73447582,2.38,396.8321367,50,961.6082333,2531.592592,0.74,50,0.17,0.085172131,0.543356034,0.206390095
HENRY MILLER RECLAMATION DIST. 2131,Tomatoes,San Joaquin River,9196.856756,99.69467136,46.73447582,2.38,396.8321367,50,961.6082333,2531.592592,0.74,50,0.17,0.085172131,0.543356034,0.206390095
JAMES I.D.,Tomatoes,Tulare Lake,981.8158533,97.3922824,54.70338716,2.22,453.7705173,50,1099.581977,2894.831275,0.74,50,0.17,0.085172131,0.543356034,0.206390095
PACHECO W.D.,Tomatoes,San Joaquin River,982.0439284,99.69467136,46.73447582,2.38,396.8321367,50,961.6082333,2531.592592,0.74,50,0.17,0.085172131,0.543356034,0.206390095
PANOCHE W.D.,Tomatoes,San Joaquin River,3508.747809,99.69467136,46.73447582,2.38,396.8321367,50,961.6082333,2531.592592,0.74,50,0.17,0.085172131,0.543356034,0.206390095
PATTERSON W.D.,Tomatoes,San Joaquin River,537.8733273,99.69467136,46.73447582,2.38,396.8321367,50,961.6082333,2531.592592,0.74,50,0.17,0.085172131,0.543356034,0.206390095
PLEASANT VALLEY W.D.,Tomatoes,Tulare Lake,533.1182668,97.3922824,54.70338716,2.22,453.7705173,50,1099.581977,2894.831275,0.74,50,0.17,0.085172131,0.543356034,0.206390095
SAN BENITO CO. W.D.,Tomatoes,Central Coast,356.0238036,1384.386105,17.43992832,2.09,646.4483125,50,13853.9945,5210.873416,1.06,50,0.17,0.026775148,0.215828402,0.573816568
SAN LUIS W.D.,Tomatoes,San Joaquin River,1779.729939,99.69467136,46.73447582,2.38,396.8321367,50,961.6082333,2531.592592,0.74,50,0.17,0.085172131,0.543356034,0.206390095
SANTA CLARA VALLEY W.D.,Tomatoes,San Francisco Bay,1684.501749,688.3142088,22.53639409,2.23,415.339315,50,8901.111617,3347.956135,1.06,50,0.17,0.026775148,0.215828402,0.573816568
THE WEST SIDE I.D.,Tomatoes,San Joaquin River,141.547396,99.69467136,46.73447582,2.38,396.8321367,50,961.6082333,2531.592592,0.74,50,0.17,0.085172131,0.543356034,0.206390095
TRANQUILLITY I.D.,Tomatoes,Tulare Lake,1058.599742,97.3922824,54.70338716,2.22,453.7705173,50,1099.581977,2894.831275,0.74,50,0.17,0.085172131,0.543356034,0.206390095
Turner Island Water District,Tomatoes,San Joaquin River,2279.145893,99.69467136,46.73447582,2.38,396.8321367,50,961.6082333,2531.592592,0.74,50,0.17,0.085172131,0.543356034,0.206390095
WEST STANISLAUS I.D.,Tomatoes,San Joaquin River,3207.253964,99.69467136,46.73447582,2.38,396.8321367,50,961.6082333,2531.592592,0.74,50,0.17,0.085172131,0.543356034,0.206390095
WESTLANDS W.D.,Tomatoes,Tulare Lake,53637.03196,97.3922824,54.70338716,2.22,453.7705173,50,1099.581977,2894.831275,0.74,50,0.17,0.085172131,0.543356034,0.206390095
BANTA-CARBONA I.D.,Truck,San Joaquin River,103.3700105,690.3355797,21.20927139,2.67,775.1695529,50,4298.997922,3487.484185,0.41,50,0.17,0.052943262,0.238191489,0.293617021
CENTRAL CALIFORNIA I.D.,Truck,San Joaquin River,15.47871927,690.3355797,21.20927139,2.67,775.1695529,50,4298.997922,3487.484185,0.41,50,0.17,0.052943262,0.238191489,0.293617021
COLUMBIA CANAL CO.,Truck,San Joaquin River,1.224042011,690.3355797,21.20927139,2.67,775.1695529,50,4298.997922,3487.484185,0.41,50,0.17,0.052943262,0.238191489,0.293617021
DEL PUERTO WATER DISTRICT,Truck,San Joaquin River,30.73905726,690.3355797,21.20927139,2.67,775.1695529,50,4298.997922,3487.484185,0.41,50,0.17,0.052943262,0.238191489,0.293617021
FIREBAUGH CANAL W.D.,Truck,San Joaquin River,331.0492186,690.3355797,21.20927139,2.67,775.1695529,50,4298.997922,3487.484185,0.41,50,0.17,0.052943262,0.238191489,0.293617021
HENRY MILLER RECLAMATION DIST. 2131,Truck,San Joaquin River,402.9058124,690.3355797,21.20927139,2.67,775.1695529,50,4298.997922,3487.484185,0.41,50,0.17,0.052943262,0.238191489,0.293617021
JAMES I.D.,Truck,Tulare Lake,113.4406109,1282.087936,19.71342086,1.85,1338.105966,50,7420.976155,6020.132467,0.41,50,0.17,0.052943262,0.238191489,0.293617021
PACHECO W.D.,Truck,San Joaquin River,296.5334098,690.3355797,21.20927139,2.67,775.1695529,50,4298.997922,3487.484185,0.41,50,0.17,0.052943262,0.238191489,0.293617021
PANOCHE W.D.,Truck,San Joaquin River,33.66395977,690.3355797,21.20927139,2.67,775.1695529,50,4298.997922,3487.484185,0.41,50,0.17,0.052943262,0.238191489,0.293617021
PLEASANT VALLEY W.D.,Truck,Tulare Lake,124.3772141,1282.087936,19.71342086,1.85,1338.105966,50,7420.976155,6020.132467,0.41,50,0.17,0.052943262,0.238191489,0.293617021
SAN BENITO CO. W.D.,Truck,Central Coast,3540.356805,1187.253943,17.43634578,1.09,1095.998079,50,6078.274679,4930.890219,0.41,50,0.17,0.052943262,0.238191489,0.293617021
SAN LUIS W.D.,Truck,San Joaquin River,187.5607235,690.3355797,21.20927139,2.67,775.1695529,50,4298.997922,3487.484185,0.41,50,0.17,0.052943262,0.238191489,0.293617021
SANTA CLARA VALLEY W.D.,Truck,San Francisco Bay,4530.331067,815.0818496,17.985083,1.35,776.1119457,50,4304.22432,3491.724005,0.41,50,0.17,0.052943262,0.238191489,0.293617021
THE WEST SIDE I.D.,Truck,San Joaquin River,50.38559602,690.3355797,21.20927139,2.67,775.1695529,50,4298.997922,3487.484185,0.41,50,0.17,0.052943262,0.238191489,0.293617021
TRANQUILLITY I.D.,Truck,Tulare Lake,4.018104268,1282.087936,19.71342086,1.85,1338.105966,50,7420.976155,6020.132467,0.41,50,0.17,0.052943262,0.238191489,0.293617021
Turner Island Water District,Truck,San Joaquin River,180.4103281,690.3355797,21.20927139,2.67,775.1695529,50,4298.997922,3487.484185,0.41,50,0.17,0.052943262,0.238191489,0.293617021
WESTLANDS W.D.,Truck,Tulare Lake,1907.185735,1282.087936,19.71342086,1.85,1338.105966,50,7420.976155,6020.132467,0.41,50,0.17,0.052943262,0.238191489,0.293617021
BANTA-CARBONA I.D.,Walnuts,San Joaquin River,2555.771055,1802.497789,1.658526763,4.95,765.1413122,50,268.1025111,816.5691828,0.13,50,0.17,0.25594369,0.273146576,0.089681664
Byron Bethany (CVP),Walnuts,San Joaquin River,71.37001691,1802.497789,1.658526763,4.95,765.1413122,50,268.1025111,816.5691828,0.13,50,0.17,0.25594369,0.273146576,0.089681664
CENTRAL CALIFORNIA I.D.,Walnuts,San Joaquin River,4176.461829,1802.497789,1.658526763,4.95,765.1413122,50,268.1025111,816.5691828,0.13,50,0.17,0.25594369,0.273146576,0.089681664
DEL PUERTO WATER DISTRICT,Walnuts,San Joaquin River,707.6428764,1802.497789,1.658526763,4.95,765.1413122,50,268.1025111,816.5691828,0.13,50,0.17,0.25594369,0.273146576,0.089681664
JAMES I.D.,Walnuts,Tulare Lake,155.2321168,1793.152974,1.862011475,3.43,854.5630697,50,299.4355436,912.0012941,0.13,50,0.17,0.25594369,0.273146576,0.089681664
PATTERSON W.D.,Walnuts,San Joaquin River,816.6580253,1802.497789,1.658526763,4.95,765.1413122,50,268.1025111,816.5691828,0.13,50,0.17,0.25594369,0.273146576,0.089681664
SAN BENITO CO. W.D.,Walnuts,Central Coast,1083.799025,2279.333378,0.866689676,2.03,505.610286,50,177.1638586,539.5941522,0.13,50,0.17,0.25594369,0.273146576,0.089681664
SANTA CLARA VALLEY W.D.,Walnuts,San Francisco Bay,557.5068701,2099.727093,1.587369044,2.51,853.0710134,50,298.912733,910.4089521,0.13,50,0.17,0.25594369,0.273146576,0.089681664
THE WEST SIDE I.D.,Walnuts,San Joaquin River,30.76304735,1802.497789,1.658526763,4.95,765.1413122,50,268.1025111,816.5691828,0.13,50,0.17,0.25594369,0.273146576,0.089681664
WEST STANISLAUS I.D.,Walnuts,San Joaquin River,621.6341422,1802.497789,1.658526763,4.95,765.1413122,50,268.1025111,816.5691828,0.13,50,0.17,0.25594369,0.273146576,0.089681664
WESTLANDS W.D.,Walnuts,Tulare Lake,413.9607853,1793.152974,1.862011475,3.43,854.5630697,50,299.4355436,912.0012941,0.13,50,0.17,0.25594369,0.273146576,0.089681664
