g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,omegawater_unit,sigma,CS_land,CS_labor,CS_supply
SAN LUIS W.D.,Almonds,San Joaquin River,16553.73403,4775.762292,1.018616781,4.13,1058.311098,50,455.3980167,1465.658482,0.4,50,0.17,0.217550368,0.301286212,0.093613311
THE WEST SIDE I.D.,Almonds,San Joaquin River,2509.241807,4775.762292,1.018616781,4.13,1058.311098,50,455.3980167,1465.658482,0.4,50,0.17,0.217550368,0.301286212,0.093613311
TRANQUILLITY I.D.,Almonds,Tulare Lake,4492.196381,4875.001978,1.131453803,4.14,1199.972916,50,516.3560008,1661.846395,0.4,50,0.17,0.217550368,0.301286212,0.093613311
WEST STANISLAUS I.D.,Almonds,San Joaquin River,10227.86387,4775.762292,1.018616781,4.13,1058.311098,50,455.3980167,1465.658482,0.4,50,0.17,0.217550368,0.301286212,0.093613311
WESTLANDS W.D.,Almonds,Tulare Lake,85442.53598,4875.001978,1.131453803,4.14,1199.972916,50,516.3560008,1661.846395,0.4,50,0.17,0.217550368,0.301286212,0.093613311
BANTA-CARBONA I.D.,Beans Dry,San Joaquin River,338.6613804,1593.773361,1.285477627,2.21,174.4872294,50,145.5634067,1032.584353,1.68,50,0.17,0.085167238,0.504004546,0.071049516
CENTRAL CALIFORNIA I.D.,Beans Dry,San Joaquin River,370.6111696,1593.773361,1.285477627,2.21,174.4872294,50,145.5634067,1032.584353,1.68,50,0.17,0.085167238,0.504004546,0.071049516
DEL PUERTO WATER DISTRICT,Beans Dry,San Joaquin River,632.0224832,1593.773361,1.285477627,2.21,174.4872294,50,145.5634067,1032.584353,1.68,50,0.17,0.085167238,0.504004546,0.071049516
PANOCHE W.D.,Beans Dry,San Joaquin River,154.583728,1593.773361,1.285477627,2.21,174.4872294,50,145.5634067,1032.584353,1.68,50,0.17,0.085167238,0.504004546,0.071049516
PATTERSON W.D.,Beans Dry,San Joaquin River,42.99670708,1593.773361,1.285477627,2.21,174.4872294,50,145.5634067,1032.584353,1.68,50,0.17,0.085167238,0.504004546,0.071049516
SANTA CLARA VALLEY W.D.,Beans Dry,San Francisco Bay,273.3319809,2081.677186,2.666642109,2.08,472.7708342,50,394.4021201,2797.773609,1.68,50,0.17,0.085167238,0.504004546,0.071049516
