g,i,hr,xland,p,y,xwater,omegaland,omegawater_x,omegasupply,omegalabor,theta,omegawater,sigma,CS_land,CS_labor,CS_supply,mprof_init,f_adjustment,mprof,xland_lp,lambdacrop,lambdaland,lambdawater,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,omega_suppl_unit,omega_labor_unit,xsupply_base,xlabor_base,xlandcalib,xwatercalib,xsuppcalib,xlaborcalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
BANTA-CARBONA I.D.,Tomatoes,San Joaquin River,1016.431084,99.69467136,46.73447582,2.38,396.8321367,119,961.6082333,2531.592592,0.74,50,0.4,0.085172131,0.543356034,0.206390095,650.1452461,1.106828659,650.1452461,1017.447525,594.2815762,2.96E-08,23.47213017,-1.5,0.193336779,0.125243737,0.187581138,0.493838346,43.85013346,0.001329506,192996.1776,961.6082333,2531.592592,1016.431084,1016.431084,1015.414643,2416.68685,1015.414643,1015.414643,1.016441238,2.419130147,0.00100001,0.00100001,GOOD,99.69467136,650.1452461
BANTA-CARBONA I.D.,Truck,San Joaquin River,103.3700105,690.3355797,21.20927139,2.67,775.1695529,133.5,4298.997922,3487.484185,0.41,50,0.4,0.052943262,0.238191489,0.293617021,5946.363,1.60368677,5946.363,103.4733815,5883.692413,2.96E-08,23.47213017,-1.5,0.435185597,0.055933924,0.280958216,0.227922263,20.59520352,0.023595087,24622.01522,4298.997922,3487.484185,103.3700105,103.3700105,103.2666395,275.7219274,103.2666395,103.2666395,0.103371043,0.276000685,0.00100001,0.00100001,GOOD,690.3355797,5946.363
BANTA-CARBONA I.D.,Walnuts,San Joaquin River,2555.771055,1802.497789,1.658526763,4.95,765.1413122,247.5,268.1025111,816.5691828,0.13,50,0.4,0.25594369,0.273146576,0.089681664,892.1778172,1.35751512,892.1778172,2558.326852,775.9907729,2.96E-08,23.47213017,-1.5,0.232409399,0.604017407,0.040431021,0.123142173,0.975131497,0.00300978,233.6567749,268.1025111,816.5691828,2555.771055,2555.771055,2558.326852,12663.71792,2558.326852,2558.326852,-2.555796638,-12.65119336,0.00100001,0.00100001,GOOD,1802.497789,892.1778172
BROADVIEW W.D.,Field and Grain,San Joaquin River,4764.912193,194.8087562,3.454627792,2.92,127.4152524,73,76.29216237,327.7457084,0.74,25,0.4,0.189326621,0.486998112,0.113362702,68.53862012,1.060370925,68.53862012,4764.881836,17.13465443,68.53861774,8.15E-07,-1.5,0.217132758,0.371161087,0.077740121,0.333966035,2.731894224,0.000283605,131953.2231,76.29216237,327.7457084,4764.912193,4764.912193,4764.912693,13913.54506,4649.483606,4649.483606,-0.000500116,-0.001460338,1.05E-07,1.05E-07,GOOD,194.8087562,68.53862012
BROADVIEW W.D.,Onions and Garlic,San Joaquin River,30.40487345,1579.216395,6.547714821,1.48,1660.207976,74,2894.594244,4313.352488,0.41,50,0.4,0.160557684,0.417141646,0.279934415,1398.103887,1.101285501,1398.103887,30.43527863,1346.699923,68.53861774,8.15E-07,-1.5,0.295243903,0.012790781,0.277882023,0.414083293,6.52286773,0.080218206,3270.335802,2894.594244,4313.352488,30.40487345,30.40487345,30.40442129,44.99854351,30.33819685,30.33819685,0.000452163,0.000669201,1.49E-05,1.49E-05,GOOD,1579.216395,1398.103887
Byron Bethany (CVP),Almonds,San Joaquin River,1076.12308,4775.762292,1.018616781,4.13,1058.311098,206.5,455.3980167,1465.658482,0.4,50,0.4,0.217550368,0.301286212,0.093613311,1678.804016,1.454241409,1678.804016,1077.199214,1581.864118,8.35E-08,23.47213015,-1.5,0.371434592,0.358300453,0.064067936,0.206197019,0.791066349,0.002323154,93286.43198,455.3980167,1465.658482,1076.12308,1076.12308,1077.17168,4448.719037,1077.17168,1077.17168,-1.048599752,-4.330716975,0.000974424,0.000974424,GOOD,4775.762292,1678.804016
Byron Bethany (CVP),Field and Grain,San Joaquin River,1170.387636,194.8087562,3.454627792,2.92,127.4152524,73,76.29216237,327.7457084,0.74,25,0.4,0.189326621,0.486998112,0.113362702,68.53862012,1.060370925,68.53862012,1168.637805,3.60E-08,8.35E-08,23.47213015,-1.5,0.102946171,0.570608205,0.061640862,0.264804762,2.301443258,0.001154619,28569.223,76.29216237,327.7457084,1170.387636,1170.387636,1169.217237,3414.114331,1169.217237,1169.217237,1.170399328,3.417566038,0.00100001,0.00100001,GOOD,194.8087562,68.53862012
Byron Bethany (CVP),Grapes,San Joaquin River,11.31627138,1686.199914,10.80135885,3.1,5693.452825,155,6051.355455,4549.189642,0.13,50,0.4,0.312599493,0.249773629,0.332250166,1764.252442,1.05452945,1764.252442,11.32758776,1691.488838,8.35E-08,23.47213015,-1.5,0.384059364,0.064651433,0.314705225,0.236583978,10.41767711,0.679756382,4.957548725,6051.355455,4549.189642,11.31627138,11.31627138,11.31273387,35.069475,11.31273387,11.31273387,0.00353751,0.010966282,0.000312604,0.000312604,GOOD,1686.199914,1764.252442
Byron Bethany (CVP),Pasture,San Joaquin River,57.61231852,226.9343417,5,4.6,214.82356,46,128.6294506,552.5829799,0.51,10,0.4,0.189326621,0.486998112,0.113362702,192.635718,1.147132098,192.635718,57.66993141,84.66391927,8.35E-08,23.47213015,-1.5,0.119805994,0.607684008,0.051456506,0.221053492,2.953135718,0.034034116,1238.529605,128.6294506,552.5829799,57.61231852,57.61231852,57.66993142,265.2816845,57.66993141,57.66993141,-0.057612895,-0.265019317,0.00100001,0.00100001,GOOD,226.9343417,192.635718
Byron Bethany (CVP),Subtropical,San Joaquin River,3.622599999,950.3385633,4.405405823,3.25,846.2602958,162.5,1809.44916,670.5198364,0.13,50,0.4,0.202134149,0.160157528,0.432197361,697.8977484,1.142898607,697.8977484,3.626222635,621.6133254,8.35E-08,23.47213015,-1.5,0.274528717,0.261655669,0.338411801,0.125403814,3.742497454,2.123421767,0.31544643,1809.44916,670.5198364,3.622599999,3.622599999,3.618977364,11.76167643,3.618977364,3.618977364,0.003622635,0.011773565,0.00100001,0.00100001,GOOD,950.3385633,697.8977484
Byron Bethany (CVP),Walnuts,San Joaquin River,71.37001691,1802.497789,1.658526763,4.95,765.1413122,247.5,268.1025111,816.5691828,0.13,50,0.4,0.25594369,0.273146576,0.089681664,892.1778172,1.35751512,892.1778172,71.44138764,775.9907729,8.35E-08,23.47213015,-1.5,0.232409399,0.604017407,0.040431021,0.123142173,0.975131497,0.107780662,6.524875513,268.1025111,816.5691828,71.37001691,71.37001691,71.44138764,353.6348688,71.44138764,71.44138764,-0.071370731,-0.353285119,0.00100001,0.00100001,GOOD,1802.497789,892.1778172
CENTRAL CALIFORNIA I.D.,Alfalfa,San Joaquin River,15502.5206,290.4258221,6.981811447,4.13,571.5529897,41.3,305.9903326,377.9325908,1.86,10,0.4,0.281872792,0.186385019,0.150905255,730.9224161,1.489186564,730.9224161,15518.02322,633.9825185,6.19E-09,23.47213018,-1.5,0.395292942,0.380449952,0.100333684,0.123923422,5.318588377,3.47E-05,20305028.86,305.9903326,377.9325908,15502.5206,15502.5206,15518.02322,64089.4359,15518.02322,15518.02322,-15.5026206,-64.02582308,0.001000006,0.001000006,GOOD,290.4258221,730.9224161
CENTRAL CALIFORNIA I.D.,Almonds,San Joaquin River,33821.37262,4775.762292,1.018616781,4.13,1058.311098,206.5,455.3980167,1465.658482,0.4,50,0.4,0.217550368,0.301286212,0.093613311,1678.804016,1.454241409,1678.804016,33855.19409,1581.864118,6.19E-09,23.47213018,-1.5,0.371434592,0.358300453,0.064067936,0.206197019,0.791066349,7.39E-05,2931890.631,455.3980167,1465.658482,33821.37262,33821.37262,33854.74614,139820.1016,33854.74614,33854.74614,-33.37352333,-137.8326514,0.000986758,0.000986758,GOOD,4775.762292,1678.804016
CENTRAL CALIFORNIA I.D.,Beans Dry,San Joaquin River,370.6111696,1593.773361,1.285477627,2.21,174.4872294,110.5,145.5634067,1032.584353,1.68,50,0.4,0.085167238,0.504004546,0.071049516,585.625009,1.333574833,585.625009,370.9817845,533.7516013,6.19E-09,23.47213018,-1.5,0.292679011,0.220452567,0.060153937,0.426714484,1.15044663,0.001606099,243163.7878,145.5634067,1032.584353,370.6111696,370.6111696,370.2405547,818.2316259,370.2405547,370.2405547,0.370614872,0.819058867,0.00100001,0.00100001,GOOD,1593.773361,585.625009
CENTRAL CALIFORNIA I.D.,Corn,San Joaquin River,26341.9987,77.55530093,25.22861255,2.42,172.4592834,121,171.1787431,1093.099489,0.3,50,0.4,0.088141761,0.558669339,0.087487293,398.8751229,1.196248142,398.8751229,26368.3408,342.0725678,6.19E-09,23.47213018,-1.5,0.210169807,0.273412967,0.069921042,0.446496184,21.7271107,0.000126541,145055.423,171.1787431,1093.099489,26341.9987,26341.9987,26315.6566,63683.88898,26315.6566,26315.6566,26.3420987,63.74787885,0.001000004,0.001000004,GOOD,77.55530093,398.8751229
CENTRAL CALIFORNIA I.D.,Cotton,San Joaquin River,13328.48645,3399.208415,0.729719844,3.63,368.4467917,181.5,194.0424094,1104.405231,0.68,50,0.4,0.148539114,0.445240339,0.078228087,632.0754022,1.27805634,632.0754022,13341.81504,546.8715697,6.19E-09,23.47213018,-1.5,0.225541714,0.454510475,0.047813591,0.272134221,0.525551473,0.000110334,1906310.176,194.0424094,1104.405231,13328.48645,13328.48645,13315.15786,48334.02304,13315.15786,13315.15786,13.32858645,48.38276881,0.001000008,0.001000008,GOOD,3399.208415,632.0754022
CENTRAL CALIFORNIA I.D.,Cucurbits,San Joaquin River,3085.973773,384.0603914,14.86947686,2.3,267.5771745,115,3732.550159,1306.069593,0.05,50,0.4,0.046854775,0.228702604,0.653597591,289.5801763,1.003253601,289.5801763,3089.059778,235.5942769,6.19E-09,23.47213018,-1.5,0.082066904,0.096137821,0.608776259,0.213019016,14.18166425,0.006480936,0.000160025,3732.550159,1306.069593,3085.973773,3085.973773,3082.887768,7090.641867,3082.887768,3082.887768,3.086004602,7.097810584,0.00100001,0.00100001,GOOD,384.0603914,289.5801763
CENTRAL CALIFORNIA I.D.,Field and Grain,San Joaquin River,4727.835628,194.8087562,3.454627792,2.92,127.4152524,73,76.29216237,327.7457084,0.74,25,0.4,0.189326621,0.486998112,0.113362702,68.53862012,1.060370925,68.53862012,4586.720992,1.55E-09,6.19E-09,23.47213018,-1.5,0.102946171,0.570608205,0.061640862,0.264804762,2.301443258,0.000285829,115406.7133,76.29216237,327.7457084,4727.835628,4727.835628,4723.107745,13791.47462,4723.107745,4723.107745,4.727882859,13.80541795,0.00100001,0.00100001,GOOD,194.8087562,68.53862012
CENTRAL CALIFORNIA I.D.,Grapes,San Joaquin River,426.9213886,1686.199914,10.80135885,3.1,5693.452825,155,6051.355455,4549.189642,0.13,50,0.4,0.312599493,0.249773629,0.332250166,1764.252442,1.05452945,1764.252442,427.3483143,1691.488838,6.19E-09,23.47213018,-1.5,0.384059364,0.064651433,0.314705225,0.236583978,10.41767711,0.018018089,187.0301193,6051.355455,4549.189642,426.9213886,426.9213886,426.7885461,1323.044493,426.7885461,426.7885461,0.132842455,0.41181161,0.000311164,0.000311164,GOOD,1686.199914,1764.252442
CENTRAL CALIFORNIA I.D.,Lettuce,San Joaquin River,133.8675199,1008,18.9,3.33,1600,216.45,12500,929,0.25,65,0.4,0.083984211,0.048763332,0.656126648,3805.75,1.190125578,3805.75,134.0013888,3727.587807,6.19E-09,23.47213018,-1.5,0.259289738,0.087130816,0.608365707,0.045213739,17.97131417,0.029880288,3265.637051,12500,929,133.8675199,133.8675199,133.7904374,445.5221567,133.7904374,133.7904374,0.077082467,0.256684614,0.000575812,0.000575812,GOOD,1008,3805.75
